时政 	 总指挥 常万全 宣布 神舟 七号 发射成功 总指挥 常万全 宣布 ： 神舟 七号 载人 飞船 进入 预定 轨道 ， 发射 圆满成功 ！ 
 时政 	 中央文件 提出 建 外资 并购 境内 农企 安全 审查 机制 中新网 10 月 19 日电   今日 全文 公布 的 《 中共中央 关于 推进 农村 改革 发展 若干 重大 问题 的 决定 》 中 提到 ， 要 健全 符合 世界贸易组织 规则 的 外商 经营 农产品 和 农业 生产资料 准入 制度 ， 建立 外资 并购 境内 涉农 企业 安全 审查 机制 。 文件 指出 ， 扩大 农业 对外开放 。 坚持 “ 引进 来 ” 和 “ 走 出去 ” 相结合 ， 提高 统筹 利用 国际 国内 两个 市场 、 两种 资源 能力 ， 拓展 农业 对外开放 广度 和 深度 。 按照 鼓励 出口 劳动密集型 和 技术 密集型 产品 、 适度 进口 结构性 短缺 产品 的 原则 ， 完善 农产品 进出口 战略规划 和 调控 机制 ， 加强 国际 市场 研究 和 信息 服务 。 强化 农产品 进出口 检验 检疫 和 监管 ， 提高 出口 优势 产品 附加值 和 质量 安全 水平 。 引导 外商投资 发展 现代农业 。 文件 还 指出 ， 健全 符合 世界贸易组织 规则 的 外商 经营 农产品 和 农业 生产资料 准入 制度 ， 建立 外资 并购 境内 涉农 企业 安全 审查 机制 。 统筹 开展 对外 农业 合作 ， 培育 农业 跨国 经营 企业 ， 逐步 建立 农产品 国际 产销 加工 储运 体系 。 积极参与 国际 农产品 贸易 规则 和 标准 制定 ， 促进 形成 公平合理 的 贸易 秩序 。 《 中共中央 关于 推进 农村 改革 发展 若干 重大 问题 的 决定 》 由 中共 十七届 三中全会 通过 。 文件 今天 由 中国 官方 媒体 全文 播发 。 
 时政 	 中央文件 称 反对 利用 宗教 宗族 干预 农村 公共事务 中新网 10 月 19 日电   新华社 今日 全文 播发 《 中共中央 关于 推进 农村 改革 发展 若干 重大 问题 的 决定 》 。 该 文件 由 中共 十七届 三中全会 通过 。 文件 中 提出 ， 反对 和 制止 利用 宗教 、 宗族势力 干预 农村 公共事务 ， 坚决 取缔 邪教组织 ， 严厉打击 黑恶势力 。 文件 提出 ， 强化 农村 社会 管理 。 坚持 服务 农民 、 依靠 农民 ， 完善 农村 社会 管理体制 机制 ， 加强 农村 社区 建设 ， 保持 农村 社会 和谐 稳定 。 健全 党和政府 主导 的 维护 农民 权益 机制 ， 拓宽 农村 社情民意 表达 渠道 ， 做好 农村 信访工作 ， 加强 人民调解 ， 及时 排查 化解矛盾 纠纷 。 文件 也 提出 ， 建立健全 农村 应急 管理体制 ， 提高 危机 处置 能力 。 巩固 和 发展 平等 团结互助 和谐 的 社会主义 民族 关系 。 全面 贯彻 党 的 宗教 工作 基本方针 ， 依法 管理 宗教事务 。 反对 和 制止 利用 宗教 、 宗族势力 干预 农村 公共事务 ， 坚决 取缔 邪教组织 ， 严厉打击 黑恶势力 。         推进 农村 改革 发展 若干 重大 问题 的 决定 全文 发布         新华社 ： 推进 农村 改革 发展 的 行动 纲领         中共 推进 农村 改革 发展 遵循 党管 农村 工作 等 原则         中共 提出 2020 年 农民 人均 纯收入 比 2008 年 翻一番         中国 已 初步 形成 适合 国情 生产力 的 农村 经济体制         三中全会 文件 称 城乡 结构 造成 深层次 矛盾 突出 
 时政 	 关于 推进 农村 改革 发展 若干 重大 问题 的 决定 要点 中新网 10 月 19 日电   新华社 今日 全文 播发 《 中共中央 关于 推进 农村 改革 发展 若干 重大 问题 的 决定 》 。 决定 中 提出 ， 按照 依法 自愿 有偿 原则 ， 允许 农民 以 转包 、 出租 、 互换 、 转让 、 股份合作 等 形式 流转 土地 承包 经营权 ， 发展 多种形式 的 适度 规模经营 。 内容 要点 如下 ： 中国 已 初步 形成 适合 国情 和 生产力 的 农村 经济体制 三中全会 文件 称 中国 城乡 结构 造成 深层次 矛盾 突出 中共 提出 2020 年 农民 人均 纯收入 比 2008 年 翻一番 中共 推进 农村 改革 发展 须 遵循 党管 农村 工作 等 原则 三中全会 文件 提 赋予 农民 更 充分 有 保障 土地 承包 权 中央文件 提出 允许 农民 以 多种形式 流转 土地 承包 权 文件 提 允许 农民 参与 开发 集体土地 建设 非 公益 项目 中央文件 提出 提高 政府 土地出让 收益 用于 农业 比例 文件 提出 允许 农村 小型 金融 组织 从 金融机构 融资 中央文件 提出 逐步 实现 农民工 与 城镇居民 同等待遇 三中全会 文件 提出 可 探索 省 直接 管理 县市 的 体制 中央文件 提 逐步 实行 城乡 按 相同 比例 选举 人大代表 中央文件 提 推进 户籍 改革   放宽 中小城市 落户 条件 三中全会 文件 称 2012 年 基本 完成 乡镇 机构 改革 任务 三中全会 文件 提出 要 杜绝 不 合格 农产品 进入 市场 文件 提出 建立 外资 并购 境内 涉农 企业 安全 审查 机制 中央文件 称 加快 发展 农村 中等职业 教育 并 逐步 免费 中央文件 称 基本 医疗卫生 服务 须 尽快 惠及 全体 农民 中央文件 称 反对 利用 宗教 宗族 干预 农村 公共事务 三中全会 文件 称 严肃查处 涉农 违纪 违法 案件 
 时政 	 台 检方 传唤 涉 陈水扁 洗钱 案 金融界 人士 新华网 台北 10 月 19 日电   ( 记者 陈斌华 赵博 ) 台湾 检方 特侦 组为 侦办 陈水扁 一家 涉嫌 海外 洗钱 案 ， 19 日以 证人 身份 传唤 元大 集团 马维建 、 马维辰 兄弟 到案 说明 。 特侦组 发言人 陈 云南 表示 ， 两人 目前 仍 是 证人 身份 ， 前来 协助 厘清 相关 疑点 。 综合 此间 媒体报道 ， 马氏 兄弟 遭 检方 传唤 ， 跟元 大金控 公司 应 没有 关联 ， 而是 个人 部分 传出 陈水扁 家有 部分 资金 ， 曾经 汇流 到 他们 账户 。 特侦组 为了 厘清 这些 资金来源 及 流向 ， 是 属于 纯粹 帮忙 协助 处理 ， 还是 根本就是 他们 所 提供 的 资金 ， 因此 传唤 马氏 兄弟 到案 ， 调查 两者 是否 有 所谓 不法 对价 关系 。 由于 两人 比较 配合 ， 检方 在 约 谈 4 个 多 小时 后 将 其 饬 回 。 另据报道 ， 特侦组 17 日 侦讯 兆 丰金 控前 董事长 郑深池 。 他 到案 后 非常 合作 ， 将 过去 多年 来 如何 帮 陈水扁 一家 洗钱 、 隐匿 资金 流向 等 ， 都 清楚 交代 。 特侦组 将 请 郑深池 签署 查账 授权书 ， 同意 特侦组 调阅 相关 账户 资料 ， 进而 考虑 让 他 转任 “ 污点 证人   ” ， 厘清 陈水扁 家族 海外 金钱 流向 。 特侦组 侦办 洗钱 案 现已 进入 关键期 。 此间 媒体 纷纷 预测 ， 特侦组 下周 可能 对 陈水扁 之子 陈致 中 、 儿媳 黄睿靓 发出 被告 传票 ， 拉 出 案情 收尾 前 的 高潮 。 
 时政 	 台 检方 本周 传唤 陈水扁 儿子 儿媳 中新网 10 月 19 日电   据 台湾 《 中国时报 》 报道 ， 台湾 检方 特侦组 连续 几周 在 巩固 事证 后 ， 已 握有 陈水扁 、 吴淑珍 将 “ 国务 费 ” 中 “ 机密 费 ” 一 亿余元 新台币 ， 用 在 扁家 私人 用途 ， 涉嫌 诈领 、 侵占 ， 其中 有 数千万元 汇 到 新加坡 吴景茂 户头 ， 因此 本周 将 传唤 扁家 核心成员 陈致 中 、 黄睿靓 夫妇 。 据 了解 ， 特侦组 调查 “ 国务 费 ” 案 已 到 收尾 阶段 ， 近日 将 把 与 “ 国务 费 ” 案及 有关 的 洗钱 部分 ， 追加 起诉 ， 并案 给 审理 吴淑珍 的 “ 国务 机要 费 ” 案 的 台北 地院 合议庭 。 特侦组 也 正在 搜证 补 强力 麒 集团 行贿 扁珍案 事证 ， 如 进度 顺利 ， 将会 与 “ 国务 机要 费 ” 案 一并 结案 。   至于 金控助 扁 洗钱 疑云 ， 与 二次 金改 等 其它 不法 疑案 ， 因 牵涉 层面 甚广 ， 特侦组 考虑 另行 分案 继续 搜证 调查 ， 不会 在 这 一波 起诉 范围 内 。   特侦组 透露 ， “ 国务 机要 费 ” 案 起诉 后 ， 会 清楚 交代 扁家 海外 资金 流程 、 并 公开 扁家 洗钱 手法 、 全球 洗钱 版图 ， 特侦 组会 尽全力 清查 扁家 全部 的 异常 资金 流向 。   “ 国务 机要 费 ” 的 侦办 ， 主要 是 分成 三大 区块 ： 一 、 当年 查黑 中心 调查 的 以 他人 发票 核销 “ 非 机密 费 ” 部分 ； 二 、 二 00 六年 九月 以后 以 发票 核销 部分 ； 三 、 以 领据 核销 “ 国务 机要 费 ” 的 “ 机要 费 ” 部分 。   依 规定 ， “ 国务 机要 费 ” 中 的 “ 机密 费 ” ， 应 作为 犒赏 、 例行 性 与 办公 庶务 支用 等 公务 支出 ， 但 事实上 ， 陈水扁 及 吴淑珍 却 将 极大 部分 的 “ 机密 费 ” 挪作 陈致 中 、 陈幸 妤 及 赵建铭 等 家族 成员 的 私人 用途 ， 甚至 将 洗钱 汇往 海外 ， 特侦组 认为 该 部分 涉嫌犯罪 明确 。 
 时政 	 台湾 桃园 机场 在 马英九 巡视 时 接到 炸弹 举报 中新网 10 月 19 日电   据 台湾 《 中国时报 》 报道 ， 台湾当局 领导人 马英九 十八日 视察 桃园 机场 时 ， 桃园 航空站 接到 一通 炸弹 检举 电话 ， 虽然 机场 没有 发现 任何 爆裂 物 ， 但 让 现场 情治 人员 绷紧神经 。   据 了解 ， 当天 下午 桃园 航空站 中控 中心 接获 一通 男子 电话 ， 来电 者 表示 第一 航厦 有 一枚 炸弹 ， 由于 当时 马英九 正在 第二 航厦 视察 ， 让 现场 情治 人员 非常 紧张 提高 戒备 ， 凡是 有 任何 企图 接近 马英九 的 旅客 或 媒体 都 会 受到 特别 盘查 、 隔离 。 报道 引述 当地 警方 的话 说 ， 此案 与 马英九 视察 行程 无关 ， 但 航警 部门 已经 根据 报案人 留下 的 手机号码 。   警方 根据 男子 留下 的 手机号码 回拨 ， 发现 该 男子 说话 颠三倒四 ， 怀疑 可能 有 精神 问题 ， 已 在 进行 调查 。 
 时政 	 台湾 海军 最大 战舰 零配件 断货恐 提前 报废 本报 特约记者 万钧据 台湾 《 中国时报 》 10 月 14 日 报道 ， 台湾 海军 的 4 艘 “ 基隆 ” 级 主力舰 成军 尚 不满 3 年 ， 就 遭遇 配件 短缺 的 重大 危机 ， 不久 之后 可能 “ 连 导弹 都 发 不 出去 ” 。 台军方 闻讯 连忙 出面 澄清 ， 称该 舰 的 战力 仍 有 百分之百 ， 且 多数 设备 与 美军 通用 ， 只是 进口 程序 较 繁琐 而已 。 重要 配件 东拼西凑 “ 基隆 ” ( 又称 “ 纪德 ” ) 舰是 美国 上 世纪 70 年代 基于 “ 斯普鲁恩 斯 ” 级 驱逐舰 设计 的 外销品 ， 原本 打算 提供 给 伊朗 ， 后 因 该国 爆发 伊斯兰 革命 而 作罢 。 所以 ， 当 美方 在 21 世纪 初 决定 将 这 批舰 低价 转卖 台湾 时 ， 许多 人 都 认为 此举 意在 “ 处理 废铁 ” 。 报道 称 ， “ 基隆 ” 舰 全世界 仅此 4 艘 ， 舰龄 又 长达 20 年 ， 部分 设备 出现 老化 不足为奇 。 该舰 的 动力 部分 与 主要 武器 采用 美军 现役 型号 ， 均 可 比较 方便 地 补充 。 关键问题 在于 ， 对 火力 分配 至关重要 的 战斗 控制系统 ， 竟然 是从 美军 的 “ 斯普鲁恩 斯 ” 级 舰 上 拆卸 拼装 而成 。 由于 后者 2005 年 就 已 全部 退役 ， 所以 台军 的 4 艘 战舰 只能靠 “ 拆东墙补西墙 ” 的 办法 勉强 维持 。 现在 ， 许多 零件 已 接近 拆光 ， 供应 不足 的 问题 日趋严重 。 作为 台湾 海军 惟一 真正 具备 区域 防空 能力 的 舰艇 ， “ 基隆 ” 舰 的 对 空 防御 主要 由 一套 MK - 74 系统 掌控 。 糟糕 的 是 ， 构成 该 系统核心 的 两部 SPG - 51 雷达 ， 恰恰 属于 美军 早已 弃 之 不用 的 型号 ， 寻找 代用品 更是 难上加难 。 消息人士 警告 ， 因为 零件 随时 可能 “ 断货 ” ， “ 基隆 ” 舰 未来 很 可能 连 一枚 导弹 也 射不出 。 据 了解 ， 台湾 海军 在 获得 4 艘 该 型 舰后 ， 曾 认为 有望 在 下个 十年 引进 更 高档 的 “ 宙斯 盾 ” 舰来 接班 。 然而 因 华盛顿 对售 台 进攻性 装备 有 限制 ， 连 F - 16 和 潜艇 的 军购案 都 压下 不批 ， 更大 更 复杂 的 “ 宙斯 盾 ” 舰 自然 没什么 希望 。 在 这种 状况 下 ， 老旧 的 “ 基隆 ” 只怕 撑 不过 10 年 就 得 提前 报销 。 台 中将 说 战力 未受 影响 台湾 海军 吨位 最大 的 一线 战舰 面临 “ 战力 危机 ” ， 此 消息 传到 “ 立法院 ” ， 众人 顿时 议论纷纷 。 虽然 明知 可能性 不 大 ， 民进党 “ 立委 ” 蔡煌 ? 等 人 仍然 主张 ， “ 政府 ” 明年 的 军购 项目 一定 要 把 “ 宙斯 盾 ” 舰 列入 ， 才能 有效 提升 战备 能力 。 担任   “ 外交 与 国防委员会 ” 召集人 的 林郁方 则 表示 ， “ 基隆 ” 舰 型号 太旧 ， 难免 零件 停产 ， “ 不过 可以 要求 美方 帮 我们 做 性能 提升 ， 换上 比较 新 的 装备 ， 看起来 有点 危险 ， 其实 反而 是 一个 机会 。 ” 针对 外界 的 种种 传言 ， 台 海军 司令部 参谋长 陈 永康 中将 解释 说 ， “ 基隆 ” 舰 的 武器 系统 目前 都 是 妥善 的 ， 可以 有效 发挥 战力 。 就 对 空 作战 而言 ， 该舰 的 远程 搜索 雷达 都 是 美军 现役 装备 ， 至于 引起争议 的 MK - 74 射击 控制系统 ， 跟 美军 现 用 确实 不同 ， 但 有 其他 国家 仍 在 使用 ， 因此 可以 委托 美方 代为 搜集 ， 不必 过分 担心 。 他 强调 ， 任何 武器 都 有 寿限 ， 从 研发 、 生产 到 完成 部署 可能 会 经过 20 年 时间 ， 所以 一定 要 留出 提升 性能 的 空间 。 现在 ， 台军 许多 进口 装备 的 性能 提升 ， 都 是 以 建立 “ 国内 ” 替换 能力 为 目标 ， 而且 性能 上 一定 要 超过 原先 的 水平 。 当 谈到 该舰 的 远期 规划 时 ， 有 媒体 提及 是否 可以 在 相关 零配件 上 引入 商用 标准 的 问题 。 陈 永康 对 这种 想法 表示 肯定 。 他 说 ， 军品 采纳 商用 规格 的确 是 全世界 海军 的 趋势 。 尤其 是 计算机软件 ， 只 需 重新 编写 安装 即可 大幅 提升 性能 。 在 这方面 ， 台   “ 中科院 ” 的 能力 很强 ， 海军 也 有 充足 的 信心 。 
 时政 	 台湾 金融 控股公司 董事长 坦承 奉 吴淑珍 指示 洗钱 台海 网 10 月 19 日讯   前兆 丰金 董事长 郑深池 疑似 长期 协助 扁家 洗钱 ， 前天 当 他 以 被告 传讯 到案 时 ， 向 办案 人员 叹气 说 ： “ 我 等 这 一天 来临 ， 已经 很久 了 ！ ” 他 坦承 奉 吴淑珍 指示 ， 提供 相关 帐户 ， 以 “ 蚂蚁 搬 砖 ” 方式 协助 扁家 洗钱 至 海外 。 由于 明确 交代 资金 流向 ， 讯 后 被 饬 回 ， 但 与 元 大金控 所属 的 元 大 银行 副董事长 马维辰 被 境管 。   据 台湾 媒体报道 ， 据 了解 ， 特侦组 将 请 郑深池 签署 查帐 授权书 ， 同意 特侦组 调阅 相关 帐户 资料 ， 由于 郑深池 相当 配合 ， 特侦组 目前 正 检视 他 供词 的 可信度 及 对 案情 的 帮助 性 ， 考虑 让 他 转任 “ 污点 证人 ” 。   特侦组 十七日 对 三大金控 进行 全面 搜索 时 ， 由于 相关 企业 的 负责人 大都 在 境外 ， 因此 当天 仅 传唤 人 在 境内 的 郑深池 到案 ， 并 将 他 列为 被告 。 据 了解 ， 特侦组 在 郑深池 住处 进行 搜索 ， 并 传唤 他 到案 说明 时 ， 郑 似乎 早有 心理准备 ， 私下 向 办案 人员 叹 了 口气 说 ： “ 自从 扁家 洗钱 案 爆发 后 ， 我 就 知道 总有一天 检调 会 找 上 我 ， 这 一天 已经 等 了 很 久 了 。 ”   由于 办案 人员 已经 掌握 具体 的 汇款 水单 等 事证 ， 认为 郑深池 涉嫌 重大 ， 因此 在 郑深池 到案 前 就 决定 ， 若 郑深池 矢口否认 涉案 ， 就 以 串证 之 虞 ， 向 法院 声押 ， 但 郑 到案 后 却 非常 合作 ， 将 过去 多年 来 如何 帮 扁家 洗钱 、 隐匿 资金 流向 等 ， 都 交代 的 清清楚楚 。   办案 人员 在 清查 郑深池 的 相关 帐户 时 ， 就 发现 帐户 内 异常 资金 往来 ， 除了 部分 流向 蔡铭哲 、 郭淑珍 等 扁家 海外 人头 户外 ； 另有 部分 款项 流入 其他 海外 帐户 ， 办案 人员 已经 扩大 调查 这 一部分 的 资金 流向 、 目的 ， 以 进一步 查证 是否 亦 为 扁家 不法 资金 。   特侦组 认为 ， 郑深 池以 其金控 董事长 身分 、 专业 ， 涉嫌 长年 提供 公司 及 海外 人头 户 ， 以 小额 汇款 “ 蚂蚁 搬 砖 ” 方式 ， 规避 银行 向 洗钱 防制 机关 通报 的 法令 规定 ， 协助 扁家 将 资金 汇往 海外 洗钱 。   在 侦讯 过程 中 ， 郑深池 坦承 在 “ 夫人 ” 吴淑珍 的 授意 下 ， 协助 扁家 洗钱 的 细节 ， 因此 特侦组 认为 他 配合 调查 ， 没有 串证 之 虞 ， 在 侦讯 后 连 交保 都 不必 ， 就 将 他 当场 饬 回 。 仅 对 他 及 元 大金控 的 马维辰 发布 境管 。   而特 侦组 搜索 三大金控 集团 ， 搜索 行动 持续 到 前日 深夜 才 完成 ， 办案 人员 怀疑 ， 三大金控 等 旗下 海外 企业 、 纸上 公司 、 公司 大 股东 、 高阶 主管 等 ， 长期 提供 帐户 协助 扁家 海外 洗钱 ， 且 有 巨额 异常 资金 往来 ， 本周 起 ， 将 针对 涉案 相关 人士 传唤 查证 。 
 时政 	 台联党 称 不能 跟 陈水扁 走 在 一起 游行 中新网 10 月 19 日电   陈水扁 是否 参与 “ 10 • 25 大 游行 ” 引发 争议 ， 民进党 主席 蔡 英文 今天 表示 ， 此事 还 在 处理 中 。 不过 ， 台联党 秘书长 林志嘉 表态 ， “ 我们 不能 跟 陈水扁 走 在 一起 ” 。 据 “ 中央社 ” 报道 ， 民进党 等 针对 “ 10 • 25 ” 游行 ， 今天 召开 总动员 记者会 ， 蔡 英文 、 林志嘉 等 人 出席 。 对于 陈水扁 是否 出席 游行 ， 林志嘉说 ， 台联党 原本 要 走 某 一条 游行 路线 ， 但 听说 陈水扁 可能 也 要 走 ， 因此 还要 再 协调 一下 ， 因为 “ 我们 不能 跟 陈水扁 走 在 一起 ” 。 蔡 英文 则 表示 ， 不论是 好 朋友 或大老 的 意见 都 会 仔细 检讨 ， 但 这件 事 目前 还 在 处理 中 。 
 时政 	 国务院 会议 要求 降低 住房 交易 税费 支持 居民 购房 国务院 总理 温家宝 17 日 主持 召开 国务院 常务会议 ， 分析 当前 经济 形势 ， 安排 部署 四季度 经济 工作 。 会议 认为 ， 今年以来 ， 我国 经济社会 发展 经受 了 多方面 严峻考验 ， 党中央 、 国务院 带领 全国 各族人民 ， 克服 了 特大 自然灾害 和 世界 经济 金融 形势 急剧 变化 造成 的 冲击 ， 保持 了 国民经济 平稳 较 快 发展 和 社会 和谐 稳定 。 物价 总 水平 涨幅 得到 控制 ， 就业 持续 增加 ， 粮食 连续 五年 增产 ， 调整 经济 结构 和 节能 减排 取得 积极 成效 ， 改革开放 继续 深化 ， 以 改善 民生 为 重点 的 社会 建设 进一步 加强 。 总的看 ， 国际 不利因素 和 国内 严重 自然灾害 没有 改变 我国 经济 发展 的 基本 态势 ， 我国 经济 发展 具有 抵御 风险 的 能力 和 强劲 活力 。 会议 指出 ， 当前 国际 金融市场 急剧 动荡 ， 世界 经济 增长 明显 放缓 ， 国际 经济 环境 中 不 稳定 因素 明显 增多 ， 对 我国 的 影响 逐步 显现 ， 国内 经济运行 中 出现 了 一些 新 情况 、 新 问题 。 主要 是 经济 增长 放缓 趋势 明显 ， 企业 利润 和 财政收入 增速 下降 ， 资本 市场 持续 波动 和 低迷 。 我们 既 要 充分 估计 国际 环境 的 复杂性 和 严峻性 ， 深刻 认识 保持 我国 经济 平稳 较 快 发展 的 重要性 和 艰巨性 ， 增强 忧患意识 ， 又 要 正确认识 我们 的 有利条件 和 积极因素 ， 坚定信心 ， 冷静 观察 ， 多管齐下 ， 有 效应 对 ， 努力 把 好 的 形势 巩固 和 发展 下去 。 会议 强调 ， 做好 四季度 经济 工作 ， 对于 全面完成 今年 任务 ， 为 明年 的 发展 打下 良好基础 ， 尤为重要 。 要 按照 科学 发展观 的 要求 ， 采取 灵活 审慎 的 宏观经济 政策 ， 尽快 出台 有 针对性 的 财税 、 信贷 、 外贸 等 政策措施 ， 继续 保持 经济 平稳 较 快 增长 。 同时 ， 推进 结构调整 和 发展 方式 转变 ：         相关 阅读 ：         温家宝 主持会议 部署 支持 藏区 经济社会 发展 工作         温家宝 ： 以 灵活 审慎 经济 政策 应对 金融危机         温家宝 ： 中国 有 信心 保持 经济 又 好 又 快 发展 
 时政 	 外交部 驻外 使节 任职 仪式 首次 对 公众 开放 ( 图 ) 中新社 北京 十月 十九日 电   ( 记者   孙宇挺 ) 中国外交部 十九日 在 部 橄榄 厅 举行 第六次 驻外 使节 任职 宣誓 仪式 ， 与 以往 不同 的 是 ， 来自 十五个 省市 的 一百 三十余名 公众 共同 见证 了 九位 新任 使节 进行 任职 宣誓 。 这是 外交部 从 二 00 六年 十一月 举行 该 仪式 以来 ， 首度 将 仪式 作为 “ 公众 开放日 ” 活动 向 公众 开放 。 面对 庄严 的 五星红旗 ， 驻 韩国 大使 程 永华 、 驻 汤加 大使 樊 桂金 、 驻 白俄罗斯 大使 鲁桂成 等 九名 新任 大使 郑重 宣誓 ： 忠实 履行 国家 赋予 的 神圣职责 ， 坚决贯彻 执行 中国 外交政策 ， 捍卫 国家主权 和 领土完整 ， 维护 国家 利益 和 民族尊严 ， 促进 世界 和平 与 发展 ， 勤政 廉明 ， 克己奉公 ， 鞠躬尽瘁 ， 不辱使命 。 杨洁篪 外长 对 大使 们 说 ， 此时此刻 作为 伟大祖国 和 十三亿 人民 的 代表 ， 手执 国书 出使 一方 ， 既 是 一份 崇高 的 荣誉 ， 更是 沉甸甸 的 责任 和 使命 。 他 对 大使 们 提出 了 四点 要求 ： 以 “ 政治家 办 外交 ” 的 标准 要求 自己 ， 做 国家 利益 的 捍卫者 ； 以 “ 科学 办 外交 ” 的 要求 指导 工作 ， 做 双边关系 和 多边合作 的 积极 推动者 ； 以 “ 以人为本 ” 的 精神 进行 服务 ， 做 “ 外交 为民 ” 理念 的 忠 实践 行者 ； 以 发扬 外交部 优良传统 为 己任 ， 做 和谐 使馆 的 有力 建设者 。 杨洁篪 在 接受 记者 采访 时 表示 ， 驻外 使节 任职 宣誓 仪式 目的 是 彰显 驻外 使节 的 神圣 使命 和 崇高 职责 ， 增强 全体 外交人员 的 责任感 和 荣誉感 。 对于 今天 首次 将 仪式 对 公众 开放 ， 邀请 社会各界 公众 代表 共同 见证 这一 庄严 、 神圣 的 时刻 ， 杨洁篪 说 ， “ 一是 勉励 驻外 使节 和 全体 外交人员 ， 中国 外交 永远 是 人民 的 外交 ， 人民 永远 是 外交 工作 的 牢固 基石 和 坚强 后盾 ； 二是 向 人民 郑重 宣誓 ， 我们 拥有 一支 热爱祖国 、 忠于 人民 、 政治 过硬 、 业务 精湛 、 恪尽职守 的 外交 队伍 ； 三是 感谢 外交人员 家属 以及 社会各界 长期以来 对 外交 工作 的 关心 、 理解 和 支持 。 ” 作为 第一批 有幸 目睹 中国 驻外 使节 任职 宣誓 仪式 的 公众 代表 ， 就读于 国际关系学院 国际 政治 专业 的 唐江雨 被 仪式 的 神圣 和 庄严 所 感动 ， 同时 他 也 道 出 两声 感谢 ， 感谢 外交人员 们 恪尽职守 、 无私奉献 ， 感谢 外交部 贯彻 “ 外交 为民 ” 理念 ， 通过 举办 公众 开放日 活动 ， 让 越来越 多 的 老百姓 了解 外交 、 参与 外交 。 新任 驻 韩 大使 程 永华 对 记者 表示 ， 面对 国旗 ， 面对 这么 多 参加 仪式 的 公众 ， 自己 更 深感 受到 对 祖国 、 对 人民 需要 负责 的 心情 ， 也 加深 了 为 中国 外交 事业 鞠躬尽瘁 、 不辱使命 的 信心 。 程 大使 的 夫人 和 女儿 程昱 也 一同 出席 了 今天 的 活动 ， 正在 北大 就读 大三 的 程昱 从小 跟随 父亲 出席 过 不少 活动 ， 但 这样 的 活动 还是 第一次 ， 她 说 ， 这次 的 仪式 很 庄严 ， 让 她 感受 到 了 国家 对 外交 事业 的 重视 ， 她 为 自己 父亲 是 一名 外交官 感到 自豪 。 通过 网络 报名 获得 参加 外交部 公众 开放日 资格 的 张鹏 从 安徽 坐 了 两天 的 火车 来到 北京 ， 外交部 在 他 心目 中是 神圣 和 庄严 的 ， 今天 的 活动 则 让 这位 二十二岁 的 青年 感觉 到 外交部 和 人民 紧紧 连 在 了 一起 。 自称为 杨洁篪 忠实 粉丝 的 他 今天 不仅 拿到 了 杨洁篪 的 亲笔签名 ， 并 跟 自己 的 偶像 合 了 影 ， 这 让 他 兴奋不已 。 完 
