科技 	 全高清 双 存储 设计   JVC   HM200 套装 4350 元         作者 ： 李金昊         [ 北京 行情 ]   JVC   HM200 是 全球 第一款 支持 双 SDHC 存储卡 扩展 能力 的 民用 级 闪存式 高清 数码 摄像机 。 它 支持 同时 安装 两张 SDHC 存储卡 ， 当 使用 的 SDHC 卡 的 容量 全部 达到 32GB 时 ， 最高 可以 记录 30 小时 的 FullHD 视频 影像 。 笔者 今天 在 市面上 了解 到 ， 此款 机型 现在 的 最新 报价 为 4350 元 ， 随 产品 搭配 原装 包 、 UV 镜 、 清洁 套装 、 LCD 贴膜 。         JVC   HM200 可以 同时 安装 两张 SDHC 存储卡 ， 在 拍摄 时 如果 第一张 SDHC 卡 的 容量 已满 ， 则 视频 资料 将 自动 开始 在 第二张 SDHC 卡上 进行 记录 。 性能 方面 ， GZ - HM200 还 支持 适合 YouTube 视频 的 格式 ， 可以 方便 的 通过 iTunes 传输 视频 。 GZ - HM200 配置 了 JVC 最新 开发 的 20 倍 光学 变焦镜头 ， 具有 1 秒 快速 启动 、 便捷 检索 以及 面部 优化 功能 。 GZ - HM200 的 编码 芯片 也 经过 重新 优化 ， 码率 可达 AVCHD 最高 标准 的 24Mbps ， 耗电量 仅为 过去 产品 的 50% 。         编辑 观点 ：         JVC   HM200 是 一款 拥有 双卡槽 的 全高清 数码 摄像机 ， 成像 效果 出色 。 机身 采用 闪存 存储 小巧 轻便 ， 不仅 更加 省 电 ， 还 可以 适应 高原 等 严酷 的 环境 。 现在 此款 机型 刚刚 上市 ， 不 着急 的 消费者 可以 持币观望 一阵 。         JVC   GZ - HM200         [ 参考价格 ]   4350 元 套装 
 科技 	 33 小时 续航 触控 操作   iriver   T6 仅 269         作者 ： 曹锐         iriver   T6 采用 了 触控 操作 方式 、 机身 设计 轻薄 ， 续航 时间 可达 33 小时 。 今天 该机 的 市场 售价 进行 了 小幅 调整 ， 2GB 仅售 269 元 。 咨询电话 ： 010 - 82697620 。         iriver   T6         容量 ： 2GB   报价 ： 269 元 编辑 点评 ：         iriver   T6 搭载 了 1.8 英寸 显示屏 ， 支持 MP3 、 WMA 两种 音频文件 ， 续航 时间 长达 33 小时 。 另外 T6 还 内置 了 FM 收音 功能 ， 支持 JPEG 格式 图片 显示 。 机身 设计 轻薄 ， 触控 操作 方式 良好 地 保持 了 机身 的 整体性 。           iriver   T6 [ 参考 报价 ]   2GB / 269 元 [ 咨询电话 ]   010 - 82697620 
 科技 	 为 高考 学子 们 送祝福   飞利浦 GoGear         随着 暑气 的 逐渐 消退 ， 象征 着 收获 的 季节 — — 秋天 即将 到来 。 经历 了 高考 历练 的 学子 们 ， 正 打点 行装 ， 准备 奔赴 象牙塔 进一步 深造 。 相信 你 的 亲戚 和 朋友 家中 ， 也 会 有 这样 的 孩子 。 那么 ， 作为 前辈 的 我们 ， 用 什么样 的 礼物 ， 才能 恰到好处 地送 上 一份 祝福 呢 ？         飞利浦 Gogear 系列 MP3 就是 非常适合 的 礼物 。 首次 离开 家门 的 学子 ， 必然 无法 割舍 对 家乡 和 亲人 的 思念 。 GoGear   Mp3 可以 在 学子 们 孤独 时 ， 为 他们 派遣 寂寞 ； 学子 们 从小 在 父母 和 亲戚朋友 中 的 呵护 中 长大 ， 上 大学 后 将 独自 面对 外面 世界 的 风风雨雨 ； 在 他们 受到 挫折 、 感到 气馁 时 ， GoGear   Mp3 可以 为 他们 鼓起勇气 ， 重树 信心 。         SA28 堪称 是 一款 内外 兼修 的 作品 。 从 外观 上 看 ， SA28 采用 了 方块 造型 ， 显得 比较 另类 ， 此外 ， SA28 还 采用 了 镜面 屏 ， 当 关闭 屏幕显示 后 ， 可以 当做 一款 化妆镜 来 使用 ， 非常适合 追求 个性化 的 学生 一 族 。         从 效果 和 功能 方面 看 ， SA28 是 首款 搭载 飞利浦 “ 飞声 ” 音效 的 MP3 ， 能够 有效 去除 一般 均衡器 所 带来 的 “ 数码味 ” ， 还 你 一个 可以 媲美 CD 音质 的 天籁 之音 。 对于 目前 流行 的 APE 和 FLAC 无损 格式 的 音乐 ， SA28 也 可以 提供 良好 的 支持 。         如果说 SA28 整体 感觉 较为 冷峻 庄重 ， 适合 性格 沉稳 的 男生 使用 ， 那么 作为 SA28 娱乐 升级版 的 SA29 ， 整体 感觉 则 更加 华贵 ， 较为 适合 那些 追逐 潮流 和 时尚 的 女 学生 使用 。         在 延续 SA28 的 飞 声音 效 、 APE 和 FLAC 双 无损 等 优质 特性 的 同时 ， SA29 还 提供 了 更 多 娱乐 功能 。 比如 可以 进行 图片 浏览 ， 还 可以 设定 屏保 。 学生 可以 把 家人 的 照片 存进 SA29 ， 想念 的 时候 随时 翻看 。         如果说 SA28 和 SA29 是 另类 的 造型 和 时尚 的 娱乐 功能 著称 ， 那么 GoGear   Mix 则 以 简单 易用 和 人性化 的 设计 见长 ， 非常适合 活泼 好动 的 学生 使用 。         GoGaer   Mix 与 它 的 名字 类似 ， 是 一款 混合 了 各种 功能 和 应用 的 “ 音乐 魔棒 ” 。 它 具备 了 学生 常用 到 的 音乐 、 FM 收音 、 录音 等 功能 。 搭载 了 一块 小 尺寸 、 低功耗 的 LCD 显示屏 ， 可以 显示 乐曲 名称 和 播放 状态 ， 也 方便 学生 进行 各种 设置 。 此外 ， Mix 的 屏幕 还 可以 根据 学生 的 左右手 操作 习惯 进行 旋转 的 设置 ， 可以 说 非常 的 人性化 。         Mix 还 内置 了 一个 USB 接口 ， 手指 轻推 ， 即可 与 电脑 快速 连接 ， 不仅 拷贝 音乐 方便 ， 还 可以 拿来 当 优盘 使用 ， 方便 学生 们 用来 拷贝 教师 讲义 等 学习 资料 。 连接 电脑 时 ， Mix 提供 了 “ 充电 和 传输 ” 与 “ 充电 和 播放 ” 两种 选择 ， 选择 后者 的话 ， 学生 可以 一边 充电 一边 欣赏 音乐 。         由于 学子 们 是 第一次 开始 自己 打理 生活 ， 需要 养成 勤俭 的 好 习惯 ， 笔者 推荐 的 这 几款 GoGear   MP3 ， 既 拥有 优越 的 品质 ， 价格 又 非常 实惠 ， 可以 让 学子 们 在 享受 时尚 产品 的 同时 ， 又 不至于 沾染上 追逐 奢华 的 不良风气 ， 帮助 他们 健康 快乐 地 度过 大学 时光 。 
 科技 	 全金属 超薄 机身   纽曼 新品 A9HD 热卖中 纽曼 高清 新品 A9HD 已经 上柜 了 。 这 款 产品 的 亮点 在于 全金属 超薄 机身 ， 并 能 支持 720P 高清 视频 ， 售价 也 相当 合理 ， 4GB / 8GB / 16GB 报价 499 元 ／ 599 元 ／ 699 元 ， 喜欢 金属 风 的 朋友 可 要 关注 一下 了 。 销售 柜台 ： 海龙 2097 电话 ： 82662325 鼎好 2322     电话 ： 82698548 / 82699490 太平洋 2301 电话 ： 82667002E 世界 A2583 电话 ： 62680457 百脑汇 2080 电话 ： 65995685 纽曼   A9HD 纽曼   A9HD [ 参考 报价 ]   4GB / 8GB / 16GB   499 元 / 599 元 / 699 元 [ 销售 地址 ]   海龙 2097 电话 ： 82662325 鼎好 2322     电话 ： 82698548 / 82699490 太平洋 2301 电话 ： 82667002E 世界 A2583 电话 ： 62680457 百脑汇 2080 电话 ： 65995685 
 科技 	 升级 不 加价   原道 新品 G22   4GB 仅售 299 元 近日 ， 原道 数码 推出 了 “ 玩乐 道 ” 系列 的 新款 产品 — — 原道 G22 。 作为 原道 G21 的 升级 版本 ， G22 在 延续 G21 特性 的 同时 ， 进一步 完善 了 诸多 细节 ， 价格 却 依然 保持 不变 ， 4GB 容量 299 元 。 外观 方面 与 G21 相比 ， G22 对 机身 所有 的 边角 都 进行 了 圆滑 的 处理 ， 线条 更加 柔和 ， 握感 也 更为 舒适 。 功能 方面 ， 原道 G22 延续 了 G21 的 重力 感应 特性 ， 用户 可以 凭 自己 的 喜好 ， 随心所欲 地 360 度 旋转 界面 。 随机 附带 的 重力 感应 游戏 ， 更是 将 这 一 功能 演绎 到 了 极致 。 此外 ， G22 在 开机 和 关机 的 时候 ， 也 可以 实现 重力 感应 旋转 。 G22 还 延续 了 G21 的 时尚 UI 设计 。 在 G22 的 UI 界面 中 ， 没有 图片 与 底图 的 分界 ， 从而 延伸 了 视觉 张力 ， 有效 扩展 了 触摸屏 上课 触控 的 空间 。 
 科技 	 最薄 广角 新机   佳能 IXUS120 售价 2260 元         佳能   IXUS   120   IS 保持 上 一代 机型 IXUS   100   IS 纤薄 外观设计 同时 ， 性能 上 进一步 升级 ， 光学 变焦 由 原来 的 3 倍 提升 为 现在 的 4 倍 ， 更 增添 了 28mm 广角 ， 镜头 焦距 相当于 35mm 照相机 的 28 - 112mm ， 最大 光圈 F2.8 ( 广角 ) / 5.9 ( 长焦 ) ， 拍摄 视角 得以 大大 扩展 。         佳能   IXUS   120   IS 的 镜头 采用 全新 设计 ， 首次 应用 了 两枚 UA 镜片 ( 非球面 镜片 ) ， 这 意味着 镜头 外形 和 构造 可以 达到 迄今 最薄 ; 得益于 对 镜头 筒 驱动 马达 设计 的 大胆 改进 ， 其 部件 采用 优化 的 布局 和 全新 的 机械 构造 。         以上 因素 让 配有 28mm 广角镜头 的 佳能   IXUS   120   IS 机身 厚度 仅为 20   mm ( 最薄 的 部分 为 18.5   mm ) ， 使 之 成为 佳能 28mm 广角 型号 中 最纤薄 的 一款 。 此外 ， 镜头 采用 了 IS 光学 防抖 技术 ， 有效 地 解决 了 相机 在 光线 不足 的 情况 下 ， 因 手持 相机 轻微 抖动 而 产生 的 画面 模糊 问题 ， 从而 可 获得 清晰 的 影像 。         而 液晶屏 尺寸 则 从 IXUS   100   IS 的 2.5 ＂ 增大 到 2.7 ＂ ， 并 沿用 “ 晶炫 II ” 液晶屏 ， 不但 可视性 更佳 ， 而且 能够 呈现 真实 画面 ， 不易 产生 划痕 和 附着 污点 。         [ 参考 报价 ] ： 佳能   IXUS   120   IS     2260 元 
 科技 	 玻璃 金属 全 吸住   三 和 发布 百元 吸盘 脚架 近日 ， 日本 三 和 公司 发布 了 一款 吸附 能力 较强 的 吸盘 三脚架 200 - CAM007 ， 该 三脚架 采用 吸盘式 的 底部 ， 可 轻松 吸附 在 玻璃 ， 金属 和 塑料 等 平面 上 。 售价 是 1 ， 480 日元 ， 折合 人民币 108 元 。 吸盘 三脚架 200 - CAM007 最大 可 负重 350g 的 器材 ， 一般 为 卡片机 所用 。 而 顶部 如 一般 三脚架 一样 可 自由 方向 旋转 来 取景 。 其 1 / 4 处 设置 了 螺丝钉 来 调配 固定 力度 。 脚架 的 大小 尺寸 是 70 × 70 × 85mm ， 重量 是 75g 。 
 科技 	 禄来 MiniDigi   AF5.0 专用 广角 微距 转换 镜 日本 驹村 商会 株式会社 将 为 迷你 复刻版 的 禄 莱 Rolleiflex   MiniDigi   AF5.0 推出 广角 转换 镜 ， 分别 有 0.38 x 的 广角 转换 镜及 0.45 x 广角 微距 转换 镜 。 价格 方面 ， 0.38 x 的 售价 为 8900 日元 ， 折合 人民币 约 646 元 ； 0.45 x 的 售价 为 6 ， 900 日元 ， 折合 人民币 约 500 元 。 两款 新品 将 于 8 月 27 日 上市 。 0.38 x 转换 镜 采用 3 组 4 片式 设计 ， 尺寸 为 42 × 31mm ( 直径 × 全长 ) ， 重量 36g 。 该 转换 镜 可以 实现 类似 鱼眼 镜头 的 夸张 桶 形 畸变 ， 从而 带来 强烈 的 视觉 冲击 。 另外 的 0.45 x 广角 微距 转换 镜 由于 采用 磁性 连接 ， 所以 能 轻易 地 实现 广角 与 微距 之间 的 切换 拍摄 ， 以 广角 拍摄 时 ， 镜头 结构 为 2 组 2 片 ， 尺寸 为 37 × 19mm ( 直径 × 全长 ) ， 重量 28g 。 除了 推出 两款 转换 镜外 ， 还 推出 了 专为 Rolleiflex   MiniDigi   AF5.0 而 设计 的 真皮 相机包 ， 售价 为 4 ， 935 日元 ， 折合 人民币 约 358 元 。 
 科技 	 超值 之选 不错 过   iriver   T5T6 降价         七夕 到 了 ， 这个 中国 最具 浪漫 色彩 的 传统节日 如今 不 知道 还有 多少 年轻人 记得 。 为 心仪 的 人 送 上 一份 贴心 的 礼物 ， 一定 能 让 对方 感动 。 来自 韩国 的 数码 影音 大牌 iriver 提出 了 “ 设计 改变 生活 ” 的 新 口号 ， 旗下 产品 几乎 个个 荣获 国际 权威 设计 大奖 。 适逢 浪漫 佳节 ， 为 回馈 广大 消费者 特别 是 年轻 情侣 ， iriver 中国 总经销 三奇 承信 继 七月 底 降价 后 再次 下调 了 T5 / T6 两款 产品 的 价格 ， 累计 降幅 近 百元 。         iriver   T5 有 黑 、 银 两种 颜色 供 大家 选择 ， 刚好 符合 男女 佩戴 的 需求 ， 它 采用 直 插式 USB 接口 传输 及 充电 ， 能 播放 MP3 、 WMA 两种 音频格式 ， 支持 FM 收音 、 录音 等 功能 ， 内置 的 锂电池 可 提供 13 小时 的 续航 能力 。 别看 T5 价格低廉 却 选用 金属 材质 ， 不仅 突出 了 优雅 刚毅 的 内涵 ， 更 凸现 iriver 做工 之 考究 。 发烧级 音质 始终 是 iriver 带给 用户 的 承诺 ， 采用 全新 音频 解码 芯片 的 T5 内置 有 Classical 、 Pop 等 六种 丰富 EQ ， 可 让 用户 轻松 选择 适合 自己 的 聆听 方式 ， 满足 不同 的 心境 ， 饱满 的 低频 表现 和 清亮 高频 将 为 用户 提供 一个 广阔 的 Hi - Fi 氛围 。         同样 黑白 两色 可选 T6 也 运用 了 冷峻 的 金属 材质 ， 金属 拉丝 面板 使 其 质感 极佳 ， 9.4 毫米 纤薄 机身 无论 视觉 还是 手感 都 非常 舒适 ， 特别 易于 携带 。 橘色 感光 触摸 按键 让 操作 变得 更 灵活 醒目 。 T6 的 音质 以 浑厚 的 低频 表现 以及 三频 的 柔和 过渡 为 特色 ， 另外 低功耗 也 保证 了 其 33 小时 强劲 续航 。 它 搭载 有 1.8 英寸 TFT   LCD 显示屏 ， 支持 MP3 、 WMA 音频 播放 、 FM 收 录音 及 JPEG 格式 图片 浏览 。 
 科技 	 逐行扫描 全高清   三洋 HD2000 套装 售 3880         作者 ： 李金昊         [ 北京 行情 ]   三洋 HD2000 是 一款 支持 1080P 逐行扫描 全高清 摄像 的 闪存式 DV 产品 。 今天 笔者 在 市场 上 了解 到 ， HD2000 的 市场 售价 有 了 小幅度 的 调整 ， 现在 的 最新 价格 是 3880 元 ， 并 赠送 备用 电池 、 8GB 存储卡 、 摄影包 。         目前 最高 标准 的 全高清 格式 为 1080P （ P 代表 逐行扫描 ） ， 三洋 HD2000 轻松 做到 了 这 一点 ， 并 可 在 60fps 的 高速 模式 下 纪录 。 60fps 的 逐行扫描 ， 意味着 可以 实现 更 清晰 、 更 稳定 的 静态 画面 和 动态 画面 ， 带来 最 顶级 的 享受 。         三洋 HD2000 依然 是 Dual   Camera   Xacti （ 跨界 数码相机 ） 中 的 一员 ， 不仅 能 实现 1080P 的 全高清 录象 ， 其 拥有 的 1 / 2.5 英寸 的 810 万 像素 的 感光 元件 足以 达到 主流 家用 DC 的 拍照 水平 ， 真正 高 水准 的 做到 了 一机 两用 。         三洋 HD2000 延续 了 三洋 DV 的 “ 剃须刀 ” 式 的 设计 风格 ， 由于 采用 闪存 作为 存储介质 ， HD2000 机身 尺寸 做到 了 311 × 112.6 × 90mm 的 小型化 ， 重量 仅 311g ， 这样 的 尺寸 和 重量 在 高清 DV 阵营 中是 极其 少见 的 。 并且 HD2000 采用 了 2.7 英寸 23 万 像素 的 可大 角度 翻转 的 液晶屏 ， 令 取景 更加 方便 。         编辑 观点 ：         三洋 HD2000 拥有 出色 的 高清 视频 拍摄 能力 ， 且 价格 相对来说 比较 低廉 ， 在 闪存式 DV 产品 中 亦 具有 较 高 的 性价比 ， 目前 价格 降 至 新低 ， 值得 消费者 选购 。         三洋   VPC - HD2000         [ 参考价格 ]   3880 元 
 科技 	 酷比 魔方 H600HD 半价 试用 活动 名单 揭晓 酷比 魔方 H600HD 支持 1080I 高清 输出 ， 兼容 多种 视频格式 ， 包括 RMVB / RM 、 AVI 、 FLV 、 MKV 、 DAT 、 MPG 、 MP4 、 MOV 、 PMP 、 VOB ， 同时 还 可 直接 播放 H.264 ( HP ) / H.263 解码 视频文件 。 目前 酷比 魔方 正在 进行 对 H600HD 的 半价 试用 活动 ， 试用者 名单 已经 确定 。 试用者 名单 ： 1 . fwpzone2 . anj163 . 太空船 4 . meiqiliu5 . y378244082 活动 内容 ： H600HD 评测 试用 活动   机器 型号 ： H600HD 活动 时间 ： 2009 年 8 月 15 日 -- 2009 年 9 月 15 日   活动 对象 ： 数码 发烧友 ， 论坛 注册 用户 ， 发表 过 相关 文章 （ 评测 ， 心得 ， 技术 分析 等 均 可 ）   活动 形式 ： 酷比 魔方 将 为 5 名 试用 入围者 提供 5 台 8GB   H600HD   试用 ， 试用者 需在 本论坛 发布 试用 感受 。 试用 文章 规则 ：   1 、 文章 要求 语气 通顺 、 段落 、 思路清晰 ， 客观 公正 的 说出 产品 的 特点 和 自己 的 观点 。   2 、 参与 活动 帖子 格式 ： [ 酷比 H600HD   ] + 文章 标题 。   报名 格式 :   1 、 你 写 过 哪些 测试 文章 2 、 你 在 那些 论坛 有 ID3 、 你 是否 愿意 为 H600HD 写 测试 / 你 要 怎样 测试 H600HD   ， 有 其他 主机 进行 对比 吗 ？ 4 、 活动 地址 ： http : / / group . zol . com . cn / 13 / 19 _ 121853 . html 文章 要求 ：   1 、 相片 要求 ： 自拍 的 照片 ， 对 自己 拥有 的 其他 类产品 进行 外观 PK 、 对 产品 工业 设计 、 随机 附件 等 方面 进行 评价 ， 描述 拿到 产品 后 的 初步 感觉 。   2 、 使用 心得 ： 对 产品 进行 全面 评测 ， 包括 功能 使用 、 使用 一段时间 后 的 经验 、 心得 、 技巧 ， 各种 视频格式 的 优缺 、 机器 续航 时间 等 。 和 其他 同类 经典 主机 进行 PK ， 说出 建议 和 手中 产品 进行 对比 ！   3 、 测试 重点 ： 重点 对 机器 本身 视频 功能 进行 测试 ， 还有 OTG / EXFAT / HP   H 。 264 等 功能 写出 自己 的 真实 感受 。   注意 说明 ：   1 、 试用 心得 文章 必须 公正 客观 ， 且 为 原创 。 酷比 魔方 公司 对 试用 文章内容 将 不 做 任何 干涉 。   2 、 谢绝 同行 厂商 相关 人士 参与 ， 活动 最终 解释权 归酷 比 魔方 所有 。   3 、 试用 价为 8GB   299 元 。 活动 结束 后 ， 试用者 可 将 机器 留为 已用 ， 也 可 退器 退款 。   活动 详细 流程 ：   1 、 8 月 15 日 - 8 月 25 日 ： 网友 在 此 贴 跟帖 报名 ， 并 发表 有关 酷比 魔方 支持 感受 和 建议 。   2 、 8 月 27 日 ： 论坛 将 评选 出 若干 试用 入围者 ， 联系 试用者 填写 资料 、 安排 试用 产品 寄出 。   3 、 9 月 1 日 - 9 月 15 日 ： 试用者 进行 评测 发表 评测 文章 及 评论   声明 ： 活动 最终 解释权 归酷 比 魔方 所有 。 
 科技 	 采用 RK28 芯片   高清晰 播放器 MP4 推荐         作者 ： 毛晓曼         目前 视频 MP4 基本 都 具有 高清 播放 功能 ， 而 这 类产品 的 也 在 不断 的 升级 当中 ， 现在 全新 一代 的 RK28 已经 面世 ， 新 的 芯片 实现 了 以下 3 大 突破 ：         一 、 视频 支持 类型 增加 ： RMVB 、 RM 、 FLV 、 AVI 、 MKV 、 VOB 、 MPG 格式 等 六种 格式 ， 而且 每个 格式 均 实现 了 1280 * 720P 播放 。 二 、 支持 MKV 多音轨 选择 。 三 、 支持 SRT 、 SMI 和 SSA 外挂字幕 ， 也 支持 MKV 内嵌字幕 ； 另外 ， SUB 字幕 的 支持 将 用 补丁包 方式 发布 。         现在 采用 RK28 芯片 的 高清 播放器 还 并 不算 多 ， 如果 想 体验 的话 可以 选购 以下 几款 产品 。         OPPO   S39         容量 ： 8GB   报价 ： 899 元 编辑 点评 ：         OPPO   S39 采用 了 全 触摸屏 操作 ， 整机 采用 了 尊贵 典雅 的 蓝色 配色 ， 采用 最新 高清 视频 解码 方案 ， 支持 真正 的 H.264 编码 720P 高清 ， 可 直接 播放 720P （ 1280 × 720 像素 ） 高清 RM / RMVB 、 AVI 、 MKV 格式 视频 。 S39 搭配 了 雅马哈 顶尖 外放 配置 ， 独立 音频芯片 ， 影音 播放 水平 非常 出众 。 借助 优秀 的 显示 屏幕 和 良好 的 触摸 操控 ， S39 所 搭载 的 图片 浏览 、 TXT 电子书 阅读 等 功能 也 为 用户 带来 不错 的 使用 感受 。           此外 ， S39 还 拥有 录音 、 学习 （ 包括 口语 评测 、 词霸 ） 、 闹钟 、 日历 、 世界 时间 、 计算器 、 游戏 等 功能 ， 其中 学习 功能 极具 特色 ， 智能 的 口语 指导 和 海量 词汇 ， 无论是 学生 朋友 还是 上班族 ， 都 很 适用 。 
 科技 	 4.3 英寸 大屏 数码 播放器   金星 JXD991 仅 360         昨天 为 大家 介绍 了 金星 一款 高性价比 数码 播放器 JXD992 ， 拥有 4.3 英寸 大屏 ， 支持 多种 音视频 格式 ， 售价 399 元 ， 并且 在 市场 有着 不错 的 销量 。 而 今日 为 大家 介绍 的 是 JXD992 的 “ 兄弟 ” JXD991 , 该机 是 较 早前 上市 的 ， 同样 有着 不俗 的 表现 ， 4.3 英寸 的 TFT 液晶 宽屏 、 RMVB 的 完美 支持 、 内置 多种 音效 等 功能 一应俱全 ， 而且 随着 它 的 “ 兄弟 ” JXD992 在 市场 走俏 ， JXD991 也 不得不 采取 了 降价 的 措施 来 应对 ， 目前 商家 给出 的 报价 是 360 元 ， 较 之前 进行 了 略微 下调 。         外观 方面 ， 金星 JXD991 机身 仅为 115 × 76 × 11mm ， 外观 采用 黑白 两种 色彩 搭配 ， 显得 非常 时尚 经典 。 屏幕 采用 的 是 一款 4.3 英寸 1600 万色 TFT 液晶显示 宽屏 ， 图像 色彩 显示 非常 细腻 ， 在 搭配着 内置 的 立体声 外放 ， 音视频 效果 表现 得 非常 突出 。         性能 方面 ， 金星 JXD991 支持 RMVB 高清 播放 ， 最高 可播放 1280 × 720 分辨率 的 视频 。 此外 ， 它 还 支持 RM 、 AVI 、 MPG 、 FLV 、 MPEG - 1 、 MPEG - 2 等 格式 ， 对于 DVD 和 VCD 格式文件 可 无需 转换 直接 播放 ， 极大丰富 了 用户 可 观赏 的 视频 种类 。 在 音频 方面 ， JXD991 不仅 支持 MP3 、 WMA 等 多种 主流 音频格式 ， 而且 还 支持 APE / FLAC 无损压缩 音乐格式 ， 并 内置 多种 音效 ， 使得 用户 可 享受 多种不同 的 音乐 效果 。 附加 功能 方面 ， JXD991 支持 数码 录音 、 电子书 阅读 、 图片 浏览 、 万年历 等 实用性 的 工具 。 编辑 点评 ：         这 款 金星 JXD991 外观设计 非常 时尚 ， 其 功能 支持 繁多 ， 性能 方面 与 金星 JXD992 相差 毫几 ， 如果 你 觉得 JXD992 略微 贵 一些 的话 ， 不妨 考虑一下 这 款 金星 JXD991 。 [ 参考价格 ] ： 金星   JXD991 ( 4G )   360 元 
 科技 	 7 英寸 的 超大 高清 触摸屏   纽曼 CTV78 仅 899         作者 ： 韩琴         纽曼 CTV78 是 MP5 和 CMMB 数字电视 的 结合体 ， 拥有 7 英寸 的 超大 高清 平板 触摸屏 ， 接收 数字电视 音 / 视频信号 能力 较强 ， 收视 效果 流畅 ， 同时 兼容 RM 、 RMVB 、 AVI 、 FLV 、 WMV 等 多种 视频格式 ， 支持 TV - OUT 视频 输出 和 灵敏 红外 遥控 。 目前 该机 已经 到货 中关村 ， 报价 为 8GB / 899 元 ， 咨询电话 ： 010 - 82698548 / 82699490 。         纽曼   CTV78         容量 ： 8GB   报价 ： 899 元         编辑 点评 ： 纽曼 CTV78 搭载 了 7 英寸 高清 触屏 ， 和 目前 市场 上 的 各个 CMMB 产品 相比 ， 能 带给 用户 更 宽广 清晰 的 视觉 体验 。 同时 拥有 较强 的 CMMB 数字 电视信号 接受 能力 ， 在 室内外 都 可 流畅 收看 。 拥有 灵敏 红外 遥控 功能 ， 随机 赠送 支架 ， 观看 操控 都 非常 轻松 。         视频 方面 无需 任何 转换 ， 可 直接 播放 RM 、 RMVB 、 AVI 、 FLV 、 DAT 、 MPG 、 3GP 、 MP4 、 MPEG 、 ASF 、 WMV 等 多种 视频格式 。 音频 方面 支持 APE / FLAC 双 无损 格式 ， 搭载 了 微软 PlayFX 音效 ， 音质 水平 得到 一定 保障 。 另外 ， CTV78 也 是 一部 FM 收发 一体机 ， 既 可以 接收 FM 调频 ， 又 能 把 本机 音乐 无线 发射 至 音响系统 ， 支持 全频段 发射 ， 多 频点 可 调节 。   纽曼 CTV78 [ 参考 报价 ] 8GB / 899 元 
 科技 	 三洋 录音笔 S003M 促销 790 元 送 2GB 存储卡 三洋   ICR - S003M [ 参考 报价 ]   790 元 [ 商家 名称 ]   北京 众力 科技 [ 联系方式 ]   010 - 82538429 [ 联系地址 ]   北京市 海淀区 中关村 数字 物流 港 1721 室 
