时尚 	 组图 ： 香肩美 锁骨   性感 不 张扬 女人 哪个 部位 最美 最 性感 ？ 不是 红唇 ， 不是 翘 臀 ， 更 不是 波胸 ， 而是 肩膀 。 锁骨 ， 是 你 身着 斜肩 上装 引来 同性 羡慕 的 地方 ， 是 被 抹胸 曳 地长 礼服 衬托 得 最 耀眼 的 地方 ， 它 的 美 充满 灵性 ， 让 女人 立刻 有 了 一种 轻盈 的 气质 。 它 堪称 女人 身上 一道 最美 的 风景线 。 今夏 ， 单肩 装将 低调 并 一枝独秀 地 流行 着 ， 一抹 香肩 半边 锁骨 的 靓丽 ， 同时 造就 了 几个 层次 的 美感 ， 不 对称 、 错落 感 、 优雅 、 性感 … … 一切都在 那 微微 倾斜 的 一道 色彩 。 单肩 休闲 衫   搭配 牛仔 最 IN 如果 你 认为 ， 单肩 风潮 仅仅 适用 于 相对 正式 的 礼服 或 小 洋装 ， 那 你 就 大错特错 了 ， 一款 棉质 的 普通 T恤 ， 只 需 在 剪裁 上作 一些 调整 ， 同时 将领 口开 大 ， 就 能 轻松 呈现出 当季 最 In 的 单肩 感觉 ， 在 斜肩 处 露出 细细的 肩带 ， 搭配 牛仔裤 就 很 好看 。 时尚 女王 凯特 － 摩丝 永远 懂得 美的 定义 ， 就 连 最 普通 的 T恤 ， 一样 可以 穿出 最 Fashion 的 感觉 。 单肩 小 洋装   呈现 多样 风格 短款 单肩 连衣裙 根据 面料 、 剪裁 的 不同 ， 往往 可以 展现出 多样 、 多变 的 风格 。 礼服 型 的 单肩 连衣裙 充满 野性 ； 而 缎面 、 丝绸 材质 的 连衣裙 则 散发 着 迷人 的 青春 气息 。 “ 绯闻 女孩 ” 布莱克 － 莱 弗利 一袭 玫 红色 缎面 单肩 小 洋装 ， 玲珑 曲线 凸显 无遗 。 
 时尚 	 组图 ： SWATCH 宣传   人体彩绘 结合 腕表 美轮美奂 导语 ： 2009 年 7 月 21 日 ， 香港 ， 腕表 品牌 SWATCH 的 新店 在 香港 进行 宣传 。 此次 活动 还 十分 惊艳 地请 到 了 德国 艺术家 AndyMaluche 前来 造势 ， 为 当日 展示 产品 的 模特 当场 进行 人体彩绘 。 据悉 ， 来自 瑞士 的 手表 品牌 Swatch 正 计划 打造 一次 世界 上 最大 的 室内 手表 展览 ， 并 计划 于 今年 的 8 月份 展出 。 有 消息 透露 ， 此次 展览 中 ， 各国 设计师 们 所 设计 的 手表 连 起来 的 总长度 足足 达到 了 46 英尺 ！ 
 时尚 	 组图 ： 甩掉 裙装   享受 帅气 裤装 最 IN 潮流 导语 ： 100 多年 前 ， 在 欧美国家 ， 如果 有 哪个 女人 胆敢 穿着 裤子 在 大街 上 招摇过市 ， 则 被 视为 下流 放荡 、 伤风败俗 。 第二次世界大战 爆发 后 ， 战争 的 严酷 ， 令 越来越 多 的 妇女 穿 上 了 利于 工作 方便 的 裤子 。 如今 ， 长裤 总是 堂而皇之 地 出现 在 各种 场合 ， 长裤 上 各种 非凡 的 设计 ， 已 成为 一种 最 IN 的 潮流 。 永恒 阔腿裤 在 一片 风潮 中 ， 时尚界 不甘示弱 的 高调 回归 1940 年代 风 ， 设计师 们 又 把 眼光 聚焦 到 那个 几乎 被 时尚 遗忘 的 时代 。 于是 ， 宽 腿 裤 又 重新 回到 了 我们 的 衣柜 。 要 展示 干练 洒脱 ， 阔腿裤 让 你 大展身手 ， 尽显 魅力 。 时尚 建议 ： 1 . 高跟鞋 与 阔 腿 裤 的 自然 组合 尽显 你 的 修长 。 2 . 宽大 的 阔 腿 裤 ， 搭配 人字拖 也 很 帅气 ， 休闲 中带 着 一点 潇洒 。 3 . 上衣 一般 适合 搭配 比较 紧身 、 短小 的 款式 ， 中性 的 衬衫 、 外套 、 长款 风衣 更显 飒爽英姿 。 新潮 乞丐 裤 破洞 大行其道 ， 破烂 更是 王道 ！ 无论 你 是 想 扮 帅气 、 不羁 ， 或是 随意 、 性感 ， 一条 复古 乞丐 仔裤 ， 就 能 演绎出 我们 各自 不同 的 潮流 态度 。 时尚 建议 ： 1 . 乞丐 裤 与 短靴 或 高跟鞋 组合 ， 演绎出 你 的 独特 个性 。 2 . 运动鞋 和 破洞 仔裤 相配 ， 加黑框 眼镜 ， 帅气 十足 。 3 . 高跟鞋 + 乞丐 裤 + 手包 的 混 搭 ， 也许 是 最潮 最酷 的 打扮 。 流行 小脚 裤 许多 媒体 大势 宣扬 “ 铅笔 裤 的 时代 已经 过去 ” ， 其实 铅笔 裤 上升 到 了 更 经典 的 款式 ， 在 颜色 与 材质 上 进一步 升级 ， 从而 更加 扩大 了 流行 势头 。 时尚 建议 ： 1 . 小脚 裤 搭配 高 跟 凉鞋 是 瞬间 令 双腿 变长变 美的 法宝 。 2 . 小 西装 或者 马甲 与 小脚 裤 的 搭配 ， 是 为数不多 的 既 能 应对 上班 又 是 参加 休闲 派对 的 万能 组合 。 3 . 小脚 裤与平 跟 鞋 演绎 着 别样 的 休闲 。 个性 卷边 裤 无论是 模特 的 秀场 ， 还是 明星 们 的 街 拍 ， 很多 迹象 都 表明 卷边 裤 在 这 一 季节 红透 半边天 。 卷边 裤 散发 着 轻松自在 的 俏皮 气质 ， 随意 搭配 就 可以 展现 独特 魅力 。 时尚 建议 ： 1 . 卷边 裤 与 彩色 高跟鞋 的 混 搭 ， 既 打破 了 休闲 感 ， 又 突显 了 女人味 。 2 . 绑带 凉鞋 和 帅气 休闲 的 风格 很 相符 ， 打造 中性 的 你 。 3 . 平底鞋 与 卷 边 裤 是 外出 休闲 的 好 搭配 。 
 时尚 	 组图 ： 章子怡 范冰冰 谁 是 明星 购物狂 导语 ： 在 娱乐圈 ， 很多 男女 明星 也 很 喜欢 利用 节假日 疯狂 购物 。 2009 年 5 月 的 小 假期 ， 章子怡 就 用 实际行动 再次 证明 了 明星 们 的 这 一 嗜好 。 据悉 ， 这个 五一 期间 ， 章子怡 前往 世界 购物 天堂 香港 ， 疯狂 采购 女鞋 12 双 ， 堪称 节假日 购物 的 楷模 。 排名 第一 ： 章子怡 近日 ， 章子怡 一如 富婆 阔太般 来到 香港 金钟 太古 广场 疯狂 扫货 。 当日 ， 章子怡 一身 富贵 打扮 ， 在 豆豆 鞋 ( TOD ' S ) 专门店 选鞋 ， 章子怡 一进店 内 就 到处 搜刮 合适 的 高跟鞋 。 章子怡 在 店 内 选鞋 绝不 手软 ， 几乎 试 一双 买 一双 ， 约 20 分钟 后 ， 她 就 叫 店员 替 她 拿 两大 袋子 约 7 、 8 双鞋 送到 她 所 下榻 的 酒店 ， 接着 子怡 就 离开 。 刚 离开 鞋店 ， 她 又 走 到 该 公司 另一家 品牌 店 再选 ， 不过 这次 她 草草 在 店 内 逛 了 一圈 ， 然后 躲到 店 内 的 一个 角落里 慢慢 试 ， 选 了 20 分钟 ， 又 再 扫 了 3 、 4 双鞋 ， 再 叫 店员 送到 酒店 ， 确实 了不起 。 排名 第二 ： 张柏芝 张柏芝 曾经 出演 过 电影 《 购物狂 》 ， 而 实际 生活 中 ， 张柏芝 也 是 名副其实 的 购物狂 。 早年 ， 张柏芝 曾经 因 失恋 疯狂 购物 以 缓解 伤痛 。 张柏芝 曾 一次 买下 3 辆 名车 ， 包括 一辆 价值 42 万 的 七人车 、 一辆 104 万 的 保时捷 四驱车 ， 以及 一辆 34 万 的 开篷 Mini   Cooper ， 总值 180 万 ， 藉以 治疗 情伤 。 2002 年 ， 谢霆锋 抛弃 张柏芝 与 王菲 复合 ， 受情 伤 的 柏芝 疯狂 购物 ， 先 与 妈咪 狂买 LV ， 再豪 掷 四十万 买 钻戒 。 排名 第三 ： 范冰冰 范冰冰 每次 去 外地 拍戏 、 演出 都 要 疯狂 血拼 各种 服饰 ， 买 完 以后 却 很少 有 机会 穿 ， 但是 看到 的 那个 瞬间 想 的 就是 一定 要 拥有 它 ， 那个 时刻 ， 总是 兴奋不已 。 也许 花费 不菲 ， 但是 能 带来 快乐 。 范冰冰 喜欢 一次性 批量 购买 。 平时 工作 繁忙 ， 没有 很多 时间 逛街 ， 所以 她 会 一次 买 很多 东西 ， 甚至 有时 一次 买够 一年 所 需 ， 这样 不仅 可以 充分 享受 购物 的 快感 ， 还是 一种 节约 时间 、 金钱 、 体力 好 办法 ， 如果 正赶上 折扣 、 甩卖 的 时候 就 更 划算 了 。 排名 第四 ： 翁虹 翁虹 逛街 爱买 鞋子 ， 买鞋 高峰 时期 家里 一摆 就是 二三百 双 ， 直到 后来 拍 了 鞋子 广告 ， 每季 都 有 厂商 送鞋 上门 ， 才 好不容易 把 疯狂 买鞋 的 习性 稍微 改掉 。 不过 ， 翁虹 又 喜欢 买 珠宝 ， 不但 自己 买 ， 还 帮 家人 与 朋友 买 ， 忙 得 不得了 。 热心 的 翁虹 ， 还有 一项 专长 ： 杀价 ， 尤其 跟 地摊 的 小贩 抬杠 ， 她 觉得 更 过瘾 ， 翁虹 不怕 被 人 认出来 ， 凭着 一张 溜嘴 ， 无往不利 。 导语 ： 在 娱乐圈 ， 很多 男女 明星 也 很 喜欢 利用 节假日 疯狂 购物 。 2009 年 5 月 的 小 假期 ， 章子怡 就 用 实际行动 再次 证明 了 明星 们 的 这 一 嗜好 。 据悉 ， 这个 五一 期间 ， 章子怡 前往 世界 购物 天堂 香港 ， 疯狂 采购 女鞋 12 双 ， 堪称 节假日 购物 的 楷模 。 排名 第一 ： 章子怡 近日 ， 章子怡 一如 富婆 阔太般 来到 香港 金钟 太古 广场 疯狂 扫货 。 当日 ， 章子怡 一身 富贵 打扮 ， 在 豆豆 鞋 ( TOD ' S ) 专门店 选鞋 ， 章子怡 一进店 内 就 到处 搜刮 合适 的 高跟鞋 。 章子怡 在 店 内 选鞋 绝不 手软 ， 几乎 试 一双 买 一双 ， 约 20 分钟 后 ， 她 就 叫 店员 替 她 拿 两大 袋子 约 7 、 8 双鞋 送到 她 所 下榻 的 酒店 ， 接着 子怡 就 离开 。 刚 离开 鞋店 ， 她 又 走 到 该 公司 另一家 品牌 店 再选 ， 不过 这次 她 草草 在 店 内 逛 了 一圈 ， 然后 躲到 店 内 的 一个 角落里 慢慢 试 ， 选 了 20 分钟 ， 又 再 扫 了 3 、 4 双鞋 ， 再 叫 店员 送到 酒店 ， 确实 了不起 。 排名 第二 ： 张柏芝 张柏芝 曾经 出演 过 电影 《 购物狂 》 ， 而 实际 生活 中 ， 张柏芝 也 是 名副其实 的 购物狂 。 早年 ， 张柏芝 曾经 因 失恋 疯狂 购物 以 缓解 伤痛 。 张柏芝 曾 一次 买下 3 辆 名车 ， 包括 一辆 价值 42 万 的 七人车 、 一辆 104 万 的 保时捷 四驱车 ， 以及 一辆 34 万 的 开篷 Mini   Cooper ， 总值 180 万 ， 藉以 治疗 情伤 。 2002 年 ， 谢霆锋 抛弃 张柏芝 与 王菲 复合 ， 受情 伤 的 柏芝 疯狂 购物 ， 先 与 妈咪 狂买 LV ， 再豪 掷 四十万 买 钻戒 。 排名 第三 ： 范冰冰 范冰冰 每次 去 外地 拍戏 、 演出 都 要 疯狂 血拼 各种 服饰 ， 买 完 以后 却 很少 有 机会 穿 ， 但是 看到 的 那个 瞬间 想 的 就是 一定 要 拥有 它 ， 那个 时刻 ， 总是 兴奋不已 。 也许 花费 不菲 ， 但是 能 带来 快乐 。 范冰冰 喜欢 一次性 批量 购买 。 平时 工作 繁忙 ， 没有 很多 时间 逛街 ， 所以 她 会 一次 买 很多 东西 ， 甚至 有时 一次 买够 一年 所 需 ， 这样 不仅 可以 充分 享受 购物 的 快感 ， 还是 一种 节约 时间 、 金钱 、 体力 好 办法 ， 如果 正赶上 折扣 、 甩卖 的 时候 就 更 划算 了 。 排名 第四 ： 翁虹 翁虹 逛街 爱买 鞋子 ， 买鞋 高峰 时期 家里 一摆 就是 二三百 双 ， 直到 后来 拍 了 鞋子 广告 ， 每季 都 有 厂商 送鞋 上门 ， 才 好不容易 把 疯狂 买鞋 的 习性 稍微 改掉 。 不过 ， 翁虹 又 喜欢 买 珠宝 ， 不但 自己 买 ， 还 帮 家人 与 朋友 买 ， 忙 得 不得了 。 热心 的 翁虹 ， 还有 一项 专长 ： 杀价 ， 尤其 跟 地摊 的 小贩 抬杠 ， 她 觉得 更 过瘾 ， 翁虹 不怕 被 人 认出来 ， 凭着 一张 溜嘴 ， 无往不利 。 
 时尚 	 组图 ： 花纹 内衣 提升 女人 性感 指数 导读 ： 男人 都 是 感官 动物 ， 内衣 对 他们 的 刺激 是 任何 服装 都 无法比拟 的 ， 别致 的 款式 、 鲜艳 的 颜色 包裹 出 的 玲珑 身材 ， 绝对 能 让 你 的 他 感受 到 喷火 的 诱惑 。 到底 哪 种 内衣 是 激发 男人 本能 的 信号 ， 让 他 欲罢不能 呢 ？ 烈焰 般的 颜色 最能 吸引 男人 的 视线 ， 只 需要 一眼 就 能 血脉 喷张 ， 欲火焚身 。 花朵 和 蝴蝶结 装饰 出 性感 女神 的 诱惑 ， 让 你 的 热情 瞬间 点燃 。 适合 人群 ： 身材 高挑 、 性格外向 ， 最好 是 卷发 的 成熟 女性 ， 这种 颜色 的 内衣 最 适合 你 张扬 的 个性 ， 让 你 的 他 也 难以忘怀 。 褶皱 的 设计 让 身材 更加 完美 ， 比基尼 的 款式 更加 惹火 诱人 ， 条纹 的 设计 让 胸 臀 更加 饱满 ， 给 人 蜜桃 般的 视觉 诱惑 。 适合 人群 ： 身材 高挑 、 性格外向 ， 最好 是 卷发 的 成熟 女性 ， 这种 颜色 的 内衣 最 适合 你 张扬 的 个性 ， 让 你 的 他 也 难以忘怀 。 果绿色 搭配 黑色 蕾丝 是 最能 展现 小女孩 气质 的 内衣 ， 浅淡 的 颜色 让 穿着者 给 人 无比 乖巧 可爱 的 模样 ， 少女 式 的 装扮 让 人 怜爱 。 适合 人群 ： 身材 娇小 ， 曲线 玲珑 的 甜美 女孩 ， 如果 气质 中 带有 日 韩范儿 ， 这种 糖果 色 的 内衣 让 你 的 诱惑 达到 极致 ， 立刻 征服 你 的 他 。 粉嫩 的 颜色 包裹 出 少女 的 甜美 和 诱人 ， 清纯 的 面容 和 魔鬼身材 结合处 致命 的 感官 诱惑 ， 肉感 身材 才能 更好 演绎 这种 浪漫 。 适合 人群 ： 身材 娇小 ， 曲线 玲珑 的 甜美 女孩 ， 如果 气质 中 带有 日 韩范儿 ， 这种 糖果 色 的 内衣 让 你 的 诱惑 达到 极致 ， 立刻 征服 你 的 他 。 
 时尚 	 组图 俏 女郎 示范 紧腿裤 最 IN 搭配 导读 ： 在 不同 的 地点 都 需要 有 自己 的 性感 筹码 ， 搭配 方式 ， 主打 色彩 ， 热点 细节 … … 都 因地 而 异 ， 想 让 自己 拥有 别致 的 妩媚 ， 你 有 很多 的 功课 要 做 。 
 时尚 	 组图 ： 10 招肥 衣裳 穿 出 修长 性感 导读 ： 炎热 的 夏天 ， 谁 也 不 愿意 穿 的 紧紧 巴巴 ， 大汗淋漓 ， 宽松 舒适 最为 重要 ， 而 随意 的 衣衫 也 最能 在 不经意 间 展露 优雅 的 气质 ， 今季 轻柔 质地 的 褶皱 小衫 、 裙子 都 是 最 时尚 的 焦点 。 不仅 让 酷夏 清凉 一些 ， 同样 穿 出 修长 感 。 宽松 上衣 + 迷你 下装 ( 右 ) 白色 宽松 吊带 层层叠叠 表现 出 女性 的 柔美 ， 搭配 紧身 牛仔 五分裤 ， 同样 具有 紧致 的 修长 效果 ， 让 宽松 的 轮廓 同样 能 穿 出 苗条 感 。 ( 左 ) 上半身 的 叠 穿 款式 让 层次 更加 丰富 ， 提升 上围 曲线 度 ， 下摆 轻柔 面料 随风 展开 ， 能 让 轻盈 的 飘逸 感觉 倍显 ， 层叠 的 荷叶 裙摆 更添 可爱 情结 。 宽松 上衣 + 迷你 下装 红色 的 艳丽 款式 能 衬托 肤色 健康 红润 ， 腰间 的 束带 让 蓬松 感觉得到 强调 ， 不 贴身 的 设计 让 清凉 的 效果 不至于 炎热 难耐 。 搭配 建议 ： 工作 时 也 可以 宽松 的 上衣 搭配 休闲 短裤 ， 营造 出 一个 无比 轻松 的 环境 ， 一条 紧致 短裤 更能 让 众人 的 视觉 集中 在 你 的 腿部 ， 前提 是 你 要 有 一双 修长 的 美腿 。 上紧 下松 的 造型 法则 ( 右 ) 抹胸 的 优雅 款式 让 经典 的 优雅 感觉 倍增 ， 适合 挑战 任何 场合 ， 亮片 的 加入 让 品质 感 瞬间 提升 ， 给 人 华贵 印象 。 ( 左 ) 荷叶 边 的 肩带 能 修饰 肩部 过 宽 线条 ， 蓬松 的 裙摆 能 很 好 的 掩饰 小肚腩 ， 下半身 搭配 短裤 或 单独 穿着 都 能 优雅 、 甜美 ， 瞬间 提升 人气 指数 。 搭配 建议 ： 胸部 的 紧致 轮廓 能 保证 优雅 不 走光 ， 下摆 的 展开 不仅 给 你 凉爽 的 清透 感觉 ， 还 能 打造 可爱 泡泡 裙 的 造型 ， 让 高贵 优雅 瞬间 产生 ， 整体 的 A 字 造型 还 能 看起来 苗条 很多 。 上紧 下松 的 造型 法则 ( 右 ) 吊带 的 层叠 款式 同样 具有 丰胸 效果 ， 宽松 的 腰身 正好 遮挡 了 赘肉 ， 搭配 任何 下装 都 是 美丽 的 风景 。 ( 左 ) 蕾丝 灯笼 袖 装饰 手臂 的 线条 ， 套 在 外面 的 荷叶 边 吊带 ， 能 下身 搭配 紧身 牛仔裤 ， 这种 造型 更显 纤细 的 好身材 。 搭配 建议 ： 胸部 的 紧致 轮廓 能 保证 优雅 不 走光 ， 下摆 的 展开 不仅 给 你 凉爽 的 清透 感觉 ， 还 能 打造 可爱 泡泡 裙 的 造型 ， 让 高贵 优雅 瞬间 产生 ， 整体 的 A 字 造型 还 能 看起来 苗条 很多 。 
 时尚 	 组图 ： 哈利波 特 6 的 时尚 冲击波 导语 ： 随着 新 的 哈利波 特 电影 首映 世界各地 ， 我们 的 英国 小 明星 艾玛沃森 ( Emma   Watson ) 将会 频频 出现 在 我们 的 视线 之内 ， 而 她 独特 的 简洁 却 不失 别致 和 优雅 的 穿衣 风格 也 会 被 时尚界 所 关注 。 看看 她 本周 在 伦敦 拍照 时 的 装扮 ， 以一袭 Proenza   Schouler 的 珠宝 镶嵌 款式 淡雅 裙装 吸引 了 无数 眼球 。 这样 的 穿衣 审美 ， 很难 让 人 鸡蛋 里面 挑 骨头 。 她 本人 的 作风 就 和 在 哈利波 特 里面 的 角色 一样 ， 绝顶聪明 。 另外 两位 主演 丹尼尔   拉德 克里夫 ( Daniel   Radcliffe   ) 和 鲁伯特 格林 特 ( Rupert   Grint ) 则 展示 的 是 更加 随意 休闲 的 服装 效果 。 发挥 它 更 随意 期待 ； 拉德 克利夫 的 灰色 背心 展示 了 今年 男装 的 休闲 复古 潮流 ， 而林特 的 2K 的 骷髅 头骨 T恤 搭配 小 男装 上衣 的 穿法 ， 是 典型 的 流行 混 搭 。 估计 在 哈利波 特 电影 今夏 的 暴热 的 同时 ， 这 几位 主角 的 穿衣 风格 和 时尚 选择 ， 也 会 让 媒体 们 趁机 煽风点火 。 
 时尚 	 组图 ： 最潮 奶爸 ！ 看 明星 居家 时尚 导语 ： 谁 说 带 孩子 是 女人 的 专利 ， 看看 这些 好莱坞 当 上 父亲 的 男明星 们 ， 带 着 小孩 出 街 ， 对 小孩 照顾 的 无微不至 ， 十足 好 父亲 模样 ， 展现 了 他们 作为 人父 温柔 的 一面 ， 更具 男人 魅力 。 布拉德 - 皮特 善待 朱丽 收养 的 两个 小孩 ， 而且 在 女儿 希洛 出生 前夕 ， 推掉 了 戛纳 的 邀请 ， 为 的 就是 不肯 错过 女儿 的 出生 。 现年 27 岁 的 希斯 - 莱吉尔 在 去年 孩子 出世 前 暂别 影坛 ， 花费 一年 的 时候 照看 自己 将要 出生 的 孩子 ， 做 了 一个 尽职 的 “ 奶爸 ” 。 本 - 艾 弗莱 克 为了 照顾 妻子 和 出生 不久 的 孩子 ， 小本 就 像 变 了 一个 人 一样 ， 尽量 控制 并 减少 吸烟 量 ， 成 了 不折不扣 的 “ 新好 男人 ” 。   在 2001 年 奥斯卡 颁奖 晚会 上 ， 虽然 威尔 - 史密斯 凭借 《 阿里 》 的 演出 获得 了 最佳 男演员 的 提名 ， 可是 还是 提早 溜走 。 原来 ， 威尔 - 史密斯 的 小女儿 当时 发高烧 ， 他 怎么 也 放心不下 ， 索性 直接 赶到 医院 去 了 。 
 时尚 	 组图 ： 短裙 裤   打造 办公室 人气 王 导读 ： 想 成为 恋爱 和 人生 的 胜利者 ， 就 跟随 我们 进行 一次 简单 必修课程 ， 从 服饰 到 生活 方式 ， 全面 打造 不败 人气 王 ！ 修身 的 剪裁 强调 出腰线 的 优美 -- 高腰线 设计 是 今季 的 流行 ， 让 女孩 多 了 几分 性感 ， 制造 了 美妙 的 平衡 美感 ， 可爱 中 又 略带 成熟 。 连衣裙 / TOKINO   IMAGE   1700 元 ， 耳环 / ARTINI   680 元 ， 鞋 / ALDO 新品 未 定价 白色 提亮 皮肤 的 光泽 ， 简约 的 设计 更 彰显 优雅 ， 提升 100% 成熟 女人味 。 服装 以 白色 黑色 与 灰色 为 基础 配饰 选择 明艳 色 理性 严谨 的 右 右 女 ， 服装 色彩 也 以 经典 的 黑白 灰色 为主 ， 适当 加入 色彩鲜艳 的 配饰 ， 魅力四射 。 外套 / 贝纳通 新品 未 定价 ，   裙子 / 北京 攻略 新品 未 定价 ， 鞋 / HILASSY 新品 未 定价 选择 蕾丝 装饰 和 素雅 色彩 相结合 的 针织衫 ， 增加 OL 的 柔美 感 。 针丝衫 / BABYF . O . X   298 元 ， 吊带衫 / 北京 攻略 新品 未 定价 ， 裙子 / TOKINO   IMAGE   940 元 ， 项链 / ARTINI   2280 元 ， 鞋 / HILASSY   新品 未 定价 色彩 选择 米色 及粉 彩色 ， 淡雅 的 米色 以及 粉 彩色 ， 增加 时髦 指数 。 柔和 色彩 让 人 心动 ， 蓝色 与 白色 的 组合 效果 自然 赏心悦目 。 针织衫 \ 北京 攻略 新品   未 定价 ， 裙子 \ TOKINOIMAGE   890 元 ， 鞋 \ HILASSY 新品 未 定价 
 时尚 	 组图 ： Birkenstock 潮流 界 的 宠鞋 导读 ： 也许 很多 人 对 这款 潮鞋 存在 误解 ， 认为 它 不过 是 拖鞋 、 便服 鞋 ， 配衬 功能 低 。 其实 ， 如今 不少 的 时装 达人 都 穿着 它 出现 在 时尚 派对 上 。 你 绝对 有 理由 相信 ， 只要 搭配 得当 ， 勃肯 鞋 也 能 穿 出 明星 般的 味道 。 最 疯狂 的 时候 ， 一双 鞋 在 香港 被 炒 到 一千多元 潮鞋 Birkenstock 在 杭州 很 受欢迎 。 虽然 ， 杭州 现在 还 不能 买 到 正宗 的 勃肯 鞋 ， 但是 ， 各间 以 外贸 货 为主 打 的 小店 ， 早已 将 各个 版本 的 仿款 鞋 摆在 店铺 的 显眼 处 ， 往往 是 鞋子 刚一 亮相 ， 便 被 老客 们 抢购一空 。 更 有 潮流 人士 ， 早 在 去年 暑间 便 穿 上 此鞋 游走 在 各大 时尚 场所 。 勃肯 鞋 在 杭州 的 流行 于 此 可见一斑 。 对于 那些 还 没法 买 到 正宗 勃肯 鞋 的 来说 ， 穿 仿版 的 勃肯 鞋 也 是 一种 慰籍 。 拥有 234 年 历史 的 Birkenstock ， 早已 凭 独有 的 “ Footbed ” 感觉 赢得 “ 健康 鞋王 ” 美誉 。 最近 ， Birkenstock 又 凭借 绒料 潮鞋 Davos   稳夺 鞋迷 芳心 。 在 殿堂 级潮 人 藤原 浩 、 高桥盾 的 率先 示范 下 ， 红 、 蓝 、 橙 、 青 四色 新版 Davos 在 日本 一出 即大卖 ， 连 港产 潮流 达人 Wyman 、 林海峰 也 穿着 它 出入 各种 潮流 派对 。 目前 ， Davos 只 在 日本 及 香港 作 限量 发售 ， 日本 版艳彩 Davos ， 之前 在 香港   Birkenstock 专门店 一 推出 就 卖断 货 ， 全城 更是 掀起 城 炒风 ！ 原价 590 港币 的 Davos 被 炒 到 980 元 港币 出售 ， 依然 刷新 断货 纪录 。 此外 ， 网上 也 出现 了 Davos 的 热炒 风 ， 比如 雅虎 拍卖 网上 ， Davos 成交 活跃 ， 普遍 售价 约 700 元 ， 仍然 有 很多 人 关注 。 有些 被 明星 推过 的 款 ， 炒价 更是 高达 1000 多元 ， 仍然 卖断 货 ， 想要 买 的话 ， 只能 排队 预定 。 目前 ， 杭州 本地 还 买不到 这款 潮鞋 ， 大家 可以 试着 在 网上 找人 去 日本 的 专卖店 代购 ， 畅销 款 的 鞋子 每 双 一般 在 900   元 左右 。 潮流 示范 前不久 ， LV 在 香港 举办 广东 道店 开幕 派对 ， 当 你 以为 宾客 必以 全套 名牌 盛装 出席 时 ， 时装 达人 Wyman ( 香港 著名 写 词人 、 艺人 ) 偏偏 以 数百元 入手 的 鲜红 Davos 拖配 西装 ， 穿 出 另类 的 盛装 感 。 而 另 一 港产 潮人 林海峰 则 以 浅 灰色 Birkenstock 现身 Chanel 的 “   Mobile   Art   ”   派对 。 如今 ， 潮鞋 Birkenstock 正在 以 惊人 的 出镜率 频频 现身 ， 并 开始 在 城市 的 各个 角落 迅速 流行 。 
 时尚 	 组图 ： 对抗 高温   白色 清凉 搭配 大 作战 编者按 ： 持续上升 的 高温 简直 要 叫 人 “ 爆炸 ” 了 ！ 怎样才能 凉快 再 凉快 一点 ？ 大家 都 在 绞尽脑汁 ， 而 从 颜色 上 看 ， 不 吸收 任何 光色 的 “ 白色 ” 无论 在 从 视觉 上 还是 切身感受 上 ， 都 是 最 清凉 的 了 ！ 与 最 基础 又 最百变 的 黑色 一样 ， 白色 服饰 也 能 胜任 多种 场合 。 无论是 度假 、 shopping ， 还是 正式 酒会 、 OL 上班 ， 你 总能 找到 合适 的 白色 打扮 得 耀眼 出众 。 
 时尚 	 组图 ： 抓拍 西单 街头 哈日族 美少女 导读 ： 当下 日 韩 风格 盛行 ， 日式 美少女 的 穿衣 造型 在 这个 夏季 强烈 冲击 着 人们 的 眼球 。 我们 不要 简单 ， 我们 就要 繁复 的 穿着 。 西单 云集 各路 美女 ， 日本 风格 造型 美眉 比比皆是 。 你 的 配件 够 流行 吗 ？ 你 的 穿着 够 街头 够 哈日 吗 ？ 下面 就 跟 小编 一起 同 北京 西单 街头 日式 装扮 的 美少女 过 几招 吧 ！ 简单 白色 卡通 短袖 配 上 超级 醒目 的 黑白 条 斑马 运动裤 ， 充满 动感 的 前卫 的 街头 造型 。 头上 的 一点 粉色 透出 小女生 的 甜美 ， 脖间 的 手机 挂包 趣味十足 。 蓝 粉色 的 短袖 衬托出 MM 的 娇好 脸色 ， 超短 迷你裙 + 双层 色调 的 袜套   打造 超 前卫 的 新新人类 。 金属 链 的 桃心 小包 让 人 爱不释手 ， 为 可爱 的 甜美 造型 增色 不少 。 色彩艳丽 的 黄绿 LOGOT - shirt 绑带 造型 ， 露出 性感 的 小蛮 腰 ， 配合 下身 紧跟 时尚 的 仿旧色 牛仔裙 ， 流露出 性感 可爱 的 时尚 味道 。 黑色 连裤袜 将 整体 造型 定格 于 日式 风格 。 黑色 七分 袖 上衣 ， 蕾丝 系边 甜美 度 十足 。 搭配 简单 的 白色 小 短裙 ， 黑色 网袜 使 整体 造型 搭配 时尚 完美 。 
