时尚 	 美人 时刻 ： 当 白衬衫 碰上 水 ( 组图 ) 导语 ： 女明星 们 有时 为了 性感 出 位 ， 不惜 暴露 身体 的 各个 部位 ， 然而 都 说 性感 的 最高 境界 是 隐约 窥视 的 魅力 ， 那么 湿身 装 绝对 是 令 男人 神魂颠倒 ， 令 女人 都 无法 正视 的 一类 诱惑 突袭 法 。 其实 最 简单 最 朴素 的 白衬衫 一直 是 终极 诱惑 的 一种 ， 只要 解开 三粒 扣子 或 湿身 ， 那 若隐若现 的 性感 诱惑 绝对 秒杀 众生 。 安吉丽娜 - 朱莉 一件 极其 普通 的 白色 背心 ， 穿 在 朱莉 的 身上 ， 比 着 性感 泳衣 更能 掠夺 住 人们 的 目光 … …   蔡妍 和 徐仁英 随着 音乐 的 旋律 ， 蔡妍 和 徐仁英 进入 水帘 上 的 一瞬间 ， 白色 上衣 被 水 浸透 ， 黑色 内衣 马上 就 显露 了 出来 ， 画面 极具 诱惑 。 周显 欣周 显欣 的 别名 — — 巩俐 的 “ 裸替 ” 。 如果 不是 之后 有 “ 巩俐 裸替 ” 这样 的 新闻 爆 出来 ， 也许 很少 有人 注意 到 ， 原来 《 周渔 的 火车 》 里面 有 两个 “ 巩俐 ” ， 其中 一个 就是 周显欣 。 江一燕 虽然 也 是 湿身 ， 但是 江一燕 的 湿身 却 那么 清新自然 ， 别有 一番 风情 。 
 时尚 	 组图 ： 范冰冰 清纯 路线 貌似 林 无敌 导语 ： Five   Plus 时尚 派对 在 威斯汀 大酒店 举行 。 当晚 ， 范冰冰 一件 黑白 格纹 长裙 走 朴素 风 ， 还 戴 起 了 阿拉蕾 眼镜 真是 “ ? ? 有神 ” 。 不 知道 看惯 了 范冰冰 的 妩媚 性感 扮相 ， 这种 貌似 丑女 无敌 的 清纯 装扮 你 是否 能 接受 呢 ？ 
 时尚 	 谋女郎 之 巩俐 穿衣 搭配 之道 点评 ： 白 背心 搭配 的 随意 又 精致 ， 既 不会 让 皮衣 显得 厚重 ， 又 不会 让 人 看上去 繁复 ， 有时候 简单 才 是 最美 的 。 点评 ： 白色 会 衬出 人 的 好 气色 ， 白色 的 针织衫 会 让 人 看上去 十分 柔和 ， 而 穿 白装 的 巩俐 真的 漂亮 又 迷人 。 点评 ： 普通 的 运动服 在 巩俐 穿来 也 是 有 自己 的 独特 味道 ， 熟女 们 可以 借鉴 低胸 穿 运动衣 之 法 。 点评 ： 两件套 的 针织衫 搭配 以及 选择 的 余地 会 很大 ， 也 可以 不 穿成 一套 ， 而 自己 进行 颜色 、 款式 上 的 重新组合 。 
 时尚 	 达 人们 最爱 的 时尚 “ 单车 ” 银色 的 单车 相当 大众 ， 这时候 如果 你 在 选择 白色 的 造型 ， 纯洁 的 银色 和 白色 组合 ， 便会 给 你 带来 意想不到 的 清新 效果 。 蕾丝 的 外 套套 穿 里面 白色 打底 衫 ， 透明 却 又 飘逸 ！ 赞 ！ 浓重 的 紫色 则 缺少 了 白色 外套 的 飘逸 和 轻盈 。 不过 这辆 小车 ， 倒 是 相当 的 有 范儿 。 时尚 的 态度 加上 强 对比 的 颜色 ， “ 抓人 眼球 ” ， 其实 很 简单 。 而 说 到 单车 的 造型 ， 最有 范儿 的 还 得 说 走 复古 路线 。 沉稳 的 黑色 ， 加上 一个 小框 ， 都市 的 感觉 荡然无存 。 如果 你 选择 精神 灰色 牛仔 佩戴 额 一双 靴子 ， 粗狂 却 又 复古 时尚 ， 那才 是 -- 气势 十足 ！ 比如 你 再 找个 “ 邮递员 的 包包 ” 挎 在 后座 上 ？ 
 时尚 	 针织 单品 大 搜罗   玩转 全新 温暖 style 揭秘 明星 最 爱 ： 针织 外套 吴君如 神采飞扬 ， 不光 是 做 了 妈妈 让 她 开心 合不拢嘴 ， 还有 这件 大 领子 的 针织 外套 帅气 满分 、 温暖 满分 。 揭秘 明星 最 爱 ： 针织 罩衫 混 搭 的 法则 就是 多多 风格 多多 创意 ， 布裙 + 皮衣 + 针织衫 + 雪地 靴 ， 这样 有点儿 哈 日 味道 的 着装 你 敢 尝试 吗 ？ 揭秘 明星 最 爱 ： 针织 罩衫 高领 衫 搭配 园领 的 连衣裙 最 漂亮 ， 不仅 能 脖子 修长 优美 ， 还 能 展现 你 美好 的 肩形 。 揭秘 明星 最 爱 ： 针织 开衫 过年 了 ， 大家 都 爱 穿 红色 ， 什么 颜色 最配 红 的 呢 ？ 相信 答案 大家 都 已经 知道 了 ， 对 啦 ， 当然 是 黑色 。 
 时尚 	 寒冬 大 作战 ， 美腿 靴 让 你 “ 足 ” 够 潮流 丝袜 在 早春 的 时节 也 早早 的 冒 了 出来 ， 薄薄的 材质 隐隐 露出 肤色 ， 搭 上 帅气 的 高筒靴 ， 性感 又 随性 。 金色 系列 的 靴子 有 很 高 的 富贵 感 ， 对于 熟女 和 富女 来说 是 个 好 选择 ， 在 靴子 中 添加 进 漆皮 和 闪亮 等 时尚 元素 ， 一样 适合 年轻 女孩 。 小 短靴 随着 春日 的 到来 也 渐渐 复苏 ， 一股 又 一股 的 时尚 潮流 令 短靴 也 在 黑色 与 高 跟 中 杀出 了 一条 个性 的 路线 。 腿 细 的 女生 可以 无 负担 的 选择 宽松 的 短靴 ， 而 腿 粗 的 女孩子 们 可以 配 上 裙子 来 搭配 清爽 的 短靴 。 
 时尚 	 日系 MM 的 清新自然 的 搭配 时尚 点评 ： 柔暖 手感 的 粗 钩 织花 与 松 高领 一同 带来 冷冬 的 暖 暖 讯息 ~ 时尚 点评 ： 好 温暖 的 触感 ！ 松软 的 毛线 钩织 以 合谐 的 亮眼 配色 钩 织出 迷人 的 色块 ， 整体 更为 自然 可爱 ！ 时尚 点评 ： cawaii 杂志 款 ！ 超 保暖 羊毛绒 内里 让 甜心 在 冷天 穿 出 温暖 又 可爱 的 look ! 时尚 点评 ： 领口 可爱 的 绑 带球 球 与 连 帽球球 相 呼应 ， 随意 打 上 大大的 蝴蝶结 ， 戴上 连帽 ， CAWAII 不言而喻 ！ 是 简单 又 充分 展现 女生 迷人 气息 的 罩衫 单品 ！ 
 时尚 	 温柔体贴 的 女上司   优雅 装扮 就学 李英爱   着装 点评 ： 阔版 的 条纹 外套 ， 即使 是 素色 也 能 给 人 展示 出 不 一样 的 优雅 感来 ， 内 搭 一件 金属光泽 的 连衣裙 提升 亮点 。     着装 点评 ： 知性 的 女上司 也 能 给 人 留下 甜美 的 感觉 ， 白色 的 连衣裙 加上 领口 的 蝴蝶结 装饰 给 人 带来 清纯 的 感觉 。     着装 点评 ： 白色 的 外套 最 适合 让 女上司 显得 格外 的 温柔体贴 ， 当然 纯色 的 装扮 也 需要 精美 饰品 的 点缀 。     着装 点评 ： 职业 感 很 强 的 衬衣 当然 是 女上司 的 正选 ， 搭 上 一条 贴身 的 鱼尾 裙 当然 也 能 让 气 质感 倍增 。 
 时尚 	 组图 ： 10 大 要点 约会 SEXY 美腿 靴 导语 ： 腿部 的 小 缺陷 完全 可以 靠 靴子 来 遮掩 掉 ， 不信 吗 ？ 快 来 看看 小编 怎么 说 吧 ！ 莫文蔚 有 双 出了名 的 美腿 ， 说 到 小 缺陷 ， 对 莫 MM 来说 是 不 存在 的 ， 随性 的 穿 上 高筒靴 搭配 短裙 ， 已经 美 得 无以复加 。 裤袜 与 高筒靴 的 混 搭 可谓 一种 日 韩风 的 引进 与 创新 ， 松松垮垮 的 裤袜 堆 在 靴口 ， 反而 是 显瘦 的 神奇 穿 法 。 紧身 的 牛仔裤 比较 贴腿型 ， 小腿 的 自然 弯曲 线条 自然 显露 无疑 ， 所以 一双 高筒靴 就 能 轻松 的 解决 这个 问题 。 搭配 上及 膝 的 大衣 ， 刚刚 好 露出 可爱 的 小 膝盖 ， 小女生 的 你 必然 不能 错过 这么 cute 的 装扮 。 
 时尚 	 组图 ： 女星 豹纹 装 比拼 性感 时尚 导语 ： 从 豹纹 在 明星 身边 的 曝光率 来 判断 ， 这 股 野性 浪潮 是 无论如何 也 避免 不了 。 明星 的 豹纹 装扮 ， 在 谁 胜 谁 负 的 较量 当中 ， 给出 我们 很多 搭配 建议 ， 你 是不是 也 要 开始 考虑 ， 无论 多少 ， 请 豹纹 上身 吧 ！       徐若 ? 的 豹 女郎 造型 的确 惊艳 ， 敢于 把 全身 都 裹 上 豹纹 ， 没有 好身材 的话 千万 不要 轻易 尝试 。     巩俐 也 是 豹纹 装扮 的 拥 趸 ， 性感 的 包胸 设计 适合 体态 丰满 的 巩俐 ， 线条 感 的 剪裁 设计 更加 完美 的 衬托 身材 曲线 。     刘嘉玲 选择 的 豹纹 款式 乖巧 又 可爱 ， 用来 搭配 基本 款装 既 保暖 又 不会 显得 太过 随意 。     超短 的 豹纹 外套 配 深红色 礼服 刚好 ， 完美 的 比例 让 小S 看起来 修长 又 玲珑 。 
 时尚 	 组图 ： 潮款 棉衣 穿出 高街 流行风 导语 ： 想要 应对 这个 冬季 的 寒冷 变化 ， 时尚 又 实用 的 棉服 和 羽绒服   是 必不可少 的 ， 即使 是 超 厚重 的 大衣 ， 只要 搭配 得当 ， 一样 可以 穿 出 潮流 要点 ， 橘红色 ， 时尚 夺目 ， 多 折皱 的 设计 是 整件 衣服 的 亮点 ， 材质 光面 ， 让 你 看起来 更加 的 时尚 ， 高 个 女生 可以 搭配 喇叭裤 ； 个子 偏 矮 的 女生 可以 选择 短裤 短裙 来 搭配 这 款 棉袄 。 整体 形象 简洁 俏皮 。 款式 简单 的 黑色 长款 棉衣 ， 一条 细细的 腰带 就 可以 突出 你 的 身材 ， 提升 这件 棉衣 的 时尚 度 ， 内 搭松 坠 领口 设计 的 棉衣 可 增强 整体 层次 ， 颜色 较为 突出 的 裤袜 能 修显 双腿 ， 展现 优雅 体态 。 采用 金属光泽 的 面料 ， 为 此款 棉袄 增添 未来 感 ， 时尚 度极 高 ， 格纹 和 圆点 图案 是 经久 的 流行 ， 配合 有 磨损 感 的 浅色 牛仔裤 ， 风靡 街头 的 中性 美感 ， 而且 棉袄 的 保暖 度极 高 ， 尤其 适合 爱 在 冬日 运动 的 MM 。 浅色 的 棉袄 是 冬季 里 明显 的 亮点 ， 给 人 清爽 的 印象 ， 休闲 的 样式 ， 设计 感 强烈 ， 配上 短 绒裤 ， 既 保暖 ， 又 能 拉长 身形 ， 背上 大型 包包 更 显人 娇柔 可爱 ， 绝对 能 打造 MM 的 独特 风格 。 
 时尚 	 组图 ： 白骨精 OL 装扮 就学 李英爱 编者按 ： 温柔体贴 的 女上司 应该 拥有 什么样 的 穿衣 经 呢 ？ 那么 就 随小编 一 起来 看看 气质 优雅 的 李英爱 的 职业 装扮 吧 ！     着装 点评 ： 白色 的 衬衣 最 适合 气质 优雅 的 OL 们 ， 下 搭 一条 休闲 版 的 牛仔裤 同样 也 是 首选 。     着装 点评 ： 半透明 装在 展现 性感 之余 也 能 显得 很 优雅 ， 精美 的 花纹 同样 给 人 留下 深刻 的 印象 。     着装 点评 ： 粉红色 的 上衣 也 能 让 OL 们 显得 粉嫩 起来 ， 领口 的 蝴蝶结 装饰 更增 亮点 。     着装 点评 ： 简单 的 造型 最能 展现出 OL 们 的 知性 一面 ， 蓝色 的 条纹 状 也 是 这 一季 的 热卖 单品 。 
 时尚 	 组图 ： 美 女主播 教 你 巧 搭 经典 OL 装 编者按 ： 凤凰卫视 的 女主播 们 不仅 是 美貌 与 智慧 并重 ， 并且 一直 是 白领 女性 着装 的 典范 。 我们 不妨 也 来 CHECK 一下 自己 的 风格 ， 将 成功 的 职业装 完全 复制 。     甜美 的 活力 OL ： 柯蓝 装扮 特点 ： 青春活力 是 装扮 的 重点 ， 尤其 在 选择 服装 上 不能 让 严肃 感 很 强 的 套装 掩盖 了 年轻 的 感觉 。 着装 点评 ： 经典 的 黑白 配 也 可以 可爱 年轻 ， 叠 穿 的 方式 让 英伦 气质 凸现 出来 ， 可爱 的 帽子 更加 适合 甜美 的 她 。     甜美 的 活力 OL ： 柯蓝 装扮 特点 ： 青春活力 是 装扮 的 重点 ， 尤其 在 选择 服装 上 不能 让 严肃 感 很 强 的 套装 掩盖 了 年轻 的 感觉 。 着装 点评 ： 咖啡色 是 职场 的 必备 颜色 ， 却 容易 给 人 老气 的 感觉 ， 褶皱 的 款式 却 能 凸现 了 可爱 感觉 。     干练 的 知性 OL ： 陈鲁豫 装扮 特点 ： 为 人 温柔 知性 ， 给 人 一种 不 张扬 的 感觉 ， 在 办公室 时间 较长 ， 日常 活动场所 、 交往 人员 较广 ， 服装设计 无需 太过 夸张 ， 以 平和 、 稳重 为主 ， 给 人 一种 值得 信赖 的 感觉 。 着装 点评 ： 黑色 的 礼服 搭配 红色 腰带 ， 醒目 而 简约 ， 简洁 的 项链 更加 凸现 了 高雅 和 华丽 。     干练 的 知性 OL ： 陈鲁豫 装扮 特点 ： 为 人 温柔 知性 ， 给 人 一种 不 张扬 的 感觉 ， 在 办公室 时间 较长 ， 日常 活动场所 、 交往 人员 较广 ， 服装设计 无需 太过 夸张 ， 以 平和 、 稳重 为主 ， 给 人 一种 值得 信赖 的 感觉 。 着装 点评 ： 鲁豫 不愧为 最会 穿 职业装 的 人 ， 简单 的 风衣 式 连衣裙 有 了 黑色 饰边 就 马上 显出 不同 的 感觉 ， 有 光泽感 的 面料 更是 今年 的 流行 趋势 。 
 时尚 	 组图 ： 闫妮 《 大 周末 》 绚丽 绽放   新年 造型 百变 导语 ： 闫妮 受 《 大 周末 》 之邀 拍摄 了 一组 时尚 写真 ， 照片 中 的 闫妮 绚烂 绽放 ， 并 被 该 杂志 评为 “ 新年 第一朵 满分 花 ” 。 服装 上 为 她 以 “ 创新 中国 风 ” 概念 打造 ， 但是 闫妮 却 给 了 我们 意想不到 的 惊喜 ， 呈现出 了 一个 时尚 却 又 不同 以往 的 她 。 
 时尚 	 组图 ： 黄奕 唯美 写真   头饰 别致 雪纺纱 袖透 性感 导语 ： 黄奕 应邀 为 国内 一线 杂志 拍摄 封面 ， 唯美 写真 曝光 。 
 时尚 	 美 女主播 许戈辉   叠 穿法 摩登 又 合体   温柔 的 乐观 OL ： 许戈辉 装扮 特点 ： 气质 好 ， 有 亲和力 ， 感觉 很 有 思想 ， 公司 高级 白领 ， 经常 参加 一些 高档 聚会 ， 常在 公共场合 露面 。 着装 点评 ： 红黑配 是 中国 韵味 很浓 的 搭配 ， 但 在 使用 面积 上 一定 不能 平均分配 ， 有主有 次 是 上 选 。 古典 款式 的 项链 也 是 点睛之笔 。     温柔 的 乐观 OL ： 许戈辉 装扮 特点 ： 气质 好 ， 有 亲和力 ， 感觉 很 有 思想 ， 公司 高级 白领 ， 经常 参加 一些 高档 聚会 ， 常在 公共场合 露面 。 着装 点评 ： 没有 任何 彩色 的 搭配 简单 又 实用 ， 因为 白领 通常 会 购买 很多 百搭 的 基本 色 单品 ， 只要 运用 叠 穿法 ， 你 也 能 摩登 又 合体 。   温柔 的 乐观 OL ： 许戈辉 装扮 特点 ： 气质 好 ， 有 亲和力 ， 感觉 很 有 思想 ， 公司 高级 白领 ， 经常 参加 一些 高档 聚会 ， 常在 公共场合 露面 。 着装 点评 ： 红黑配 是 中国 韵味 很浓 的 搭配 ， 但 在 使用 面积 上 一定 不能 平均分配 ， 有主有 次 是 上 选 。 古典 款式 的 项链 也 是 点睛之笔 。     温柔 的 乐观 OL ： 许戈辉 装扮 特点 ： 气质 好 ， 有 亲和力 ， 感觉 很 有 思想 ， 公司 高级 白领 ， 经常 参加 一些 高档 聚会 ， 常在 公共场合 露面 。 着装 点评 ： 没有 任何 彩色 的 搭配 简单 又 实用 ， 因为 白领 通常 会 购买 很多 百搭 的 基本 色 单品 ， 只要 运用 叠 穿法 ， 你 也 能 摩登 又 合体 。 
 时尚 	 街 拍 美女 模特 迷人 风格 时尚 点评 ： 施以 大 V 领 剪裁 内 搭 平口 单品 ， 随意 围上 粗 钩织 围巾 ， 微露 肌 的 保暖 穿 搭 就是 本季 最 hit 的 话题 style ! ! 时尚 点评 ： 可爱 的 甜美 蝴蝶结 设计 强烈 增加 存在 感 ！ 注目 度 更是 大加 分 ！ 随意 搭配 山茶花 跟 鞋 就 很 有 COCO 夫人 的 名媛 气度 喔 ！ 时尚 点评 ： 迷人 的 混色 粗 钩织 设计 ， 精巧 的 麻 花纹 丰富 而 不 复杂 的 Design 感 ， 随意 搭配 UGG 雪靴 就 很 有 涩谷 女生 的 LOOK 。 时尚 点评 ： 双 圆领 剪裁 修饰 出小 瓜子脸 ！ 厚料 毛线 钩 织衣 ， 以 特殊 剪裁 穿 出 秋冬 率性 的 暖 感 ！ 
 时尚 	 街 拍 ： 年初 暖帽 选择 10 项大爱 ( 组图 ) 导语 ： 过 了 冬至 着 气温 又 干 又 寒 ， 爱 美貌 穿少件 的 美女 们 怎能 少得 了 一顶 暖帽 ？ 要 知道 人体 有 三分之一 的 热度 是从 头上 散发 掉 的 ， 所以 有人 打趣 说 和尚 难 过冬 啊 。 小编 找 来 今年 冬季 街头 暖帽 搭配 10 项 ， 一块 来看 看吧 ！     着装 点评 ： 首先 推出 个 改版 的 雷锋 帽 ， 毛茸茸 的 还 拖 了 两个 绒球 球 ， 本季 着 这样 的 帽子 可不是 一个 两个 ， 较 小 的 mm 们 仿佛 都 中毒 似的 爱上 了 它 。     着装 点评 ： 护耳 冒 见得多了 ， 但是 这么 漂亮 的 倒 是 头 一遭 ， 大红 衣裳 够 喜庆 的 ， 配 上 两个 毛 手套 倒 是 真正 好 。     着装 点评 ： 是 杨子 龙 还是 座山 貂 的 革命 老 片 立场 出现 的 帽款 ， 今年 又 是 一大 看点 ， 还 记得 以前 看过 的 一个 火鸡 头 老外 么 ？ 一模一样 的 款式 。     着装 点评 ：   这种 帽子 比较 通吃型 ， 什么 类型 的 mm 都 可以 来 戴 ， 像是 马球 帽 的 改良 式 ， 特别 是 眼睛 不 大 步子 不挺 ， 都 因为 帽沿 稍稍 有 遮掩 。 
 时尚 	 明星 另类 时尚 配饰 Kelly   Osbourne 的 心型 太阳镜 着装 点评 ： 这 并 不是 唯一 出现 的 一款 心型 太阳镜 ， 小甜甜 布兰妮 和 凯文 在 热恋 时 也 戴过 同样 这 款 太阳镜 。 蒂塔 - 万 提斯 Dita   Von   Teese 的 高帽 着装 点评 ： 这顶 黑色 高 礼帽 展现 了 Dita   Von   Teese 既 高贵 、 又 性感 冶艳 的 气质 。 
 时尚 	 盘点 震撼 到 你 的 时尚 单品 麦当娜 Madonna 的 枪 鞋 着装 点评 ： 麦当娜   ( Madonna )   麦姐 的 导演 处女作 《 下流 与 智慧 》 ( Filth   and   Wisdom )   在 纽约 举行 隆重 首映 仪式 ， 主人公 麦当娜 一身 黑装 亮相 ， 一头 金色 卷发 格外 抢眼 ， 同样 抢眼 的 还有 她 的 黑色 手枪 高跟鞋 ， 这是 Chanel   08 / 09 早春 渡假 系列 中 的 特别 单品 ， 也 是 第一次 被 大牌 明星 穿着 亮相 。 奥尔森 Mary - Kate   Olsen 的 头巾 着装 点评 ： 在 4 月 纽约 举行 的 一个 慈善 活动 中 Mary - Kate   Olsen 头带 Marc   Jacobs 的 天鹅绒 头巾 来 搭配 晕染 效果 的 棒针 线衫 。 蕾 哈娜 Rihanna 的 角斗士 鞋 着装 点评 ： 这 款 夸张 的 角斗士 鞋 是 08 年 最 IN 的 单品 之一 ， 乐坛 小天 后 当然 不能 放过 。 Pharell   Williams 的 超级 手袋 着装 点评 ： 这位 音乐 大亨 花 6.7 万美元 定制 了 Hermes   Birkin   这 款 超大 的 旅行 手袋 ， 定制 工人 们 特地 为 他 设计 了 超大 的 暗袋 。 
 时尚 	 短款 双排 扣 风衣 的 搭配 法则 短款 双排 扣 风衣 的 搭配 法则 二 蔡依林 点评 ： 短款 双排 扣 风衣 只要 内外 长短 搭配 合适 ， 既 能 突出 层次感 ， 又 能 表现 出 身材 的 优雅 ， 更 拉伸 了 穿着者 的 身体 比例 。 就 如 蔡依林 ， 宽松 的 金色 风衣 随性 优雅 ， 白色 衬衫 恰到好处 的 露出 来 ， 完全 没有 掩盖 深蓝色 牛仔裤 的 风头 ， 三件 衣 时尚 得体 ， 服 搭配 到位 。 永恒 的 经典 -- 红色 泰勒 - 摩森 点评 ： 那位 明星 不爱 红色 ？ 红色 集 优雅 热情 于 一体 ， 有时 还 透出 一种 忧郁 的 味道 。 经典 款式 的 红色 双排 扣 风衣 热情 如火 ， 黑色 很 好 的 填满 了 身体 的 其余 部位 ， 金色 的 纽扣 与 黑色 漆 皮包 的 铆钉 相互 呼应 。 整体 搭配 只用 了 三种 色彩 ， 三种 色彩 搭配 到位 ， 时尚 高手 的 搭配 境界 。 凯莉 - 布鲁克 点评 ： 高高 梳起 的 马尾 ， 活力 动感 。 以 灰色 调 主打 的 的 服装 生活 优雅 大方 ， 款式 上 这件 风衣 采用 娃娃装 的 设计 ， 多 的 是 活泼 气质 ， 少 了 几分 熟女 的 妩媚 ， 很 适合 年轻 活泼 的 女孩子 穿着 。 安娜 - 帕 奎因 点评 ： 在 夜晚 披 一件 红色 风衣 似乎 是 件 很 惬意 的 事情 。 大 翻领 、 腰间 随意 系 这 的 腰带 ， 只是 扣子 略带 异色 以外 全部 是 红色 的 风衣 被 安娜 - 帕 奎因 穿 的 很 颓废 。 红色 不是 只能 表达 热情 ， 同样 可以 演绎 清冷 颓废 清冷 的 感觉 。 
 时尚 	 组图 ： 街 拍 最会 穿衣 好莱坞 明星 导语 ： 到 了 年底 ， 各种 年终 盘点 都 出来 了 ， 请 跟随 镜头 走近 好莱坞 女明星 ， 不 穿 华服 的 她们 是否 能够 依旧 保持 魅力 。   Jessica - alba ： 针织衫 搭配 马靴 比较 常见 ， 但 抢眼 的 围巾 立刻 凸显 明星 气质 ， 这种 穿 法 简单 好学 ， 是 女性 们 的 榜样 哦 。 Ryan - Phillippe ： 一身 黑色 的 装扮 也许 并 不 稀奇 ， 但 这款 马球 帽 的 搭配 十分 独到 ， 立刻 凸显 高贵 和 帅气 。 Paris - Hilton ： 针织衫 和 铅笔 裤 的 搭配 十分 常见 ， 短款 羽绒服 搭配 雪地 靴 的 选择 让 运动装 更加 时髦 起来 。 Gwen - Stefani ： 红色 的 外套 有 十足 的 未来 感 ， 夸张 的 设计 绝对 是 街头 的 抢眼 单品 ， 搭配 雪地 靴 保暖 又 摩登 。 
 时尚 	 组图 ： 邓超 pk 黎明 看秀装   中国 男星 出席 时装周 导语 ： 米兰 时间 2010 年 1 月 16 日 ， 意大利 男装 品牌 Ermenegildo   Zegna   发布 了 2010 / 2011 秋冬 男装 。 品牌 发布会 上 的 在座 明星 当中 发现 了 两位 中国 面孔 -- 邓超 、 黎明 。 这 一季度 的 品牌 发布会 中 的 男模 们 与 往常 一样 戴上 了 爵士 帽子 。 深邃 的 蓝色 、 橄榄色 、 铅灰色 是 这次 的 主打 色 。 作为 面料 世家 ， 款式 上 不必 多磨 ， 法兰绒 、 剪毛 羊 绒面革 、 经过 特殊 处理 的 羊毛 材料 及 羊绒 等等 ， 当然 还有 秋冬 不可 不备 的 皮革 材料 ， 甚至 还有 牛仔布 料 。 
 时尚 	 耐冻 的 mm 的 时尚 配饰 雪纺小衫 收 起来 了 么 ？ 已经 看到 不少 女生 大衣 的 边边 下 留 着 轻飘 的 雪 纺衫 ， 加上 这 粉扑扑 的 苹果 脸 ， 很赞 。 不好意思 ， 男人 加个 大 围脖 一直 有点 看不惯 ， 不 知道 是 围兜 还是 围巾 呢 。 还是 右边 的 这位 比较 顺眼 点 。 关键 一点 ， 男人 拎 黑包 ， 穿 得 一定 要 干净 ， 不然 就 像 个 逃难 的 。 
 时尚 	 街 拍潮 人 配饰 新 搭法 想必 是 个 model 吧 ， 腿 那么 直 ， 像 橱窗 里 的 假人 似的 。 要说 墨镜 ， 正统 的 都 细分 到 秋冬 款 ， 只是 上海 的 天气 没 啥 实用性 ， 不过 用来 做个 装饰 也 总 有效 过 。 美容 业内人士 长 警告 大家 ， 秋冬 也 要 防 紫外线 啊 。 看 了 这位 你 最 想 问 的 问题 是 什么 ？ 反正 我 想 问 ： “ 冻脚 么 ？ ” 除此之外 ， 着 一身 黑 还是 挺 有 层次 的 ， 特别 是 那个 连 着 手套 的 袖子 ， 绝 了 ！ 就是 有 美眉 敢 穿 清凉 ， 即便 是 近日 个 零度 天 ， 照样 可以 找 两个 这么样 得 出来 ， 为 虾米 呢 ？ 不会 是 情报 的 衣服 可以 配个 吊 坠 吧 。 瞧 这小内 八腿 ， 典型 的 日范 。 这个 . 。 . 是 蕾丝 边 么 ？ 看起来 有 那么 点 唉 。 好 吧 不管怎么 说 着 围巾 凑成 的 对 还是 比较 不错 的 ， 左边 的 女生 颜色 搭配 得 很 好看 。 其他 不说 ， 两个 都 很 利索 、 干净 。 
 时尚 	 街 拍 熊黛林 穿 什么 都 有 范儿 刘嘉玲 着装 点评 ： 一条 白色 的 连衣裙 本身 没什么 特别 ， 巧妙 之 处 在于 透明 的 质地 展露 天生 的 性感 一面 。 熊黛林 着装 点评 ： 模特 身材 就是 穿 什么 都 好看 ， 发型 和 包包 很 提气 ， 普通 的 条纹 T恤 搭 牛仔裤 穿 在 普通人 身上 就是 很 老土 。 
 时尚 	 H & amp ; M 和 ZARA 围脖   充当 披肩 很 有 型 蓝色 单品 点缀 在 黑 皮衣 中 ， 相当 出 挑 。 即使 整身 的 黑色 装束 ， 也 可以 穿 出 层次感 。 另外 马丁 靴 也 是 不错 的 单品 。 极至 发挥 4 ： 一团 围法 像 一团 轮胎 套 在 脖颈 ， 不要 以为 就 没有 美感 了 ， 这 不 ， MM 们 给 了 最好 的 诠释 ， 但是 由于 这种 围法 的 效果 ， 所以 还是 比较 适合 身材 瘦削 的 MM ， 而且 围脖 的 长度 要 适宜 ， 正好 2 圈裹 在 脖颈 位置 ， 这样 才 不会 显得 臃肿 不堪 ， 衣服 款式 也 最好 选择 包身 和 紧身 的 下装 。 脖套 围巾 大行其道 ， 不过 不要 让 围巾 遮住 了 纤细 的 身材 。 如果 把 围脖 充当 披肩 ， 颜色 搭配 很 重要 ！ 极至 发挥 5 ： 充当 披肩 因为 这 车轮 围脖 足够 长 ， 所以 单单 套 在 脖 肩上 ， 也 同样 有型 。 充当 披肩 ， 一下子 就 有 了 女人味 。 而 搭配 上 值得注意 的 是 ， 这种 围法 比较 时候 较为 暖和 的 天气 ， 或是 室内 ， 因为 搭配 打底 衫 或是 毛衣 这样 的 贴身 装束 比较 合适 ， 如 在 大衣 或是 夹克 外 这样 披 ， 只会 有没有 穿戴 好 ， 邋遢 出门 的 效果 。 
