时尚 	 组图 ： 2008 年度 最佳 着装 女明星 在 这 一年 里 ， 有人 横空出世 ， 有人 惊艳 复出 ， 有人 一如既往 地 追求 无懈可击 的 公众形象 ， 有人 从 过去 的 一片 混沌 中 蜕变 出 好 品味 。 值得 我们 效仿 的 不止 是 她们 的 穿衣 风格 ， 还有 她们 的 自信 与 勇气 。 Rihanna 无论是 在 流行 乐坛 还是 时尚界 ， 她 都 是 首屈一指 的 itgirl 。 从 华丽 的 Giambattista   Valli 黄色 晚礼服 到 新潮 的 ZacPosen 紫色 羽毛 裙 她 都 能 演绎 得 头头是道 。 她 率先 戴上 今年 最 流行 的 夸张 耳饰 ， 她 的 短发 也 被 许多 女明星 效仿 。 虽然 她 的 大腿 很 粗壮 ， 却 总是 自信 满满地 穿 上 迷你裙 ， 而且 人们 也 总是 夸 它们 既 修长 又 健美 。 Gwyneth   Paltrow 她 的 复出 惊艳 了 整个 时尚 圈 ， 35   岁 的 她 显得 比 以往 任何 时候 都 更 完美 。 她 能 把 短裙 穿 出 经典 和 高贵 感 ， 这 一方面 要 归功于 她 那双 总是 稳稳 穿着 超 高跟鞋 的 无可挑剔 的 美腿 ， 另一方面 是因为 她 最 青睐 黑 白色 。 另外 ， 今年 的 Bob 头 风潮 也 是 她 带动 起来 的 。 Fergie 她 终于 告别 了 露 肚皮 、 扭大 臀 的 混沌 时期 ， 一个 精致 版 的 Fergie 诞生 了 。 从 Grammy 颁奖典礼 上 简洁 的 CalvinKlein 黄色 晚礼服 到 平时 上街 时 的 帅气 宽松 短裤 和 娃娃 领短 上衣 ， 她 的 转变 告诉 我们 ， 能够 收放自如 的 女人 才 是 最 迷人 的 。 Anne   Hathaway 她 在 这 一年 里 的 感情生活 并 不顺 坦 ， 但是 这 丝毫 不 妨碍 她 在 红地毯 上 熠熠生辉 。 拥有 高挑 丰满 的 身材 和 醒目 五官 的 她 不仅 可以 胜任 华丽 复古 的 Roberto   Cavalli 银色 单肩 裙 和 性感 的 Marchesa 黑色 高叉 礼服 ， 穿 黑色 中性 外套 戴小 礼帽 也 一样 很酷 。 
 时尚 	 组图 ： 明星 教 你 将 条纹 穿 出味 条纹 作为 时尚 圈 永恒不变 的 流行 元素 ， 与 黑白 一样 经典 。 已 简洁 而 被 时尚 人士 所 接受 。 刚刚 到来 的 2009 年 ， 时尚界 的 领军人物 同样 会 继续 青睐 于 它 。 甚至 在 未来 的 若干年 里 ， 它 一样 会 经久不衰 。 时尚界 始终 缺少 不了 它 ， 如何 把 条纹 穿 出味 ？ 来 看看 明星 们 的 示范 吧 。 西耶娜 - 米勒 ( Sienna   Miller ) 的 这款 黑白 条纹 礼服 ， 裙摆 处 的 收拢 设计 和 一字 的 露 肩 设计 ， 性感 而 端庄 。 帕丽斯 - 希尔顿 ( Paris   Hilton )   的 这款 咖啡色 与 粉色 的 条纹 连衣裙 ， 珠 光闪闪 ， 引人注目 。 披上 同色系 的 毛 披肩 ， 立刻 加 分 不少 。 衬托 了 她 的 名媛 气质 。 娜塔丽 - 波特曼 ( Natalie   Portman ) 的 这款 礼服 ， 与众不同 的 是 她 的 条纹 够 宽 ， 不过 幸好 娜塔丽 - 波特曼 ( Natalie   Portman ) 拥有 纤瘦 匀称 的 身材 ， 稍为 胖点 的 MM 可要 慎重 选择 了 。 这款 小 礼服 ， 宽宽 窄窄的 条纹 ， 错落有致 。 细条纹 上饰 有 闪耀 的 珠片 ， 是 整条 裙子 的 一大 亮点 。 条纹 作为 时尚 圈 永恒不变 的 流行 元素 ， 与 黑白 一样 经典 。 已 简洁 而 被 时尚 人士 所 接受 。 刚刚 到来 的 2009 年 ， 时尚界 的 领军人物 同样 会 继续 青睐 于 它 。 甚至 在 未来 的 若干年 里 ， 它 一样 会 经久不衰 。 时尚界 始终 缺少 不了 它 ， 如何 把 条纹 穿 出味 ？ 来 看看 明星 们 的 示范 吧 。 西耶娜 - 米勒 ( Sienna   Miller ) 的 这款 黑白 条纹 礼服 ， 裙摆 处 的 收拢 设计 和 一字 的 露 肩 设计 ， 性感 而 端庄 。 帕丽斯 - 希尔顿 ( Paris   Hilton )   的 这款 咖啡色 与 粉色 的 条纹 连衣裙 ， 珠 光闪闪 ， 引人注目 。 披上 同色系 的 毛 披肩 ， 立刻 加 分 不少 。 衬托 了 她 的 名媛 气质 。 娜塔丽 - 波特曼 ( Natalie   Portman ) 的 这款 礼服 ， 与众不同 的 是 她 的 条纹 够 宽 ， 不过 幸好 娜塔丽 - 波特曼 ( Natalie   Portman ) 拥有 纤瘦 匀称 的 身材 ， 稍为 胖点 的 MM 可要 慎重 选择 了 。 这款 小 礼服 ， 宽宽 窄窄的 条纹 ， 错落有致 。 细条纹 上饰 有 闪耀 的 珠片 ， 是 整条 裙子 的 一大 亮点 。 
 时尚 	 组图 ： 百搭 打底 衫   冬日 尽显 时尚 入 冬天 凉 ， 外出 已经 需要 披 一件 外套 保暖 ， 与 打底 衫 混 搭 叠 穿 ， 作为 精致 的 女生 ， 哪怕 只 露出 一点点 衣角 ， 也 要 展示 精彩 的 细节 ； 若 脱掉 外衣 ， 露出 一件 无功 无过 的 基本 款 ， 那么 你 精心 打造 的 品位 会 大打折扣 。 每每 对 着 镜子 觉得 自己 的 装扮 还 差点 什么 ， 恐怕 就是 扮 打底 装 的 功力 不够 ， 颜色 艳 一点点 、 款式 旧 一点点 、 搭配 差 一点点 ， 可 就是 这 一点点 决定 你 装束 不 成功 。 美丽 是 需要 从 内 而外 都 经得起 推敲 的 。   红色 的 圆领 打底 衫 ， 即使 只是 搭配 一条 项链 就 能 把 你 衬托 的 非常 甜美 。   星星 的 可爱 图案 让 你 充满 童真 ， 搭配 连衣裙 宛如 小 公主 。   想要 成熟 的 装扮 ？ 黑色 绝对 是 首先 ， 加上 白色 小点 让 你 再 冬日 里 不 沉闷 。   最 简单 的 白色 高领 打底 衫 和 橘红色 连衣裙 搭配 在 一起 ， 温柔 和 知性 的 感觉 一拥而上 。 
 时尚 	 组图 ： 章子怡 大牌 装扮 尽显 巨星 范 章子怡 自从 晋升 国际 影星 行列 ， 找到 时代华纳 大 股东 男友 Vivi   Nevo ， 事业 如日中天 ， 每次 出镜 都 是 华服 傍身 ， 品牌 公关 们 也 对 她 趋之若鹜 ， 都 想 让 她 穿 上 自家 衣服 露个 脸 ， 绝对 是 最佳 宣传 。 这次 正好 她 主演 的 《 梅兰芳 》 大规模 进行 国内 宣传 ， 给 章 大美女 一个 秀美 衣 的 好 机会 ， 她 在 出席 的 电影 宣传 活动 上 都 盛装 打扮 ， 尽显 巨星 风范 。   08 年 12 月 3 日 ， 电影 《 梅兰芳 》 在 上海 威斯汀 大酒店 举办 记者 招待会 ， 导演 陈凯歌 携 黎明 、 章子怡 、 陈红 等 一众 演员 出席 。 章子怡 当天 身穿 Burberry   09 春夏 的 新装 亮相 格外 引人瞩目 ， 她 当日 大体 的 搭配 还是 遵循 了 品牌 原来 的 设计 ， 抢眼 的 大 项链 、 低檐 帽 和 一头 长发 。 但 在 细节 部分 根据 实际 情况 加入 了 一些 自己 的 想法 ， 比如 将 凉鞋 换成 长靴 、 休闲 圆帽 换成 保暖 针织 帽 ， 主要 的 原则 就是 造型 不变 ， 尽量 保暖 。   精彩 细节 ： 大 号 项链 、 刺绣 连衣裙 、 渐变 长靴 、 圆帽 + 长发 08 年 12 月 3 日 ， 章子怡 在 上海 出席 《 梅兰芳 》 首映礼 时 身穿 Versace   09 春夏 新装 性感 又 出彩 。 简单 的 两条 肩带 其实 设计 很 有 新意 ， 立体感 的 造型 使得 常见 的 吊带 礼服 焕发 出 个性 的 光彩 ， 有点 军装 化 的 硬朗 ， 又 兼具 品牌 惯有 的 性感 。 在 搭配 上 ， 她 依然 是 将 凉鞋 换成 了 靴子 。   精彩 细节 ： 立体 造型 、 紧身 连衣裙 、 皮草 长靴   08 年 12 月 7 日 ， 《 梅兰芳 》 剧组 在 大连 宣传 ， 野心勃勃 要 破 3 亿 票房 。 章子怡 当天 用 一件 黑色 长款 羽绒服 搭配 金属色 压纹 高腰 连衣裙 ， 简洁 大方 ， 很 有 国际 巨星 的 气势 。 当天 她 选择 了 Burberry 的 亮片 鞋 和 连衣裙 。   精彩 细节 ： 特殊 面料 、 简洁 款式 、 亮片 鞋 、 奢华 珠宝   08 年 12 月 12 日 ， 电影 《 梅兰芳 》 入围 柏林 影展 ， 影片 导演 陈凯歌 携 演员 章子怡 、 陈红 、 孙红雷 、 王学圻 、 余少群 出席 了 宴会 。 当天 章子怡 身穿 一件 白色 亮面 双排 扣 风衣 搭配 黑色 长 手套 和 长靴 ， 十分 帅气 ， 在 一众 深色 装扮 中 更加 出彩 。 最大 的 亮点 还数 那 顶 斜 戴 的 绅士 帽 ， 完全 带 出 风衣 的 硬朗 特色 。   精彩 细节 ： 亮面 、 双排 扣 军装 款 、 绅士 帽 、 长靴 
 时尚 	 组图 ： 街 拍 女王 的 出门 必备 亮眼 单品 今天 我们 来说 一说 街 拍 ， 关于 几个 出镜率 极高 的 时尚 达人 的 街 拍 ， 她们 如何 把 一件 单品 反复 利用 在 不同 搭配 上 ？ 我们 来 一探 究竟 ！ 凯拉 - 奈特 利 ( Keira   Knightley   ) 街 拍 标识 ： 礼帽 不可否认 的 是 ， Keira   Knightley 小姐 虽然 不 属于 耐看 的 美 ， 但 她 从 颁奖典礼 到 日常 街 拍 ， 服装 搭配 都 很 有 看头 。 Chanel   No.5 广告 里 拿 着 圆 礼帽 撩人 眼球 的 一 遮 ， 平板 身材 也 显得 性感 不少 。 仿佛 从 这支 广告 开始 ， 礼帽 就 伴随 着 她 每 一次 街 拍 亮相 。 一种 带 着 嬉皮 感 的 帅气 使 她 成功 转型 。 帕丽斯 - 希尔顿 ( Paris   Hilton ) 街 拍 标识 ： 墨镜   戴 墨镜 的 明星 何其 多 ， Paris   Hilton 有何 能耐 更胜一筹 ？ 胜 就 胜 在 她 的 墨镜 种类 够 多 ， 颜色 够 鲜艳 。 而且 她 还 胜 在 够 大胆 ， 衣着 从来 就 以 配色 大胆 闻名 ， 墨镜 更是 任何 种类 都 敢 尝试 。 各式 各色 边框 的 墨镜 都 把 她 推上 了 墨镜 女王 的 宝座 。 
 时尚 	 组图 ： 让 你 放心 安全 坐地铁 的 包包 每天 我们 都 在 相同 的 时间 和 地段 走上 地铁 或者 轻轨 ， 在 拥挤 的 人潮 里 每天 都 和 陌生人 擦身而过 ， 我们 期待 着 缘分 的 到来 ， 但是 有 一种 相遇 是 每个 人 都 不想 遇到 的 ， 那 就是 人人 都 痛恨 的 “ 小偷 ” 。 小编 有 一次 在 上下班 高峰 时刻 乘坐 地铁 ， 钱包 就 被 偷 啦 ， 伤心 了 好 一段时间 ， 钱包 是 放在 包包 里面 由于 包包 的 设计 问题 ， 轻易 的 让 小偷 得手 了 ， 因此 想到 我们 的 包包 非常 重要 与 关键 ， 各种各样 的 包包 应该 如何 背法 ， 何种 包包 即 放心 又 安全 呢 ， 小编 整理 一番 后 与 大家 分享 。 拉链 大包 包 安全系数 ： 中等 温馨 贴士 ： 醒目 的 橘色 上装 搭配 针织 迷你裙 装 ， 显得 可爱 又 温暖 ， 一款 超大 的 立体感 十足 的 圆底 包包 十分 引人瞩目 ， 超大 的 容量 可以 装载 众多 随身 物品 ， 拉上 双层 拉链 ， 让你在 拥挤 的 地铁 里 感觉 放心 。 温馨 贴士 ： 包包 是 我们 出行 必备 的 单品 ， 不仅 要好看 ， 更要 实用 ， 超大 立体 的 包包 ， 有着 长长的 肩带 ， 又 适合 斜 挎 背法 ， 在 搭配 方面 与 棕色 长靴 色彩 呼应 ， 相映 得彰 ， 贴身 的 斜 挎 背包 ， 增加 安全感 。 温馨 贴士 ： 散发 着 浓浓的 怀旧 气息 的 棉麻 质地 的 机车 风格 手提包 ， 靓丽 的 外观 吸引 众人 视线 ， 皮带 装饰 增加 美感 ， 外侧 小口袋 和 主包 的 拉链 设计 ， 让 你 乘坐 地铁 也 能 放心 获得 安全感 。 
 时尚 	 组图 ： 长衫 + 外套 5 招 告别 冬日 臃肿 窈窕 新 装扮 ， 爱美 的 MM 们 怎能不 心动 ， 时尚 的 风潮 变幻 多彩 ， 靓丽 时装 最是 迷人 ， 点亮 冬日 的 快乐 心情 ， 一 起来 欣赏 靓丽 迷人 的 时装 吧 ， 这个 季节 一定 要 做 最 靓丽 的 MM ！ 
 时尚 	 组图 ： 09 流行 新 焦点 日系 甜美 派 女鞋 新 的 一年 已经 来临 ， 喜欢 扮靓 的 MM 一定 又 在 各大 时尚杂志 和 网站 寻找 新一季 的 流行 。 沉闷 乏味 的 深色 系 即将 随着 冬日 的 慢慢 离开 而 变得 过时 ， 因为 钟爱 时尚 的 MM 怎会 甘心 让 自己 的 整个 冬季 都 淹没 在 一片 黑压压 的 深沉 颜色 之中 ！ 于是 ， 在 2009 年 伊始 的 流行 热潮 中 ， 日系 甜美 派 女鞋 闪亮 登场 ， 凭借 一双 糖果 色 的 美鞋 ， 就 能 点亮 全身 ， 让 造型 焕然一新 ！ 不 信 的话 ， 你 就 来看 一 看吧 ！ 搭配 建议 ： 简单 的 大 字母 休闲 连衣裙 ， 上面 的 印花 字母 和 雪地 短靴 的 颜色 巧妙 呼应 。 式样 简单 的 围巾 在 这里 成 了 点睛之笔 ， 没 了 它 ， 整个 造型 就 显得 单调 不少 了 。 美鞋 亮点 ： 雪地 靴 这 两年 走俏 于 喜欢 时尚 的 MM 之间 ， 成 了 冬日 里 MM 的 必备 之物 ， 但 红色 系 的 雪地 靴 在 大街 上 似乎 看见 得 不 多 ， 因此 而 变得 出众 。 搭配 建议 ： 小 马甲 和 格纹 短裤 将 整体 造型 定位 在 帅气 自然 的 风格 之上 ， 带有 亮片 的 平底 单鞋 能 增添 不少 可爱 和 淑女 的 气质 。 美鞋 亮点 ： 豹纹 花纹 本身 就 已经 很 炫 了 ， 再 在 上面 全都 贴满 亮片 ， 无论是 出门 逛街 或者 参加 派对 ， 一定 会 牢牢 吸引住 大家 的 眼球 哦 ！ 
 时尚 	 组图 ： 2009 开运 装   穿 得 有 道理 撰文 /   信息时报 记者   林建敏   胡慧君   单品 拍摄   / 林建敏 服装 提供 / 友谊 环东店   天河城 百货 天河 店 2009 新 的 开始 。 对于 上班族 mm 来说 ， 如何 穿 得 有 道理 ， 才能 用 喜庆 的 开运 装 去掉 晦气 改变 运气 ， 实在 是 件 值得 费心 的 大事 。 是 红色 还是 格仔 ， 又 或者 搭配 金色 闪光 的 饰品 ， 总之 ， mm 们 穿 之 有 道 。 穿 之 有 道 1 要 “ 红 ” 红色 单品 是 新年 时潮 人们 必备 要素 ， 借 红色 来 打造 精彩 的 新年 开运 装 ， 而用 红色 作为 新 的 一年 事业 的 开运 装 更 能够 带来 好运气 哦 ！ 比如 荷叶 领 的 娃娃装 款式 ， 少 了 几分 严肃 ， 多 了 几分 俏皮 可爱 ， 让 新年 上班 的 心情 更加 愉快 ； 选 一款 红色 长款 外套 ， 配 上 一双 及 膝 长靴 ， 提升 时尚 指数 ； 或 选择 红色 的 短装 外套 内 搭 一条 款式 别致 的 镂空 裙子 ， 精致 与 干练 的 完美 结合 ， 如果 晚上 有 PARTY 的话 ， 再配 上 一款 小包 ， 便 省去 了 回家 换衣 的 繁琐 ， 即可 直接 去 赴约 。 搭配 TIPS ： 1 . 红色 单品 是 新年 开运 装 的 首选 ， 一双 耀眼 的 红色 短靴 ， 立即 改变 黑色 套装 固有 的 沉闷 感 ， 提升 造型 时髦 度 和 新鲜感 。 2 . 选择 整身 的 红色 套装 ， 款式 上 应该 尝试 瘦身 版型 ， 选择 小一码 的 套装 也 是 个 精明 的 办法 。 上衣 的 设计 讲究 腰线 的 提升 ， 这 也 是 新季 的 流行 特色 ， 裙子 方面 推荐 复古 的 H 形 3 . 厚重 的 红色 短款 外套 ， Mini 裙为 最佳 搭配 ， 颜色 应 以 浅色 为主 ， 突显 红色 的 单纯 和 饱和度 。 4 . 如果 你 是 正宗 的 潮人 ， 还 可以 选择 红黄绿 的 俏丽 组合 ， 打造 属于 自己 的 舒适版 个性 范儿 装扮 。 
 时尚 	 组图 ： 巧妙 搭配 衬衫 办公室 装 不 单调 编者按 ： 上海 12 月 的 天气 ， 实在 是 让 人 头疼 。 先是 一夜之间 从 18 度 狂跌 到 4 度 ， 然后 又 一路 持续 走高 ， 昨天 更是 达到 了 20 度 。 加上 办公室 里面 强劲 的 空调 ， 愣 是 没 感觉 出 冬天 的 味道 来 。 所以 今年冬天 ， 小编 还是 推荐 以厚 外套 + 薄内 搭衣 为主 的 搭配 。 像 上班族 MM 就 比较 推荐 衬衫 ， 一款 基本 的 衬衫 既 正式 ， 又 耐 搭 而且 还 可以 修饰 身材 ， 现在 就让 小编 一次 为 你 全面 解析 OL 衬衫 的 搭配 秘诀 ！ 1 、 黑 衬衫 的 魅力 真丝面料 的 黑 衬衫 高贵典雅 不容置疑 ， 质感 也好 ， 它 能 展现出 成熟 女人 的 韵味 ， 不 需要 多 的 搭配 ， 简单 才能 体现 你 的 个人 魅力 ！ 搭配 Tips ： 太过 简单 设计 的 衬衫 考验 的 是 你 的 身材 ， 但是 巧妙 利用 衬衫 的 样式 ， 可以 修饰 你 的 身材 。 像是 有 花边 的 衬衫 可以 显得 身材 凹凸 有 致 ， 让 你 原本 简单 的 搭配 不会 单调 没有 看点 ！ 搭配 Tips ： 套衫 式 衬衫 干练 简洁 ， 许多 衬衫 的 扣子 间隔 比较 大 ， 总是 不 小心 就 意外 走 光 ， 这样 的 设计 还 能 保护 好 自己 ， 不会 有 “ 风险 ” ！ 一条 简单 的 珍珠项链 ， 让 你 低调 中 不失 光彩 ！ 
 时尚 	 OL 混搭必 看 ： 韩国 MM 教 你 同衣 不同 搭配 （ 组图 ） 同 一件 衣服 ， 利用 不同 的 衣服 和 配饰 与 之 搭配 ， 营造 出 各种 风格 ， 这是 时尚 的 一种 乐趣 ， 也 是 搭配 功底 的 显示 吧 ~ 对于 现金 的 OL 们 ， 穿着打扮 不仅 是 自己 的 事 ， 还 关乎 到 社交 、 人际关系 ， 其实 衣服 并 不用 太 多 ， 用 有限 的 服饰 混 搭 不同 造型 才 最 重要 ！ 接下去 要 带 大家 看 的 这位 MM ， 就 擅长 将 一件 衣服 做出 不同 搭配 ， 相比 Susie   Lau 的 另类 怪异 ， 大家 应该 更能 从 这位 美女 的 搭配 身上 学到 些 时尚 边角料 吧 ！ 这样 一件 单品 ， 你 是不是 会 觉得 太 独特 太 挑眼 不太好 搭配 呢 ？ 看 这位 美女用 短款 小 西装 、 长款 毛线 裙 和 红色 外套 做出 的 不同 搭配 ， 左右 两套 适合 OL 上班 ， 中间 可以 参加 派对 。 小编 最 喜欢 中间 这套 ， 镂空 钩花 的 毛线 背心 裙 与 豹纹 裙叠 穿 ， 搭配 复古 腰带 和 手 抓 包 ， 时髦 又 很 有 特色 。 这样 的 套头衫 是不是 已经 被 步入 职场 的 你 淘汰 了 呢 ？ 其实 搭配 西装 外套 、 紧身裤 和 鱼 嘴 鞋 ， 也 很 有 OL 气息 呢 ， 周末 又 可以 换上 休闲裤 帆布鞋 舒适 的 逛街 ， 这些 搭配 不仅 好看 ， 还 十分 实用 。 满大街 都 流行 西装 马甲 ， 到 了 秋冬 ， 有 没想 过 添置 一件 皮质 马甲 呢 ？ 既能 为 胸口 挡风 ， 还 立马 发挥 马甲 的 混 搭 威力 ， 穿 上 它 就 多 了 份 帅气 酷劲 。 纯洁 感 的 白色 毛衣 外套 ， 也 是 女孩子 衣橱 里 不可 缺 的 单品 。 为 毛衣 外套 系 上 腰带 你 有 尝试 过 吗 ？ 这 可是 腰带 三种 基础 用法 之一 哦 ~ 
 时尚 	 组图 ： 09 春夏 10 大 单肩 礼裙 推荐 披挂 式 的 希腊 女神 单肩 裙 在 近 几季 大肆 流行 。 尤其 富有 光泽感 的 丝绸 质地 的 单肩 裙 ， 因为 宽松 剪裁 使得 穿着 时 身心 舒适 ， 同时 裸露出 香肩 的 设计 令 女人 性感 高雅 。 
 时尚 	 组图 ： 修身 款 皮草 告别 冬日 臃肿 严寒 拉开 皮草 季 的 序幕 ， 明星 们 顶 着 舆论压力 继续 败给 这 罪恶 和 美丽 并存 的 皮草 。 无 修身 的 裁剪 已经 成为 过去 式 ， 正当 红 的 款式 即 修身 款 大衣 和 那些 无所不在 的 皮草 饰边 ， 皮草 已经 告别 臃肿 成为 冬日 里 温馨 的 点缀 。 修身 款 想要 把 厚重 的 皮草 ， 穿 出 纤细 的 廓型 并 不难 。 穗状 的 皮草 条 具有 垂感 可以 延伸 线条 感 ， 还 可以 利用 修身 款 的 黑色 礼服 裙 做 内衬 ， 都 是 将 皮草 纤细 化 的 妙 招 。 身着 烟灰色 皮草 马甲 的 Maggie ， 凭借 宽 腰带 分割 了 全身 的 比例 。 修长 的 连衣裙 很 好 地 延长 了 整体 的 视觉 感 。 
 时尚 	 组图 ： 打折 季   明星 示范 经济 淘货法 编者按 ： 可 别以为 那些 时尚 Icon 是 日日 新款 ， 所有 衣服 只 穿 一次 就 扔掉 。 事实上 ， 她们 之所以 有 Icon 地位 ， 就 在于 其化 平凡 为 神奇 的 功力 ， 在 如今 打折 进行 至 白热化 之际 ， 不妨 向 她们 取经 ， 找准 自己 的 型 ， 以 最 经济 的 方式 ， 选出 专属 你 的 风格 的 单品 ， 再 经过 悉心 搭配 ， 成为 时尚 达 人 指日可待 ！ Icon   1   张曼玉   经典 方案 ：   硬朗 结合 妩媚 自出 道 开始 ， 张曼玉 的 着装 品位 就 一直 被 赞许 ， 摇滚 味十足 的 短款 皮夹克 、 有 设计 感 的 小 西装 均 是 她 衣柜 中 的 常见 之物 ， 但 大多 都 搭配 低胸 上衣 、 及 膝 裙 与 尖头 高跟鞋 ， 令 中性 装扮 多出 女人味 。 在 出席 派对 时 ， 带 点儿 奢华 却 又 不失 青春 的 短款 皮毛 外套 则 是 张曼玉 的 偏爱 之物 ， 但 却 不 忘 加入 宽 腰带 及超 短靴 ， 为 小 礼服 裙 加入 硬朗 定义 ！ 淘货 指南 1 . 短款 皮夹克 、 西装 及 皮草 外套 ， 一向 都 是 打折 季 的 热门 单品 ， 也 是 张曼玉 的 最 爱 ， 自然 成为 清单 上 的 Must   buy 。 2 . 中性 简约 款 手表 、 手环 等 配饰 ， 都 为 张曼玉 所 喜爱 。 在 项链 方面 ， 则 以长 项链 居多 。 搭配 裤装 及 裙装 都 相宜 的 宽 腰带 ， 更是 打折 季 的 必购 潮物 。 3 . 链条 包是 张曼玉 的 最 爱 ， 也 是 2009 年 春夏季 的 热门 单品 ， 不能 错过 。 近年 大热 的 脚踝 靴 也 值得 入手 ， 尖头 款 更具 Maggie 风范 。 经典 单品 ： 短款 皮夹克 、 西装 、 皮草 外套 必淘 单品 ： 宽 腰带 、 尖头 高跟鞋 、 链条 包 
 时尚 	 组图 ： 牛形 配饰 让 你 09 牛气 冲天 中国 牛 年 即将 到来 ， 牛 年 出生 的 人 有 耐心 、 沉默 、 值得 信赖 。 牛是 吃苦耐劳 、 勤奋 忠实 的 象征 ， 也 有 许多 人用 “ 牛气 、 牛市 ” 等 字眼 来 形容 无穷的 力量 ！ 在 新 的 一年 里 送给 自己 一份 牛年 小 礼物 ： 一枚 精致 的 生肖 牛挂 坠 ， 或是 一件 公牛 钥匙扣 ， 都 承载 了 对 新 一年 的 美好 祝愿 ， 牛饰 的 不可 抵挡 定会 为 你 的 2009 年 带来 非凡 运气 ！   耕牛 催 丰年 登喜路 的 公牛 、 施华洛 世奇 的 牛羚 都 具有 传统 的 生肖 牛 形态 ， 耕牛 的 刚刃 与 力量 ， 勤劳 的 耕作 都 预示 着 明年 的 大丰收 ！ 强壮 的 牛羚 运用 水晶 切割 出 的 无数 切面 ， 折射出 诱人 光彩 ， 从 任何 角度看 都 很 完美 。 手工 抛光 的 纯银 上 雕刻 出 精致 细节 ， 极尽 工巧 之 事 ， 力致 完美 呈现出 牛 年 生肖 。 牛岁 福临门 抱 着 福字 或手 捧 金元宝 的 千 足金 生肖 牛是 吉祥 的 象征 ， 既 美观 又 能 保平安 、 交 好运 。 也 是 在 新 一年 送给 自己 的 祝福 ！ 小 金牛 活泼 惹人爱 ， 在 贺岁 之 时 承载 着 幸福 、 好运 降临到 你 身旁 ， 保佑 你 平平安安 又 一年 。 充满 稚气 的 小牛 睁大眼睛 ， 仿佛 在 恭祝 人们 财气 攀升 ， 并 期待 属于 它 的 新年 来到 。 
