时尚 	 CK 广告 性感 挑逗 惹 非议   时尚 为啥 总和 情色 挂钩 导语 ： 时尚界 打 情色 牌 已经 屡见不鲜 了 ， 不过 要说 这 最早 因大 打 色情 牌 而 名声大噪 的 品牌 ， CalvinKlein 一定 在 名单 前列 ， Calvin   Klein   Jeans ( CKJ ) 作为 CalvinKlein 的 二线 品牌 ， 是 很 受 年轻人 欢迎 的 牛仔 品牌 ， 自从 史蒂文 - 梅塞 ( StevenMeisel ) 掌镜 CK 的 广告 后 ， 许多 服饰 广告 因为 画面 实在 太 露骨 而 被 禁播 。 Calvin   KleinJeans ( CKJ ) 2009 最新 服饰 广告 ， 就 因为 里面 的 画面 太过 暴露 ， 情节 太过 露骨 ， 而 遭到 了 禁播 ， 这 段 半分钟 不到 的 广告 ， 内容 就是 几个 穿着 CKJ 牛仔裤 的 男女 模特 纠缠 爱抚 的 画面 ， 看过 的 人 都 被 胆大 的 尺度 吓 到 了 。 不光 广告 被 禁播 ， 最近 他们 的 广告牌 也 遭到 了 “ 封杀 ” ， CalvinKlein 的 巨幅 性感 挑逗 的 广告牌 在 街 中 确实 相当 抢眼 ， 引来 许多 人 驻足观看 ， 画面 中 的 一 裸女 与 两 男 缠绵 的 镜头 让 大家 感到 很 挑衅 。 细数 下 不难 发现 ， 从 最早 的 第一块 大幅 男性 内衣 广告 ， 被 大家 称为 挑战 了 时代广场 的 广告 游戏规则 ， 到 KateMoss 因为 太过 “ 病态 性感 ” 而 被 批评 ， 还有 澳大利亚 超模 TravisFimmel 的 内裤 广告 在 纽约 闹市 造成 大 塞车 事件 ， 这些 充斥 着 性 暗示 的 广告 更 多 是 被 当作 一种 炒作 手段 来 解读 。 但 不管怎样 ， 史蒂文 - 梅塞 ( StevenMeisel )   冷峻 的 性感 风格 已经 为 CK 的 销量 推波助澜 ， 事实证明 他 这次 又 帮 CK 成功 营销 了 ！ 但 不管怎样 ， 史蒂文 - 梅塞 ( StevenMeisel )   冷峻 的 性感 风格 已经 为 CK 的 销量 推波助澜 ， 事实证明 他 这次 又 帮 CK 成功 营销 了 ！ 
 时尚 	 山本 耀司 设计师 档案 导语 ： 日本 设计师 山本 耀司 有着 强烈 的 个人风格 ， 一起 走近 这位 传奇 大师 ， 来 看看 他 的 个人档案 吧 。 1943 --- 生于 横滨 ； 60 年代 ---- 山本 耀司 从 帮 母亲 制衣 从而 走上 服装 之 路 ； 大学毕业 后 --- 前往 欧洲 ， 并 在 巴黎 呆 过 一阵子 ， 后 回到 日本 ； 1972 ---- 作为 先锋派 代表 人物 ， 山本 耀司 建立 起 自己 的 工作室 ， 并 时常 与 川 久保 玲 保持联系 ； 1981 ---- 山本 耀司 在 巴黎 举行 了 一场 以 黑色 ， 奔放 ， 宽松 的 服装 风格 为主 打 的 服装秀 ， 1999 ---- 为了 顺应 大行其道 的 实用 风潮 ， 山本 耀司 竟 让 伸展台 上 的 新娘 从 婚纱 裙 的 拉链 口袋 里 掏出 鞋子 、 手套 、 和 捧 花 。 同年 秋季 ， 又 在 时装 发布 中 重现 了 “ 铁达尼 号 ” 上 的 大帽子 。 2001 ---- 山本 耀司 发表 了 以 爱斯基摩 人为 原型 的 高级 时装 ， 其 精湛 的 裁剪 、 不动声色 的 设计 以及 对 褶皱 技巧 的 巧妙 运用 ， 再次 令 时装界 为 之 折服 。 开始 与 adidas 合作 2002 --- Y - 3 品牌 诞生 ， 山本 耀司 担任 创意 总监 设计师 山本 耀司 表示 ： “ 阿迪达斯 使 我 获得 了 一种 非常 奇妙 的 灵感 体验 。 与 它 的 合作 极大 地 丰富 了 我 的 创作 生命 ， 我们 期待 能够 拥有 更加 美好 的 未来 。 ” 
 时尚 	 巴黎 时装周   LV 女包 “ 撞衫 ” 中国 菜篮子 导语 ： 中国 人 对 LV 包包 的 爱 是 众所周知 的 ， 但是 就 在 Marc   Jacobs 马上 要 离开 Louis   Vuitton 而 接掌 Dior 的 最后 一季 发布 上 ， 小马哥 跟 无数 的 中国 LV 包拥 趸 们 开了个 玩笑 。 其中 一款 新品 包包 怎么 看 都 像 20 年前 中国 母亲 买菜 时候 背 的 菜篮子 … … 2012 巴黎 时装周 ， Louis   Vuitton 女孩 们 骑 着 梦幻 的 旋转 木马 来 为 我们 展示 最新 一季 的 春夏 时尚女装 。 在 本季 LV 秀场 像是 一个 巨大 的 童话 梦境 ， 让 人 沉醉 其中 。 但是 ， 让 我们 先 把 美美 的 时装 放在 一边 ， 来 看看 有 哪些 新品 包包 最能 打动 你 ， 或者 … … 让 你 大跌眼镜 。 LV 女包 “ 撞衫 ” 中国 菜篮子   有 了 类似 中国 手织 麻花 毛衣 的 爱马仕 ( Hermes ) 毛衣 ， 又 有 了 类似 暖水袋 的 香奈儿 ( Chanel ) 手拿包 ， 路易斯 - 威登 ( Louis   Vuitton ) 不甘落后 ， 推出 了 属于 自己 的 “ 菜篮子 ” 包包 。 如果 不是 包上 LV 的 标志 ， 真有 可能 被 人 直接 拎 了 去 买菜 ， 或者 拿进 澡堂子 洗澡 去 了 … … 看来 不止 LV ， 缪缪 ( Miu   Miu ) 也 推出 过 类似 “ 菜篮子 ” 的 “ 时尚 ” 女包 ， 当然 ， 出自 著名 设计师 之手 的 “ 菜篮子 ” 女包 ， 在 款式 ， 质量 尤其 是 价格 上 都 是 更胜一筹 的 。 Louis   Vuitton 新品 女 包大赏 大牌 依旧 精彩 ， “ 撞衫 ” 只是 偶然 。 下面 还是 然 我们 来 看看 其他 精美 的 LV 新品 女包 吧 。 这 款 鳄鱼 纹 拼接 女包 简约 而 优雅 ， 粉白 ， 蓝白 ， 黑白 的 配色 都 十分 百搭 。 加上 较大 的 容量 ， 是 高级 OL 的 不二 选择 。 那里 有 LV 包 ， 那里 就 有 那 经典 的 LV 图案 印花 。 这 款 水桶 包可提 可 挎 ， 充满 的 年轻 的 校园 气息 。 纯色 的 鳄鱼 纹路 包包 ， 没有 太过 亮眼 的 设计 ， 但是 淡淡的 色彩 和 简洁 饱满 的 形状 透着 优雅 大方 。 LV 新品 纯白色 手拿包 ， 一款 百搭 的 时尚 单品 ； 不止 包包 ， LV 本季 还 推出 了 颜色 粉嫩 的 雨伞 ； 上图 最 右边 的 透明 包包 性感 优雅 ， 相信 LV 热爱 者 在 看到 它 的 第一眼 ， 就 想要 收入 囊中 了 。 
 时尚 	 花边 报 ： 吴佩慈 欧式 贵妇 装 庆生   大 小S 携 姐妹 团 斗艳 导语 ： 10 月 4 日 吴佩慈过 33 岁 生日 ， 邀请 演艺圈 众 姐妹 开 庆生 派对 ， 还 自创 主题 为 “ 凡尔赛 玫瑰 ” ， 众人 化身 古典 贵妇人 盛装 赴 会 ， 场面 活像 一场 欧洲 贵族 盛宴 。 当日 吴佩慈 ( 微博 ) 在 围脖 上 疯狂 刷屏 ， 并 感谢 所有 为 她 庆生 的 姐妹 。 一张 大 合照 像是 欧洲 宫廷 宴会 ， 姐妹 团 每个 人 都 穿 的 美艳 动人 。 靓丽 的 姐们 团 ， 各个 都 是 华丽 的 欧洲 中世纪 贵族 装扮 ， 巨大 的 裙 撑 演绎 夸张 的 裙摆 。 妩媚 的 头饰 点缀 在 发梢 。 吴佩 慈和 范范 ( 微博 ) 俩 人大 秀 “ 恩爱 ” 玩 亲亲 ， 惹 得 黑人 ( 微博 ) 醋意 大发 。 吴佩慈 穿着 梦幻 的 粉色 纱质 层叠 裙 ， 范范则 选择 了 高贵 的 淡紫色 蛋糕 裙 ， 相似 的 珍珠项链 装饰 ， 活脱脱 的 twins 装 。 
 时尚 	 花边 报 ： 性感 当道   假小子 抛胸 露背 集体 变 女人 导语 ： 中性 风 盛行 已经 不是 一天两天 ， 以 帅气 形象 示人 的 女星 不在少数 。 殊不知 最近 “ 假小子 ” 们 集体 抛胸 露背 变 女人 ， 一改 往日 形象 让 我们 措手不及 。 本届 超女 冠军 段林希 ( 微博 ) ， 夺冠 后 不久 便 露出 “ 事业 钱 ” 来 吸引 媒体 和 观众 的 眼球 。 俏皮 的 白色 字母 TEE 深开 领口 露出 事业 线 ， 还秀出 一段 蛮 腰 青春 无敌 。 白色 抹胸 和 篮球 背心 的 组合 更是 突出 了 段 林希 的 身材 ， 双峰 呼之欲出 ， 让 我们 的 目光 完全 忽略 了 衣服 本身 。 周笔畅 ( 微博 ) 之前 的 一组 露背 照片 曾一度 引起 热议 。 照片 中 周笔畅 虽 仍 是 短发 示人 ， 却 用 耳坠 展现 妩媚 女人味 。 
 时尚 	 搭配 QA ： 夏天 的 裙子 在 秋天 怎样 接着 穿 ？ Q ： 夏天 的 裙子 在 秋天 怎样 接着 穿 ？ A ： 加件 外套 似乎 就是 最 简单 的 解决办法 ， 但 添加 不同 风格 的 外套 出来 的 感觉 却是 完全 不同 的 ， 夹克衫 帅气 随意 ， 针织衫 柔美 亲切 ， 而 今天 编辑 要 推荐 给 大家 的 是 更 适合 时尚 都市 OL 们 选择 的 造型 — — 西装 + 连衣裙 。 线条 硬朗 明确 的 西装 对 身材 有着 极好 的 修饰 作用 ， 可以 帮 你 将 多余 的 赘肉 都 隐藏 起来 ， 同时 通过 连衣裙 飘逸 的 裙摆 制造 出 和 上身 相碰撞 的 自由 感觉 更 有 时尚 的 感觉 ， 而且 也 更加 适合 办公室 这样 相对 正式 的 场合 。 ﻿ 
 时尚 	 搭配 QA ： 拷贝 明星 搭配 多少 预算 能 做到   Q ： 拷贝 明星 搭配 多少 预算 能 做到 ？ A ： 愈来愈多 的 时尚杂志 、 街 拍 网站 将 明星 的 日常 出 街 装扮 呈现 在 我们 眼前 ， 看着 那些 或 性感 或 帅气 或 女人味 的 打扮 ， 我们 不免 也 心 痒痒 ， 跃跃欲试 。 鉴于 明星 这一高 收入 群体 ， 其 日常 装扮 往往 价格不菲 ， 然而 也 不是 所有 明星 都 是 走 高端 路线 ， 亲民 价格 的 单品 出镜 频率 也 不 低 ， 拷贝 明星 搭配 ， 几百美元 的 预算 就 能 做到 。 
 时尚 	 FILA   100 周年 庆典   百年 FILA   时尚 回归 100 年 ， 足以 记录 一段 历史 的 变迁 ； 100 年 ， 足够 见证 一个 品牌 的 荣耀 。 2011 年 10 月 13 日 ，   以 “ 百年 FILA   时尚 回归 ” 为 核心 概念 的 FILA 品牌 发布会 暨 百年 庆典 在 北京 798   D - Park 艺术 区大 罐内 举行 ， 开启 了 来自 意大利 百年 生活 时尚品牌 FILA   100 周年 的 庆典活动 。 极具 历史 价值 和 纪念 意义 的 服装 、 鞋 、 背包 、 腕表 、 眼镜 等 单品 ， 在 这段 丰富多彩 的 百年 旅程 上 ， 不断 推陈出新 又 时时 引领 潮流 ， 见证 了 FILA 多元化 的 发展 和 锐意进取 的 精神 。 当晚 众星 云集 ， 香港 著名 三栖 明星 古天乐 先生 、 韩国 明星 崔恩珠 小姐 ， 金秀路 先生 ， 刘泰雄 先生 ； 内地 知名演员 陈道明 先生 悉数 到场 令红毯 星光 熠熠 。 FILA 中国 总裁 姚伟雄 先生 、 副总裁 John   Yang 先生 、 副总裁 王 华友 先生 ， 亲临现场 与 京城 众多 时尚 人士 共襄盛举 ， 见证 并 分享 了 这场 堪称 年度 时尚 大戏 的 视觉 盛宴 。 穿越 百年   经典 时尚 此次 庆典 场地 布置 可谓 是 百年 经典 与 现代 时尚 的 完美 结合 ： FILA 特地 将 远 在 意大利 的 百年 历史博物馆 搬 到 活动 现场 ， 让 来宾 可以 近距离 欣赏 到 每件 具有 历史 意义 的 珍品 ， 追溯 百年 前 激动人心 的 时刻 ； 而 占地 1300 平米 积聚 时尚 与 动感 的 秀场 ， 又 将 来宾 带回 现代 都市 ， 在 3D 秀 的 光影 变换 中 ， 2012 春夏 发布 大秀 激情 上演 ， 模特 们 在 矩形 T台 上 尽情 演绎 ， 现场 嘉宾 沉醉于 FILA 所 倾心 打造 的 梦幻 世界 。 发布会 后 ，   特意 赶来 的 FILA 全球 总裁 Gene   Yoon 先生 ， 安踏 体育用品 有限公司 董事局 主席 兼 首席 执行官 丁世忠 先生 ， FILA 中国 总裁 姚伟雄 先生 与 香港 当红 明星 古天乐 先生 ， 内地 实力 明星 陈道明 先生 共同 为 FILA 全新 3.0 概念 店 揭幕 ， 这 标志 着 FILA 将 以 全新 的 店铺 形象 迎接 消费者 。 新 店铺 在 区域 设计 上 更加 人性化 ， 在 整体 装饰 上 也 更加 现代化 ， 真正 让 消费者 体验 到 购物 的 惊喜 与 趣味 ， 并 获得 多种 感官 乐趣 。 再创 百年   斐帆 起航 100 年 的 发展 与 变革 ， FILA 自始至终 呈现 一个 经典 、 时尚 、 性感 、 高品质 的 意式 形象 ， 不仅如此 ， 它 的 热情 和 活力 ， 以及 追求 简约 之 美的 生活态度 ， 也 深深 影响 了 几代人 。 如今 ， 我们 看到 的 是 一个 虽 熟悉 却 崭新 的 FILA 品牌形象 ， 秉承 传统 的 艺术 理念 之 余 ， 又 处处 体现 了 现代 潮流 的 时尚 气息 。 并 不 局限于 创造 历史 创造 奇迹 的 FILA 同样 希望 藉此 创造 属于 自己 的 时尚 理念 ： 追求 舒适 ， 轻松 ； 注重 细节 ， 美感 ； 追逐 梦想 ， 起航 — — 所有 这些 ， 都 为 FILA 品牌 注入 鲜活 的 力量 ， 今天 的 FILA 颠覆 传统 运动 形象 ， 以 全新 的 时尚生活 品牌 释放 出 意想不到 的 能量 ， 不久 的 将来 与 NOOKA 灵魂 人物 Matthew   Waldman 的 跨界 合作 将 点燃 FILA 对 未来 的 热切期望 ， 今天 ， FILA 的 回归 ， 也 意味着 一个 新 的 时尚 纪元 即将 开启 。 时尚 百年   精品 缔造 2012 年 春夏季 ， FILA 展示 了 一个 以 航海 为 灵感 的 优美 系列 ， 在 重塑 经典 之 余 平添 了 优雅 帅气 。 新一季 设计 创意 来自 法国 的 特鲁维 尔 ， 那里 是 环境 优雅 的 航海 和 帆船 胜地 ， 风平浪静 的 港口 停泊 着 悠然 的 风帆 ， 洁白 的 船帆 和 缆绳 与 蓝色 天空 及 大海 交相辉映 ， 于是 蓝白 为主 色调 的 经典 搭配 组合 带来 了 如同 航行者 们 扬帆 而行 的 视觉效果 ， 利落 简洁 的 贴身 剪裁 张扬 着 充满 个性 的 自我 ， 细节 处 融入 的 航海 元素 在 令人 眼睛 一亮 的 同时 又 突显 浪漫 怀旧 的 气质 ， 在 材质 的 选择 上 ， 2012 春夏 服装 特别 甄选 产量 少 ， 韧度 强 ， 细度 佳 的 PIMA 棉 ， 以及 FILA 代表性 面料 莱卡 和 透气性 好 的 超轻 面料 15D 尼龙 ， 这些 高品质 面料 彰显 FILA 在 材质 上 的 卓尔不群 。 在 设计 上 只有 在 流行时装 舞台 上 才 看 得到 的 波普风 、 学院 风 都 被 借鉴 到 今年 的 主题 中来 ， 显而易见 ， 2012 年春夏 FILA 将 迎来 蜕变 后 的 绽放 ， 那 将 是 充满 惊喜 与 期待 ， 蕴藏 生机 与 梦想 的 新纪元 。 北京 之夜 ， 百年 以后 再创 辉煌 ，   FILA 将 带 着 过去 一个 世纪 耀眼 的 光环 继续 远航 ， 下 一个 百年 ， FILA 还 将 用 运动 创造 时尚 ， 用 卓尔不群 的 高雅 气质 成就 奇迹 。 关于 FILAFILA 是 著名 的 意大利 百年 生活 时尚品牌 ， 始于 1911 年 ， 由 FILA 兄弟 在 意大利 Biella   小镇 创立 的 一家 纺织 和 针织 的 服装 企业 。 上 世纪 七十年代 ， 为 配合 多元化 发展 ， FILA 转向 运动 服饰 ， 先后 开发 了 网球 、 高尔夫 、 健身 、 滑雪 、 爬山 、 篮球 等 系列 ， 并 逐渐 发展 成为 生活 时尚品牌 的 典范 。 今日 的 FILA 更以 积极向上 、 不断 拼搏 和 永不 放弃 的 探索 精神 为 品牌 理念 ， 以 优雅 活力 的 设计 、 高品质 的 物料 以及 一流 的 剪裁 誉满全球 ， 尤其 以 竖 条纹 的 设计 元素 被誉为 FILA 品牌 的 灵魂 ， 产品 行销 美国 、   意大利 、 韩国 、 日本 等 三十多个 国家 。 关于 FILA 中国 FILA 作为 生活 时尚品牌 ， 对 中国 消费者 来说 并 不 陌生 。 FILA 时尚 活力 的 形象 ， 新颖 的 设计 和 高品质 的 产品 给 消费者 留下 了 深刻 的 印象 。 作为 不断 打破常规 的 生活 时尚品牌 ， FILA 持续 以 其 不断创新 ， 充满 设计 感 的 产品 满足 不同 消费者 的 需求 ， 以往 新锐 的 原创 产品 成为 今日 的 经典 。 FILA 在 中国 也 将 延续 FILA 锐意进取 的 风格 ， 塑造 以 作风 新锐 著称 的 生活 时尚品牌 形象 ， 满足 不同 顾客 的 需求 。 
 时尚 	 诺奇 携手 吴奇隆 演绎 快 时尚 “ 步步 精心 ” 10 月 12 日 ， 在 中国 国际 时装周 即将 举办 之前 ， N & Q ( 诺奇 ) “ 未来 之光 ” 2011 / 2012 秋冬 新品 巡回 时尚 秀 首站 在 北京 魅力 呈现 。 作为 “ 未来 之光 ” 主题 系列 秀 的 秋冬 延续 ， N & Q 紧跟 当季 市场 潮流 和 精准 的 消费者 需求 分析 ， 而 应季 推出 的 商务 休闲 、 假日 休闲 、 前卫 时尚 三大 风格 的 部分 秋冬 款 服饰 精彩 亮相 。 时尚 秀 现场 ， 现 热播 电视剧 《 步步 惊心 》 男主角 吴奇隆 身着 N & Q 服饰 出席 助阵 并 走秀 ， 与 孙兴 、 赵铭 、 康飞 、 侯 俊杰 等 明星 及 中国 知名 设计师 、 模特 、 时尚 人士 等 众多 名流 ， 共同 鉴证 N & Q   “ 快 时尚 ” 魅力 。 吴奇隆 受访 时 表示 ， N & Q 快速 而 精准 的 “ 快 时尚 ” 理念 对 消费者 来说 ， 可谓 是 “ 步步 精心 ” ， 与其 个人风格 高度 契合 。 据介绍 ， 诺奇 10 月底 在 厦门 举办 的 收官 秀 ， 计划 邀请 金马 影帝 吴镇宇 现场 助阵 。 作为 中国 服装 “ 快 时尚 ” 的 领军 品牌 ， N & Q 于 上海 设立 产品 运营 中心 ， 并 招纳 一批 买 手型 设计师 ， 通过 其 在 巴黎 、 米兰 、 伦敦 和 东京 设立 的 流行 情报信息 收集 中心 紧跟 国际 流行 趋势 ， 并 迅速 实现 服装 款式 的 推陈出新 。 同时 ， N & Q 还 结合 “ 会员 数据库 营销 ” 准确 分析 本土 消费 需求 ， 通过 整合 供应链 向 厂家 下单 订货 ， 然后 通过 快捷 的 物流 体系 直接 配送 到 全国 各个 终端 门店 ， 以 “ 光 之 快速 ” 为 消费者 提供 紧跟 国际 流行 趋势 、 贴近 本土 需求 的 大众 时尚服饰 。 N & Q 主要 为 25 - 45 岁 崇尚 时尚 的 男士 提供 紧跟 流行 的 服装 、 服饰 产品 ， 2011 / 2012   N & Q 秋冬 新品 分 英伦 王朝 、 现代 摩登 派 、 假日 滑雪场 三大 主题 。 浓烈 的 酒 红色 与 紫色 ， 挥发 着 淡淡的 颓废 情绪 ， 与 充满 层次感 的 黑色 系 搭配 ， 是 对 本季 主题 的 完美 呼应 ， 其它 过渡 色以 暗色 系 以及 各种 自然 色彩 为主 。 总体而言 ， 本季 新品 简约 流畅 的 裁剪 与 精益求精 的 做工 相得益彰 ， 传递 出 优雅 的 商务 气质 ； 而 流行 的 色彩 配合 高 质感 的 面料 ， 又 完美 演绎 了 都市 时尚 装扮 。 “ 多年 来 ， 诺奇 在 快 时尚 领域 步步为营 ， 精心 于 为 大众 消费者 设计 紧跟 国际 流行 趋势 的 时尚服饰 。 品牌 力邀 国内外 顶尖 买手 与 设计 团队 ， 通过 实力 明星 吴奇隆 的 完美 演绎 ， 诠释 出 商务 、 休闲 而 又 时尚 的 男装 理念 。 ” 诺奇 董事长 丁辉 在 接受 采访 时 说道 ， “ 而 ‘ 未来 之光 ’ 的 主题 ， 则 很 好 地 诠释 了 诺奇 的 SPA 模式 代表 着 中国 服装业 未来 发展 的 先进 方向 与 光明 前景 ； 同时 诺奇 的 商品 ， 是 凭借 卓越 的 时尚 制造 速度 为 消费者 实现 以 ‘ 光 之 快速 ’ 紧跟 市场 潮流 的 ‘ 快 时尚 ’ 。 ” 
 时尚 	 花边 报穿 错 裤成 千古 恨   女星 一秒钟 变象 腿 导语 ： 几乎 所有 女性 都 有 一双 秀场 的 美腿 ， 真 让 我们 羡慕 不已 ， 不过 这话 也 不是 绝对 ， 如果 选错 了 下装 ， 那 可 就 彻底 悲 催 了 ， 挺 好 一双 美腿 立刻 变成 了 象 腿 ， 为了 避免 这些 悲剧 发生 在 我们 身上 ， 先 去 看看 这些 错误 都 是 怎么 犯 的 吧 。 赵薇 ( 微博 ) 不知 为什么 突然 就 穿 了 这样 一身 出场 。 这 条纹 真是 添乱 的 作用 ， 把 胯 变宽 ， 把 腿 变短 ， 即使 搭配 大牌 靴 ， 也 挽救不了 。 钟欣桐 ( 微博 ) 实在 不 适合 穿 黑丝袜 ， 这 明显 的 萝卜腿 让 甜美 范的 她 减分 了 不少 。 特别 是 搭配 短靴 ， 更显 问题 腿 型 了 。 这波点 、 嫩粉 、 薄纱 、 蕾丝 … … 难道 萧亚轩 ( 微博 ) 也 要 走 LADY   GAGA 的 路线 ？ 且不说 这 服装 的 设计 ， 首先 这 一双 粗腿 就 雷翻 了 全场 。 刚刚 送走 了 装嫩 的 粗腿装 ， 现在 迎来 了 扮酷 的 粗腿装 。 上半身 的 黑色 其实 很 好 很 气质 ， 可是 为什么 要 搭配 格子 丝袜 ？ 还要 套上 那双 巨闪 的 过膝 靴 ？ 本来 标准 的 纤细 双腿 ， 裹 了 这么 多层 ， 加上 银色 的 丰满 视觉 感 ， 立刻 又 成 了 大象 腿 。 
 时尚 	 北京 国际 品牌鞋 及 配饰 展 即将 展出 代表 世界 制鞋业 强国 巴西 的 巴西 鞋业 协会 首次 亮相 北京 国际 品牌鞋 及 配饰 展 。 2011 年 10 月 23 - 25 日 ， 著名 国际品牌 Democrata 、 Dumond 、 Capodarte 、 Lilly ' s   Closet 、 St é phanie   Classic 、 Via   Uno 、 Naturezza 、 Albanese 、 Atelier   Chicaroni 以 最新 的 时尚 系列 展示 巴西 鞋业 的 成就 及 自豪 。 ( 地点 ：   北京 · 国家 会议 中心 ， 4 号 展馆 ) 展会 期间 举办 特别 活动 -- 研讨会 “ 升起 的 新时尚 力量   -   巴西 设计 ” ，   特邀嘉宾 巴西 国际级 设计师 Walter   Rodrigues 和 教授级 时装设计 讲师 Enesoe   Chan ， 巴西 小姐 、 国际级 模特 阿丽亚娜 科伦坡 小姐 。 ( 时间 ： 10 月 23 日   10 : 30   ?   12 : 30 ) Alessandro   Oteri 、 TOSCANI 、 MEGGHI 、 CROMIA 、 FERROMODA 、 FIORUCCI 、 MWI   LTD 、 FERGI 、 GILDA   TONELLI 、 TONELLI   UOMO 、 GILDA   TONELLI   SHOES 、 ACCADEMIA 、 LUCREZIA   RANIERI 、 PAKIA 、 RIPANI 、 RL22 、 ERRELLEVENTIDUE 、 BELEN   ECHANDIA 、 TUOGGI 等 二十多个 精英 品牌 汇聚 意大利 展廊 为 您 呈献 独特 的 意式 时尚 。 其中 奢侈 鞋品 及 配饰 设计师 品牌 Alessandro   Oteri 首次 在 中国 亮相 ， 将 以 最新 的 顶级 鞋品 系列 及 配饰 设计 惊艳 北京 。 蜚声国际 的 Lineapelle   --   意大利 琳琅 沛丽 时尚 委员会 首次 在 北京 举行 Trend   Selection   ?   潮流 趋势 展示 并 由 委员会 成员 作 时尚 潮流 发布 。 地点 ： 北京 · 国家 会议 中心 ， 4 号 展馆 时间 ：   2011 年 10 月 23 - 25 日 
 时尚 	 金 至尊 珠宝 谱写 幸福 序曲 2012 婚嫁 系列 上市 2011 年 10 月 12 日 ， 香港 资源 控股 有限公司 < 香港 上市 编号 2882 > 旗下 香港 品牌 金 至尊 珠宝 继 8 月 推出 全新 “ 幸福 女人 ” 钻饰 系列 后 ， 再度 谱写 幸福 序曲 推出 2012 全新 婚嫁 系列 ， 以 匠心独运 的 设计 见证 天下 有情人 的 幸福 时刻 。 为 隆重 其 事 ， 金 至尊 珠宝 特别 在 充满 爱 与 幸福 的 城市 ---- 济南 举行 2012 婚嫁 系列 新品 发布会 ， 并 邀请 集团 “ 至尊 之星 ” 曾志伟 先生 盛装 出席 。 在 夺目 优雅 婚嫁 新品 秀中 ， 前几日 刚刚 结婚 的 蜜月 新娘 中国 名模 戴小奕 身着 金 至尊 珠宝 价值 港币 1 , 388 万元 钻石 婚纱 炫目 登场 ， 将 金 至尊 珠宝 幸福 、 恒久 的 婚嫁 理念 演绎 的 淋漓尽致 。         名模 新娘 诠释 幸福     婚嫁 新品 绽放 金秋 金 至尊 珠宝 2012 全新 婚嫁 新品 发布会 以 “ Marry   me ” 作为 主题 贯穿 全场 。 其中 新品 秀 分为 多个 篇章 ， 将 不同 地域 、 不同 国度 的 新娘 自信 与 华丽 、 高贵 与 典雅 完美 演绎 ， 不论是 中式 的 雍容华贵 ， 还是 西式 的 浪漫 温馨 ， 金 至尊 珠宝 2012 全新 婚嫁 系列 均 将 每 一位 新娘 的 属于 自己 对 爱 与 承诺 的 追求 与 向往 完美 诠释 。 而 “ 女神 ” 的 出场 ， 更是 艳 压群芳 ， 震惊 全场 。 出 生于 青岛 的 名模 戴小奕 身穿 金 至尊 珠宝 以 千万元 打造 的 钻石 婚纱 ， 压轴 登场 。 而 作为 刚刚 在 国庆 新婚 的 蜜月 新娘 ， 在 金 至尊 珠宝 婚嫁 产品 的 映衬 下 ， 愈发 美丽动人 ， 溢于言表 的 幸福 也 感染 了 发布会 整个 活动 现场 。 让 名模 都 难抑 喜爱 之情 的 金 至尊 珠宝 这次 推出 的 2012 全新 婚嫁 系列 ， 必可为 追求幸福 的 你 打造 完美 婚姻生活 的 第一次 甜蜜 尝试 。 “ 至尊 之星 ” 曾志伟     见证 幸福 50 载 为了 更加 深刻 的 体现 一件 饰品 所 能 传达 的 幸福 内涵 ， 寻找 泉城 幸福 夫妇 为 此次 婚嫁 新品 主题 推广 之 活动 亮点 — —   金 至尊 珠宝 诚意 邀请 5 对 今年 双双 走进 幸福 婚姻生活 新婚 、 木婚 、 水晶 婚 、 银婚 和 金婚 纪念 的 夫妇 ， 在 活动 中 现场 分享 他们 的 幸福感 言 ， 并 由 曾志伟 先生 亲自 为 他们 送上 真挚 的 祝福 及 贺礼 。 而 相守 半个世纪 情比金坚 而 又 历久弥新 的 金婚 夫妻 ， 更 成为 首个 获 “ 至尊 订制 服务 ” 的 尊贵 客户 ， 由金 至尊 珠宝 专业 设计师 团队 代表 著名 设计师 方洁然 小姐 为 她们 即场 量身 设计 订制 纪念 “ 幸福 50 载 ” 的 珠宝 钻饰 ， 为此 重要 时刻 留下 印证 ， 让 爱 、 幸福 都 恒久 弥新 。 
