家居 	 屋顶花园 与 室内 生动 的 空间 关系 ( 图 ) 如今 ， 伴随 着 企业 在 办公 模式 、 管理 方式 ， 内部 组织 结构 的 变化 ， 对 办公 空间 也 提出 了 新 的 要求 。 设计师 认为 办公建筑 更 像是 承载 着 工作人员 活动 的 容器 ， 需要 有 充分 的 流动性 和 适应性 ， 用来 满足 不同 的 功能 的 需要 。 我们 可以 清晰 的 看见 在 空间 处理 上 ， 室内 以 规整 有序 的 建筑 结构 为 三维 框架 ， 在 立体 的 框架 中 设置 不同 的 功能 单元 ( 会议 、 办公 、 接待 等 ) ， 通过 中庭 楼梯 等 多种形式 的 交通 空间 将 其 串联 起来 。 置身 在 办公 空间 内部 的 人们 ， 在 感受 令人 愉悦 的 内部 外部 景观 的 同时 ， 也 能 感受 到 室内外 花园 、 屋顶花园 与 建筑 、 室内 生动 的 空间 关系 。 
 家居 	 日复一日 的 生活 中 内心 疲沓 ( 图 ) 看到 Sophie 的 家 ， 你 会 发现 获得 生活 中 的 惊喜 是 很 容易 的 事 ， 不过 ， 是 在 早春 为 沙发 换套 新 沙发 套 ， 或是 在 窗边 挂 上 一串 小 纱灯 。 重要 的 不是 你 做 不到 ， 而是 你 想不到 ， 在 日复一日 的 生活 中 内心 疲沓 ， 没有 了 闪烁 的 激情 。 现在 ， 你 ， 是不是 也 要 复苏 了 呢 ？ 以 一个 明艳 动人 的 姿态 ， 去 赴 一个 春天 的 约会 。   
 家居 	 日子 终究 要 回归 平淡 ( 图 ) 激情 的 人子 不再 继续 ， 日子 终究 要 回归 平淡 。 不大 的 空间 里 ， 品味 生活 的 家私 一样 也 不少 。 美式 田园 的 气息 吹动 窗帘 ， 从 缝隙 中 悄悄 溜进来 ， 让 人 沉醉 。 先 上 一杯 红茶 ， 请坐下来 ， 听 我 慢慢 道 来 … 
 家居 	 日常生活 中 充满 了 创意 ( 图 ) 创意 小品 日常生活 中 总是 充满 了 创意 ， 家居设计 领域 虽然 没有 太多 的 高科技 ， 但是 一些 细节 的 改动 却 也 体现 了 与众不同 的 创意 思想 。   
 家居 	 日式 小型 公寓 内部 改造 设计 一览 ( 组图 ) 由于 处在 环 太平洋 火山地震 带上 ， 地震 频繁 ， 日本 的 住宅 长久以来 遵循 一次性 处置 的 观念 ， 宁愿 拆卸 和 重建 ， 而 很少 将 现有 住房 改造 翻新 。 如今 传统 的 住宅 观念 已 让位 给 可 持续 发展 的 智能 现代 生活空间 。 这是 一个 典型 的 日本 20 世纪 60 - 70 年代 公寓式 住宅 ， 面积 ： 37 平米 ， 拥有 两个 主要 房间 ( 卧室 与 厨房 ) ， 以及 步入 式 衣橱 和 卫生间 ， 改造 方案 来自 东京 的 国际 设计 工作室   BAKOKO   ， 改造 后 的 空间 以 白色 调 为主 ， 卧室 中 保留 了 传统 的 榻榻米 形式 ， 空间 可 在 卧室 与 餐厅 之间 灵活 切换 ， 步入 式 衣橱 改造 成 工作 空间 ， 橱柜 顶部 巧妙 的 构造 利用 植物 和 荧光灯 带 照明 的 形式 营造 出 巧妙 的 天光 效果 。 
 家居 	 日式 风格 的 家装   简单 率性 ( 组图 ) 日式 风格 的 家装 ， 简单 但 实用 ， 率性 而 舒适 ， 来 这里 领略 真实 的 日式 风格 。 日式 风格 的 家装 ， 简单 但 实用 ， 率性 而 舒适 ， 来 这里 领略 真实 的 日式 风格 。 
 家居 	 日本 人 对 家居用品 极为 讲究 ( 图 ) 日式 茶具 ： 日本 人 对 家居用品 的 陈设 极为 讲究 ， 一切 都 清清爽爽 摆在 那里 。 富有 禅意 的 茶具 ， 可以 很 好 的 点缀 日式 客厅 ， 意境 深远 之美之余带 着 淡淡的 文化 魅力 。 
 家居 	 日本 人 的 住宅 中 缺少 玄关 ( 图 ) 玄关 ： 玄关 又称 斗室 ， 过 厅 、 门厅 。 玄关 的 说法 源于 日本 ， 因为 进屋 后 先要 换上 拖鞋 和 家居服 ， 才 好 在 榻榻米 上 坐 卧 ， 日本 人 的 住宅 中是 绝对 不能 少 了 玄关 的 。 玄关 在 居室 中所 占 面积 虽然 不 大 ， 但 使用 频率 较 高 ， 是 进出 住宅 的 必经 之 处 。 在 房间 装修 中 ， 人们 往往 最 重视 客厅 的 装饰 和 布置 ， 而 忽略 对 玄关 的 装饰 ， 其实 ， 在 房间 的 整体 设计 中 ， 玄关 是 给 人 第一印象 的 地方 ， 是 反映 主人 文化 气质 的 “ 脸面 ” 。   
 家居 	 旧 家 换新颜   快乐 粉刷 让 家 也 升级 ( 组图 ) 重新 装饰 您 的 橱柜 一些 表面 光滑 、 面积 很大 的 家具 外表 都 是 采用 喷漆 ， 比如说 我们 橱柜 ， 如果 色彩 已经 不 鲜亮 了 ， 就 可以 再 给 它们 喷上 新漆 。 等到 漆干 了 之后 ， 给 上面 上 一层 聚亚 氨 酯 ， 让 表面 看起来 十分 有 光泽 。 
 家居 	 旧 屏风 修补 得 焕然一新 ( 图 ) 用纸 就 可以 将 旧 屏风 修补 得 焕然一新 。 把 旧 屏风 面 拆掉 ， 只 留下 框架 ， 重新 上漆 。 将 薄 印花纸 按 四边 都 比 原来 屏风 面板 大 2.5 cm 的 标准 剪裁 下来 ， 钉 在 框架 后 。 为了 美观 ， 可以 在 底部 加 一层 和 印花 颜色 相同 的 纸 。 
 家居 	 旧旧 的 百叶窗   田园 式 的 沙发 ( 图 ) 旧旧 的 百叶窗 ， 田园 式 的 沙发 ， 意大利 浪漫 蓝色 基调 ， 低调 的 仿古 灯 ， 一切 简约 奢华 … … 住 在 这 所 房子 的 主人 ， 想必 是 位 优雅 浪漫 的 女士 ， 沐浴 着 从 百叶窗 透过 的 金色 阳光 开始 早晨 ， 白天 把 一切 打理 得 精致 典雅 ， 在 昏黄 的 灯光 下 享受 一杯 咖啡 的 浪漫 … …   
 家居 	 旧 物件 的 新 价值 ( 图 ) 旧 物件 的 新 价值 “ 我 的 家 在 装修 装饰 时 花费 不 多 。 ” 汪铮 坦言 。 这 大部分 得益于 汪铮 独特 的 思维 、 眼光 以及 对 旧 物件 的 再次 利用 能力 ， 在 他 和 太太 的 眼里 ， 某些 被 废弃 或者 被 淘汰 的 物件 却 有着 独特 的 闪光点 ， 不能 再 使用 的 冰箱 横躺 在 自己 制造 的 橱柜 下方 ， 变成 了 储物 工具 ， 并且 可以 随意 拉升 ； 让 空间 在 闭合 时 看起来 像 个 潜水 舱 的 门上 的 圆窗 ， 其实 是 废旧 滚筒 洗衣机 的 舱门 ； 工厂 中 的 防爆 开关 ， 在 汪铮 的 家里 ， 摇身一变 成 了 照明 开关 ， 上面 “ 开 ” 与 “ 关 ” 两个 汉字 让 这里 更具 后现代 的 装置 效果 。 自己 动手 改造 灯具 ， 是 汪铮 与 太太 的 乐趣 之一 ， 在 他们 的 家中 ， 这样 的 灯具 出现 在 很多 地方 ， 为 他们 阅读 、 画图 或者 坐 着 发呆 提供 恰当 的 光线 。 
 家居 	 旧 物件 粉刷 新 色彩 ( 图 ) 旧 物件 粉刷 新 色彩 从前 ， 苏珊 总 觉得 花园 过于 平淡 ， 直到 有 一天 她 试 着 把 车库 刷 成明 黄色 ， 搭配 上 蓝色 和 玫瑰红色 的 门 后 ， 那种 意想不到 的 色彩 效果 给 她 带来 了 启发 ， 出众 的 效果 也 鼓舞 苏珊 去 做 更 多 的 尝试 ！ 她 一鼓作气 ， 将 花园 中 的 其他 构筑物 也 刷 上 了 颜色 ， 原来 地下室 废弃 的 门 被 刷成 红色 ， 与 格子 架 搭配 在 一起 十分 美观 ， 成 了 别致 的 花园 入口 。 “ 如果 你 不想 轻易 就 换掉 某些 东西 ， 不妨 试试 给 它 换个 颜色 ， 就 能 得到 完全 不同 的 效果 ！ ” 苏珊 说 。 
 家居 	 旧物 翻新 之 灯罩 换 新衣 ( 组图 ) 这个 漂亮 的 台灯 是 利用 废旧 的 丝带 一条 一条 将 灯罩 包裹 一圈 ， 能够 营造 出 一种 褶皱 的 丝绸 质感 来 ， 但 要 记得 把 每条 丝带 的 底端 都 一 一折 进 灯罩 的 内侧 。 
 家居 	 早餐 台 不 但是 橱柜 的 有效 延伸 ( 图 ) 早餐 台 不 但是 橱柜 的 有效 延伸 ， 更是 空间 功能 的 补充 。 敞开式 厨房 的 运用 ， 主人 感受 到 的 不仅仅 是 开阔 与 方便 ， 更 多 了 一些 舒适 与 惬意 。 珠帘 的 运用 使 空间 多 了 些许 的 含蓄 。   
 家居 	 时尚 与 设计 共存 ( 图 ) ESPRIT   home   卡乐丝 为 您 留住 夏日 风情 ， 时尚 与 设计 共存 ， 为 您 的 居室 创造 完美 生活 情趣 ， 在乎 心态 ， 而 非 年龄 。   
 家居 	 时尚 元素 奶牛 纸巾 筒 ( 图 ) 5 、 时尚 元素 奶牛 纸巾 筒   5 、 时尚 元素 奶牛 纸巾 筒   
 家居 	 时尚 和 新潮 的 代表 ( 图 ) Hella   Jongerius 是 一个 “ 鬼才 ” 设计师 ， 擅长 对 传统 、 陈旧 的 荷兰 式 家具 进行 改装 ， 创作 出 有趣 的 新 作品 。 她 对 颜色 的 敏感度 和 视角 也 非同寻常 ， 能 把 一些 很 奇怪 的 颜色 组合 得 很 好看 ， 比如 这个 绛紫 、 深灰 、 天蓝 和 草绿 的 小 坐墩 ， 就让 人 联想 到 巧克力 和 绿宝石 。 这 款 设计 面世 已经 几年 ， 但 就算 放在 今天 ， 仍然 是 时尚 和 新潮 的 代表 。 
 家居 	 时尚 和 艺术 从来 都 是 密不可分 ( 图 ) 好像 时尚 和 艺术 从来 都 是 密不可分 ， 在 时尚 中 升华 艺术 ， 在 艺术 中 感受 时尚 。 精美 的 餐具 设计 ， 搭乘 时尚 的 快车 ， 呈现 在 你 眼前 的 将 是 怎样 的 一番 景象 ？ 下面 小编 就 带你去 感受 什么 是 时尚 和 艺术 的 完美 结合 。   对 精致 物件 的 追求 到 了 一个 极至 的 时候 ， 奢华 之风 便 能 初见端倪 ； 而 对 奢华 的 追求 ， 又 让 大众 有 机会 感受 人类 创造力 的 伟大 ， 一切 我们 不曾 想 、 不敢 想 的 东西 经过 智慧 的 大脑 或是 灵巧 的 双手 便 活脱脱 地 在 华丽 世界 大行其道 。 
 家居 	 时尚 和 艺术 的 完美 结合 ( 图 ) 好像 时尚 和 艺术 从来 都 是 密不可分 ， 在 时尚 中 升华 艺术 ， 在 艺术 中 感受 时尚 。 精美 的 餐具 设计 ， 搭乘 时尚 的 快车 ， 呈现 在 你 眼前 的 将 是 怎样 的 一番 景象 ？ 下面 小编 就 带你去 感受 什么 是 时尚 和 艺术 的 完美 结合 。   对 精致 物件 的 追求 到 了 一个 极至 的 时候 ， 奢华 之风 便 能 初见端倪 ； 而 对 奢华 的 追求 ， 又 让 大众 有 机会 感受 人类 创造力 的 伟大 ， 一切 我们 不曾 想 、 不敢 想 的 东西 经过 智慧 的 大脑 或是 灵巧 的 双手 便 活脱脱 地 在 华丽 世界 大行其道 。   
 家居 	 时尚 总是 走 在 时代 的 前面 ( 图 ) 时尚 总是 走 在 时代 的 前面 ， 但是 经典 则 能 适应 时代 的 变化 ， 碎花 也许 不是 最 时尚 的 ， 但是 绝对 是 值得 投资 的 经典 。 
 家居 	 时尚 整洁 的 落地 柜 ( 图 ) 时尚 整洁 的 落地 柜 ， 可以 帮 你 将 居室 空间 布置 的 错落有致 ， 层次感 十足 。 简约 而 不 简单 ， 轻松 实现 房间 杂物 的 高效 归纳 。   
 家居 	 时尚 有型 的 床 以及 卧室 的 设计 ( 图 ) 卧室 的 风格 可以 千姿百态 ， 卧室 里 的 床 也 是 形形色色 ， 风格 不 一 。 无论是 现代 的 简约 风 还是 奢靡 的 华丽 风 ， 又 或者 朴素 的 自然风 ， 还有 不少 清新 的 田园 风 · · · 无论 你 中意 那种 风格 ， 但 最 重要 的 还是 应该 考虑 到 颜色 的 搭配 和 床 的 舒适 。 下面 来 看看 精选 出 的 这 十款 时尚 有型 的 床 以及 它们 各自 的 卧室 设计 。 
 家居 	 时尚 浪漫 卧室 省钱 装修 ( 组图 ) 装修 已 成为 各位 业主 拿到 新房 钥匙 后 的 头等大事 。 但 对 资金 不是 很 雄厚 的 工薪阶层 来讲 ， 卧室 装修 并非易事 。 而 主人 卧室 的 布置 更是 家居 装修 中 的 重中之重 。 如何 把 自己 惬意 的 小窝 装饰 得 既 美观 舒适 又 经济 ? 记者 特意 汇集 整理 了 几个 风格各异 的 卧室 装修 样板间 ， 想必 当中 总有 一个 能 为 你 带来 装修 的 灵感 图为   时尚 浪漫 卧室 省钱 装修 1 、 卧室 在 人们 的 生活 中 的 位置 是 众所周知 的 ， 所以 卧室 装修 中 的 家具 的 配置 、 色调 的 搭配 、 装修 美化 的 效果 、 灯光 的 选择 及 安装 位置 就 显得 格外 重要 。 按 个人 年龄 不同 ， 卧室 装修 风格 也 就 有所区别 ， 这 一点 是 不容忽视 的 。 2 、 修 卧室 这个 功能 房间 ， 看起来 很难 省钱 。 但是 事实上 ， 无论是 小户型 的 单独 卧室 ， 还是 大户型 中 “ 卧室 + 主卫 + 衣帽间 ” 的 组合 ， 设计师 们 仍然 可以 施以 “ 偷梁换柱 ” 、 “ 声东击西 ” 之计 ， 在 衣柜 、 凸窗 等 局部 省出 银子 ， 有些 方法 甚至 可以 省出 不少 空间 。 
 家居 	 时尚 潮流 淡色 卫生间 设计 ( 组图 ) 时尚 、 优雅 是 卫浴 装饰 主旋律 ， 淡 色调 仍 是 一个 主要 趋势 ， 它 让 置身其中 的 人 获得 最大 的 清洁 和 轻松 ， 它 保证 贯通 的 视野 就 能 给 人 疏朗 畅快 之感 。 设计师 深谙此道 ， 不 按照 通常 的 方式 安排 洁具 位置 ， 不循墙 而建 ， 于是 ， 将 盥洗 盆 安置 在 房间 一角 ， 解构 寻常 的 卫浴间 安排 ， 同时 也 解放 了 使用者 的 精神 束缚 ， 在 工作 之 余 ， 信手拈来 一张 坐垫 便 可 享受 到 瑜伽 所 带来 的 精神 解放 ， 卫浴间 才 成 了 名副其实 的 健康 休闲 之地 。   宁静 、 自由 、 开阔 的 蓝色 。 舒展 的 花叶 标注 自然 的 生动 。   镜子 下 巧妙 地 遮掩 了 水管 ， 并 提供 了 摆放 饰物 的 边沿 。 整个 设计 布局合理 ， 整洁 大方 ， 如同 窗外 射入 的 阳光 般 舒适 惬意 。   卫浴间 的 干湿 分离 ， 早成 共识 。 但 其 收纳 功能 及 方法 选择 ， 却 人 见仁 智 、 不尽相同 。 本 浴室 则 选择 向 立体 空间 发展 ， 效果 自然 是 别具 情调 ， 值得 借鉴 。   您 是否 也 想象 过 自己 能 拥有 一间 如此 豪华 的 浴室 呢 ? 玻璃镜 墙 、 满天星 式 圆盘 顶灯 的 选用 ， 不仅 拓展 了 空间 ， 更 增添 了 浴室 的 豪华气派 。 其实 ， 您 也 不妨 试一下 ， 并非 要花费 很多 钱 的 。   
 家居 	 时尚 的 拱形 设计   舒适 的 软座 设计 ( 图 ) 温馨 餐厅 时尚 的 拱形 设计 ， 舒适 的 软座 设计 ， 共同 搭建 出 柔软 的 温馨 餐厅 。 让 我们 可以 畅快 分享 美味 的 食物 。 拱形 开放 的 设计 ， 方便 餐盘 的 传递 。 
 家居 	 时尚 睡眠 空间   利用 木材 与 金属 制成 ( 图 ) 时尚 睡眠 空间 ， 利用 木材 与 金属 制成 。 床体 平台 以 胶合 木板 制成 ， 设计师 为 床脚 加上 滚轮 使 其 移动 时 更加 方便 。 床下 的 架子 提供 了 更 多 的 存储空间 。 
 家居 	 时尚 简约 八妙 招   DIY 墙壁 装饰 法 ( 组图 ) 现代感 十足 的 小 空间 ， 布置 简易 。 照片 墙 的 设计 为 房间 增添 了 丰富 的 色彩 ， 用餐 的 同时 畅谈 照片 中 的 美好 回忆 。 装饰 墙壁 的 同时 ， 也 可以 当做 照片 展示 细加 排放 。 
 家居 	 时尚 简约 的 浴室柜 ( 图 ) 浪漫 的 卫浴 离不开 浪漫 的 浴室柜 ， 完美 的 浴室 自然 要 有 漂亮 时尚 的 浴室柜 与 之 相配 。 用 时尚 简约 的 浴室柜 打造 你 浪漫 的 卫浴 空间 ， 一切 尽 在 温馨 中 。   
 家居 	 时尚 而 不 浮躁 ( 图 ) 时尚 而 不 浮躁 ， 庄重 典雅 而 不乏 轻松 浪漫 的 感觉 。 色彩 应 以 统一 、 和谐 、 淡雅 为宜 ， 欢快 而 热情 的 红色 运用 ， 使 居室 看似 简单 ， 实则 韵味 无穷 ， 充满 喜庆 气氛 。 
 家居 	 时尚 花艺   在 你 的 家园 绽放 ( 组图 ) 拈 一束 清香 以 供佛 ; 折柳赠 人 ， 诉知 以情 ; 颂寓 父母 健在 ; 赞 君子 之德操 ; 或 对友 之 祝福 与 关怀 ; 或造 无可 名之形 ， 这是 中国 人 自古 生活 艺术 重 意趣 细 ? 的 一面 ， 常 把 花草 赋 与 人 之 感情 ， 由 敬爱 自然 而化同 自然 ， 继而 在 花艺 上 呈现 出来 。 在 现代 的 家居设计 中 ， 花艺 将 越来越 凸显 其 重要性 ， 或许 ， 在 这个 同时 ， 我们 也 将 古老 的 花 文化 传承 下来 ， 让 我们 的 家 ， 也 洋溢着 花草 的 味道 。 台湾 花艺师 吴尚洋 的 这个 家居 花艺 经典 案例 ， 就 很 好 地 说明 了 这 一点 。 还是 让 我们 一 起来 仔细 看看 吧 。 
 家居 	 时尚 设计师 的 一贯 钟爱 ( 图 ) 优雅 粉 粉色 也 的确 是 时尚 设计师 的 一贯 钟爱 ， Chanel 的 呢 缎 粉色 妆容粉 就 引起 过 无数 人 的 追捧 。 如今 粉色 的 旋风 刮到 了 家居 领域 。 带 着 一点 灰度 的 粉色 、 高纯度 的 玫瑰红 ， 配搭 黑 、 灰 、 棕 、 灰绿 都 会 显露出 知性 优雅 的 味儿 ， 成为 都市生活 里 的 一抹 亮色 。   
 家居 	 时尚 达 人们 喜爱 的 色彩 ( 图 ) 时尚 达 人们 喜爱 的 色彩 ， 大胆 的 设计 ， 小小的 空间 ， 却 散发 着 极大 的 魔力 。 在 享受 着 个人 自由 的 空间 同时 ， 也 不失 甜蜜 的 二人 小天地 。 
 家居 	 时尚 达人 的 田园 风格 的 房子 ( 图 ) 田园 风格 成为 现代人 喜爱 的 一种 风格 之一 ， 在 碎花 与 绿草 中 享受 大自然 的 美好 ， 是 都市 紧张 生活 一味 不可 欠缺 的 调和剂 。 下面 秀秀 时尚 达 人 如何 用 12 万 就 能 装点 出 美丽 的 都市田园 风格 的 房子 来 。   
 家居 	 时尚 靠垫   家居 中 的 点睛之笔 ( 组图 ) 靠垫 是 实用性 的 装饰品 ， 在 居 室内 放 上 别致 的 靠垫 ， 既有 充分 的 实用价值 ， 又 有 较 强 的 装饰 效果 和 审美 品位 ， 同时 营造 出 温馨 休闲 的 家居 氛围 。 
 家居 	 时尚 餐具 舞动 盛夏 生活 ( 组图 ) 绚丽 餐具 装点 餐桌 ， 定 会 装饰 出 生动 而 丰富 的 盛夏 生活 ： 
 家居 	 时尚 餐具 让 人 胃口 大增 ( 图 ) 漂亮 的 餐具 总能 让 人 胃口 大增 ， 在 2009 年 新春 ， 不少 漂亮 夺目 的 餐具 涌现 ! 
 家居 	 时装界 的 腕儿 级 人物 ( 图 ) 新 看点 2   艺术 时尚化   不少 壁纸 设计师 都 是 时装界 的 腕儿 级 人物 ， 他们 的 壁纸 设计 系列 包括 金属光泽 、 镶嵌 木纹 、 蕾丝 图案 和 有机 几何 ， 所有 作品 都 具有 超强 的 视觉 冲击力 ， 像是 给 墙面 穿 上 了 时装 ， 在 行业 中 独树一帜 。   
 家居 	 时间 安排 永远 是 满满的 ( 图 ) 时间 安排 永远 是 满满的 ， 如果 洗衣机 能 帮助 管理 时间 该 有 多 好 。 空闲 的 周末 安排 洗涤 灰尘 多 ， 量 大 的 外衣 ， 经常 需要 换洗 的 贴身衣物 也 能 在 短时间 内 完成 洗涤 。 对于 干衣机 ， 人们 总有 一个 误区 ， 认为 干衣机 对 衣物 损伤 大 ， 而 具有 智能 干衣 功能 的 产品 ， 连 毛衣 和 丝绸 等 精细 织物 也 能 妥贴 处理 ， 避免 了 毛衣 和 丝绸 在 晾晒 过程 中 被 拉长 和 留下 衣架 痕迹 的 尴尬 。   
 家居 	 时髦 的 橘黄色 很 适合 年轻人 ( 图 ) 时髦 的 橘黄色 很 适合 年轻人 ， 带足 浴盆 四周 紧紧围绕 着 花瓣 图案 的 浴帘 ， 花朵 状壁 突式 烛台 和 绿叶 图案 的 椅子 显得 清新 夺目 。 
 家居 	 时髦 都 会 风 ( 图 ) 时髦 都 会 风 现今 床品 的 剪裁 丝毫 不逊于 时装 的 设计 ， 每个 细节 都 一丝不苟 直逼 时装 的 潮流 风向 ， 从 面料 的 选取 、 色彩 的 搭配 、 图样 的 设计 以及 弥散 的 气韵 ， 无不 体现 出 细腻 、 优雅 的 睡眠 状态 。 时髦 都 会 风 成为 这 一季 的 流行 主调 ， 面料 考究 、 做工 精细 的 床品 ， 将 古典 的 元素 以 现代 手法 重新 诠释 ， 并 以 浅色 作为 主调 ， 给 人 摩登 的 感觉 。 居住 的 舒适感 在 细节 处 体现 ， 强调 面料 材质 的 多层次 变幻 ， 皮革 、 丝绒 、 羊毛 呈现出 自然 的 华贵 ， 配以 少量 的 金属色 点缀 ， 塑造出 低调 的 奢华 气质 。 在 浅 米色 豹纹 图案 的 床品 中 加入 不同 图案 ， 不同 色调 的 靠 包 ， 让 卧室 形象 更加 丰富 。 
 家居 	 明亮 的 柳 绿色 铺砌 在 整面 墙上 ( 图 ) 香木 缘 ： 明亮 的 柳 绿色 铺砌 在 整面 墙上 ， 令 空间 显得 有机 而 自然 。 白色 是 调和 这种 色彩 最佳 的 选择 。 现代 简约 的 田园 家具 ， 稍许 点缀 些 鹅黄 、 青瓷 色 ， 也 能 使 这种 绿色 显得 更 生机勃勃 。 搭配 建议 ： 柳绿 墙体 映衬 白色 亮光漆 面 家具 ， 即便 在 小 面积 的 居室 中 ， 也 能 显得 舒适 和 现代 。 带有 花卉 或 条纹 图案 的 黄色 靠垫 ， 能 起到 点睛 作用 ， 青瓷 图案 把 这些 色彩 贯穿 在 一起 。 
 家居 	 明堂 的 大门 两侧 即 玄关 ( 图 ) 镜置 玄关 置于 内 明堂 的 大门 两侧 即 玄关 ， 这样 不但 不会 照 到 门神 或 财神 ， 还 可 让 代表 财运 的 内 明堂 有 空间 加大 的 效果 。 但 如 发现 镜子 有 破裂 ， 则 须 马上 更换 ， 否则 会 有 血光之灾 。 另外 ， 亦可 在 大门 的 门 把 上 ， 放个化 阴 、 化 小人 的 铜铃 ， 并 在 铜铃 上 用油 性 红笔 写 上 “ 雷令 ” ， 那 就 可 挡 煞 招 吉祥 。 镜置 玄关 置于 内 明堂 的 大门 两侧 即 玄关 ， 这样 不但 不会 照 到 门神 或 财神 ， 还 可 让 代表 财运 的 内 明堂 有 空间 加大 的 效果 。 但 如 发现 镜子 有 破裂 ， 则 须 马上 更换 ， 否则 会 有 血光之灾 。 另外 ， 亦可 在 大门 的 门 把 上 ， 放个化 阴 、 化 小人 的 铜铃 ， 并 在 铜铃 上 用油 性 红笔 写 上 “ 雷令 ” ， 那 就 可 挡 煞 招 吉祥 。 
 家居 	 明星 夫妻 爱上 巴洛克 ( 图 ) 爱上 巴洛克 在 这 对 明星 夫妻 的 客厅 里 ， 你 不难 发现 巴洛克 风格 的 影子 。 整体 色调 素雅 大方 ， 客厅 一隅 的 皮质 沙发 尽显 古典 优雅 ， 原木 材质 的 精美 边饰 和 豹纹 图案 的 靠 包 搭配 得 相得益彰 ， 很 好 地 中 和 了 大面积 暗沉 色块 带来 的 厚重感 。 沙发 的 一侧 是 白色 的 壁炉 墙饰 ， 立在 一旁 的 落地 钟表 线条 简洁 而 不失 优雅 ， 营造 出 浓重 的 欧洲 风情 。 壁炉 上面 摆放 的 是 郝蕾 从 威尼斯 带 回来 的 舞会 假面 ， 这 看似 随意 的 搭配 摆设 ， 却 起到 了 画龙点睛 的 作用 。 郝蕾 坦言 ， 李 光洁 和 她 都 钟情 巴洛克 风格 ， 巴洛克 一词 原指 形状 不规则 的 珍珠 ， 17 世纪末 出现 的 巴洛克 风格 后来 慢慢 演变 延伸 成 现在 的 华美 、 浪漫 、 富于 想象力 和 不拘一格 。 装修 期间 ， 郝蕾 和 李 光洁 在 选购 和 搭配 屋内 的 各种 陈设 、 装饰品 的 时候 ， 也 尽量 统一 风格 。 郝蕾 说 ， 她 很少 将 各种 气质 的 家具 混 搭 ， 因为 每 一种 风格 的 东西 都 有 其内 在 的 联系 ， 传达 出 的 是 同 一种 思想 和 情感 ， 如果 混 搭 不好 反而 会 不伦不类 。 爱上 巴洛克 在 这 对 明星 夫妻 的 客厅 里 ， 你 不难 发现 巴洛克 风格 的 影子 。 整体 色调 素雅 大方 ， 客厅 一隅 的 皮质 沙发 尽显 古典 优雅 ， 原木 材质 的 精美 边饰 和 豹纹 图案 的 靠 包 搭配 得 相得益彰 ， 很 好 地 中 和 了 大面积 暗沉 色块 带来 的 厚重感 。 沙发 的 一侧 是 白色 的 壁炉 墙饰 ， 立在 一旁 的 落地 钟表 线条 简洁 而 不失 优雅 ， 营造 出 浓重 的 欧洲 风情 。 壁炉 上面 摆放 的 是 郝蕾 从 威尼斯 带 回来 的 舞会 假面 ， 这 看似 随意 的 搭配 摆设 ， 却 起到 了 画龙点睛 的 作用 。 郝蕾 坦言 ， 李 光洁 和 她 都 钟情 巴洛克 风格 ， 巴洛克 一词 原指 形状 不规则 的 珍珠 ， 17 世纪末 出现 的 巴洛克 风格 后来 慢慢 演变 延伸 成 现在 的 华美 、 浪漫 、 富于 想象力 和 不拘一格 。 装修 期间 ， 郝蕾 和 李 光洁 在 选购 和 搭配 屋内 的 各种 陈设 、 装饰品 的 时候 ， 也 尽量 统一 风格 。 郝蕾 说 ， 她 很少 将 各种 气质 的 家具 混 搭 ， 因为 每 一种 风格 的 东西 都 有 其内 在 的 联系 ， 传达 出 的 是 同 一种 思想 和 情感 ， 如果 混 搭 不好 反而 会 不伦不类 。 
 家居 	 明星 家居 大 曝光   10 位 名人 星级 客厅 大 PK ( 组图 ) 阳台 改成 的 书房 和 客厅 的 沙发 是 张茜 最爱待 的 地方 ， “ 我 喜欢 在 阳台 那里 晒 着 太阳 上网 ， 也 喜欢 窝 在 沙发 上 看碟 ， 不过 无论 我 在 哪里 ， ‘ 帕 她 呀 ’ 都 会 围着 我 转 。 ” 
